vendor,date_min,date_max, date_evo_min, date_evo_max,exact_Evo,exact_SR,exact_c9,two_mkt,three_mkt,all_mkt,ag_only,hamming_SR,hamming_evo,hamming_c9,h_three_mkt,h_two_mkt,h_all_mkt,h_ag_only
bulkbarn,2015-01-24,2015-02-02, 2015-02-21, 2015-03-24,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1
purinadogfoodco.,2014-12-06,2015-01-01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1
hydroman,2014-07-21,2014-09-15, 2014-07-05, 2014-09-03,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1
musclerx,2014-02-23,2014-09-20,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,1
mmjconnection,2014-05-24,2014-05-24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1
eurobrutha,2014-07-18,2014-08-03,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1
xanaxpharm,2015-05-29,2015-07-07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1
dr._faded,2015-02-02,2015-03-25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1
trust-in-us,2015-02-02,2015-06-13, 2014-11-07, 2014-11-29,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1
protection,2015-01-24,2015-01-29,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1
thatweedguy,2014-12-20,2015-01-10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1
fincen,2014-03-03,2014-03-06,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1
fantasypharmacy,2014-02-23,2014-04-24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1
sugarwand,2014-02-02,2014-03-06,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1
cocainecastle,2015-06-11,2015-06-20,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1
bestinaus,2015-04-13,2015-04-27,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1
darknetdelboy,2014-07-18,2014-08-03,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1
tabarnak,2014-06-01,2014-06-19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1
pharmacypowder,2014-02-28,2014-04-06,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,1
theamericanoutfit,2015-06-26,2015-06-30,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1
londoncity,2015-04-12,2015-05-15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1
businessnobs,2015-03-27,2015-04-23,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1
themadshatter,2015-06-02,2015-06-26,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1
