,name,price(BTC),from,to,vendor,cat_hash,cat,date
0,AMAZON HACKS - everthing 50 % off,1.00000000,,,profesorhouse,pbmKV0iowm,Weapons/Fireworks,2014-12-20
1,Incredible Service - ANYTHING FROM AMAZON AT 50% (GET REFUNDED NOW ),1.00000000,,,profesorhouse,pbmKV0iowm,Weapons/Fireworks,2014-12-20
2,Delova Rana 75mm Containing 50 grams flashpowder,0.14932011,,Sweden,sweshroom,pbmKV0iowm,Weapons/Fireworks,2014-12-20
3,Flash Powder 20 Grams Vacuum Sealed With a 10 cm Fuse,0.09213368,,Sweden,sweshroom,pbmKV0iowm,Weapons/Fireworks,2014-12-20
4,Potassium chlorate 40g,0.03177023,,EU,TorChem,pbmKV0iowm,Weapons/Fireworks,2014-12-20
5,Weapon Stealth and Express Shipping Fee.,0.95310712,,,weaponsguy,RuXVKCci11,Weapons/Lethal firearms,2014-12-20
6,Custom for Janissary71,5.55979158,,,dosensuppe,RuXVKCci11,Weapons/Lethal firearms,2014-12-20
7,Any Glock You Want FULL ESCROW,7.94255941,,,weaponsguy,RuXVKCci11,Weapons/Lethal firearms,2014-12-20
8,JA 22 Full ESCROW,6.35404752,,,weaponsguy,RuXVKCci11,Weapons/Lethal firearms,2014-12-20
9,Juice Monkey,9.37222010,,,weaponsguy,RuXVKCci11,Weapons/Lethal firearms,2014-12-20
10,"Drawings(ONLY) - ""Sten MKII""",0.03177023,,Australia,AUsTORe,RuXVKCci11,Weapons/Lethal firearms,2014-12-20
11,Jimenez 9MM FULL ESCROW,5.87749396,,,weaponsguy,RuXVKCci11,Weapons/Lethal firearms,2014-12-20
12,JA 380 FULL ESCROW,6.35404752,,,weaponsguy,RuXVKCci11,Weapons/Lethal firearms,2014-12-20
13,Custom for Friendly,7.00000000,,,weaponsguy,RuXVKCci11,Weapons/Lethal firearms,2014-12-20
14,Custom for AARONABE,5.40094039,,,weaponsguy,RuXVKCci11,Weapons/Lethal firearms,2014-12-20
15,Reducteur silenceur 22LR rimfire,0.31050000,,,matthias75015,RuXVKCci11,Weapons/Lethal firearms,2014-12-20
