,name,price(BTC),from,to,vendor,cat_hash,cat,date
0,Buddha Haze - 15 Seeds Feminized,0.44778904,,UK,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-28
1,5 Autoflowering Cannabis Seeds Fast Growing Ready In 3 Months!,0.08113590,,EU,Cannaseed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-28
2,15 Random WEED Seeds,0.02704530,,Australia,HangAbout,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-28
3,10 regular seeds: Liberty Kush: Liberty Haze crossed with Hindu Kush,0.08113590,,Australia,budbrother,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-28
4,50 regular seeds - Shiva Skunk - Skunk #1 X Northern Lights #5,0.32454361,,Australia,budbrother,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-28
5,5 regular seeds - Shiva's OG - Shiva Skunk X OG Kush,0.05409060,,Australia,budbrother,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-28
6,Pakistan Ryder x 3 seeds - Autoflowering and Feminized seeds,0.08113590,,EU,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-28
7,10 regular seeds Hindu Kush - land race from the Hindu Kush mountains,0.06761325,,Australia,budbrother,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-28
8,5 regular seeds - Widow Lights - White Widow X Northern Lights,0.08113590,,Australia,budbrother,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-28
9,5x Nevilles Haze!,0.05000000,,Netherlands,danman,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-28
10,Smurfberry Hybrid Feminized Autoflower Seeds,0.13522650,,USA,simonlabond,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-28
11,Crimea Blue - 15 Seeds Feminized,0.32454361,,UK,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-28
12,10 regular seeds - Skunk Kush - pain relief,0.10818120,,Australia,budbrother,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-28
13,5 regular seeds - Skunk Kush - pain relief,0.06761325,,Australia,budbrother,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-28
