,name,price(BTC),from,to,vendor,cat_hash,cat,date
0,5 feminised seeds -GrassOmatic - Automatic AK-47,0.17650381,,UK,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-01-09
1,10 feminised seeds -  Barneys Farm - Blue Cheese,0.21886472,,EU,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-01-09
2,10 feminised seeds - Seedsman - Auto Kush,0.17650381,,EU,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-01-09
3,10 feminised seeds  Barneys Farm - Pineapple Chunk,0.21886472,,EU,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-01-09
4,10 regular cannabis seeds - Kaliman Seeds - Rockster's Cheese,0.26475571,,UK,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-01-09
5,10 feminised cannabis seeds - Kannabia Seeds - B. Lee,0.24710533,,UK,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-01-09
6,10 feminised seeds - Female Seeds - BubbleGummer,0.17650381,,EU,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-01-09
7,10 regular seeds -Kaliman Seeds - Cheese #1,0.35300762,,UK,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-01-09
8,10 feminized seeds - Barneys Farm - Liberty Haze,0.24710533,,EU,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-01-09
9,10 feminised seeds -  Joint Doctor - Chronic Ryder,0.32476701,,UK,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-01-09
10,AK47 Seeds,0.17650381,,Canada,ak47seeds,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-01-09
11,10 feminised seeds - Sensi Seeds - Early Skunk,0.24004518,,UK,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-01-09
12,20 feminised seeds - Sensi Seeds - MIX,0.30711663,,UK,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-01-09
13,10xWhite Widow Auto Feminized,0.28240609,,Australia,Aseel,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-01-09
14,Buddha Haze - 15 Seeds Feminized,0.58447472,,UK,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-01-09
15,2046 Strain (Medical Seeds) - 15 Seeds Feminized,0.61776334,,UK,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-01-09
16,NORTHERN LIGHT FEMINIZED x 3 seeds,0.06707144,,EU,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-01-09
17,Bubble Cheese - 15 Seeds Feminized,0.68836486,,UK,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-01-09
18,11 Biddy Early Cannabis seeds (Not feminized),0.11649251,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-01-09
19,WHITE WIDOW FEMINIZED x 3 seeds,0.08136825,,EU,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-01-09
20,WHITE WIDOW (ROYAL QUEEN SEEDS) FEMINIZED x 3 seeds,0.12337616,,EU,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-01-09
21,50 Mixed Cannabis Seeds - Only $49,0.17297373,,USA,My_Private_Garden,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-01-09
22,CBD Critical Mass - 15 Seeds Feminized,0.60653770,,UK,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-01-09
23,10 The Hog Cannabis seeds (Not feminized),0.26475571,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-01-09
24,WHITE WIDOW (ROYAL QUEEN SEEDS) FEMINIZED x 5 seeds,0.16926715,,EU,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-01-09
25,10 Mixed Cannabis Seeds - Only $14.95,0.05277463,,USA,My_Private_Garden,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-01-09
26,Acapulco Gold - 15 Seeds Feminized,0.59305280,,UK,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-01-09
27,Shoreline - 15 Seeds Feminized,0.50833097,,UK,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-01-09
28,Purple Haze #1 - 15 Seeds Feminized,0.68691753,,UK,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-01-09
29,Purple Haze - 15 Seeds Feminized,0.80383366,,UK,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-01-09
