,name,price(BTC),from,to,vendor,cat_hash,cat,date
0,Skywalker - 15 Seeds Feminized,0.45090180,,UK,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-04-25
1,CANNABIS SEED - MASTER KUSH REGUALAR,0.09216432,,USA,Charlie_Bartlett,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-04-25
2,10x HASH PASSION F1 FREE SHIPPING!!! OUTDOOR TESTED!!!,0.03987975,,Austria,Renegade,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-04-25
3,Wappa clone . Well rooted Cannabis  plant .,0.10020040,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-04-25
4,Straw Sour Diesel - 15 Seeds Feminized,0.28857715,,UK,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-04-25
5,Holy Grail Kush - 18 Seeds Feminized,0.48096192,,UK,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-04-25
6,Smurfberry Hybrid Feminized Autoflower Seeds,0.10020040,,USA,simonlabond,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-04-25
7,12 x Lemon Skunk indoor seeds (F2),0.04408817,,Germany,PeterLustig,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-04-25
8,5 Cold Creek Kush Cannabis seeds (Not feminized),0.13426853,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-04-25
9,CBD Yummy - 15 Seeds Feminized,0.34432865,,UK,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-04-25
10,International Super Stealth,0.04008016,,USA,simonlabond,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-04-25
11,5 Kushage Cannabis seeds (Not feminized),0.11623246,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-04-25
12,Chernobyl X Sage n Sour regular seeds,0.10020040,,USA,simonlabond,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-04-25
13,5 Warlock Cannabis seeds (Not feminized),0.10020040,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-04-25
14,CBD Skunk Haze - 15 Seeds Feminized,0.34432865,,UK,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-04-25
15,Amnesia Lemon - 15 Seeds Feminized,0.30661322,,UK,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-04-25
16,10 Cannabis Seeds,0.03406813,,Germany,Spacelab,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-04-25
17,5 Burmese Kush Cannabis seeds (Not feminized),0.11623246,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-04-25
18,5 Chocolate Chunk Cannabis seeds (Not feminized),0.08016032,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-04-25
19,5 MK-Ultra Cannabis seeds (Not feminized),0.15030060,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-04-25
20,5 Taste Bud Cannabis seeds (Not feminized),0.08617234,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-04-25
