,name,price(BTC),from,to,vendor,cat_hash,cat,date
0,+ BLUE DREAM SEEDS +,0.08330556,,USA,CaliforniaGreenCross,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-23
1,10 Heavy Duty Fruity Cannabis seeds (Not feminized),0.16105742,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-23
2,Polar Light x 7 seeds -  Autoflowering and Feminized seeds.,0.19437965,,EU,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-23
3,5 Wreckage Cannabis seeds (Not feminized),0.06942130,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-23
4,11 Chronic Cannabis seeds ( Not feminized ),0.13884260,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-23
5,Purple Haze #1 - 15 Seeds Feminized,0.54034766,,UK,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-23
6,40x HASH PASSION F1 FREE SHIPPING!!! OUTDOOR TESTED!!!,0.09441297,,Austria,Renegade,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-23
7,10 Skunk XXX Cannabis seeds (Not feminized),0.06942130,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-23
8,Qty#010 - Green House Seeds Auto Northern Lights,0.18743752,,USA,StrainHunters,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-23
9,10  Dark Star Cannabis seeds (Not feminized),0.18604909,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-23
10,5 Super Glue Cannabis seeds (Not feminized),0.06109074,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-23
11,5 S.A.G.E Cannabis seeds (Not feminized),0.06942130,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-23
12,100 Mixed Cannabis Seeds - Only $49,0.13606575,,USA,My_Private_Garden,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-23
13,10 Burmese Kush Cannabis seeds (Not feminized),0.16105742,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-23
14,CBD Critical Mass - 15 Seeds Feminized,0.47711873,,UK,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-23
15,CBD Shark - 15 Seeds Feminized,0.47711873,,UK,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-23
16,10 PG-13 Cannabis seeds (Not feminized),0.11107408,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-23
17,10 A-Train Cannabis seeds (Not feminized),0.16105742,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-23
18,10 The Hog Cannabis seeds (Not feminized),0.20826391,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-23
19,10x Belladonna Quality Seeds by Paradise Seeds,0.06942130,,Germany,Mandala,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-23
20,CHOCO HAZE (ZAMNESIA SEEDS) FEMINIZED x 3 seeds,0.06247917,,EU,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-23
21,12 x k2 indoor seeds (F2),0.05831389,,Germany,PeterLustig,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-23
22,ROYAL DWARF (ROYAL QUEEN SEEDS) FEMINIZED x 5 seeds,0.09718982,,EU,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-23
23,11 Biddy Early Cannabis seeds (Not feminized),0.09163612,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-23
24,10 Kushage Cannabis seeds (Not feminized),0.16105742,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-23
25,5 Skunkage Cannabis seeds (Not feminized),0.04720648,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-23
26,11 Warlock Cannabis seeds (Not feminized),0.13884260,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-23
27,CHOCO HAZE (ZAMNESIA SEEDS) FEMINIZED x 5 seeds,0.07914028,,EU,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-23
