,name,price(BTC),from,to,vendor,cat_hash,cat,date
0,100 Counterfeit $20,0.76335877,,USA,fakeasanything,jVzNrGRBi0,Counterfeits/Money,2014-06-09
1,Custom HQ Passport Scan,0.13462038,,Internet,starlight,jVzNrGRBi0,Counterfeits/Money,2014-06-09
2,5 Counterfeit $20,0.04436353,,USA,fakeasanything,jVzNrGRBi0,Counterfeits/Money,2014-06-09
3,50€uro CouterFeits Note -24Delivery,0.64250638,,EU,AmicoFriz,jVzNrGRBi0,Counterfeits/Money,2014-06-09
4,US BoA Credit Card with $1k+ guaranteed credit available on it,0.38244427,,rland,HellMaker,jVzNrGRBi0,Counterfeits/Money,2014-06-09
5,Counterfeit $20's USA,0.01223821,,USA,canadasunshine,jVzNrGRBi0,Counterfeits/Money,2014-06-09
6,50€uro CouterFeits Note -24Delivery,0.64250638,,EU,AmicoFriz,jVzNrGRBi0,Counterfeits/Money,2014-06-09
7,WellsFargo Bank Account,0.10708439,,Internet,HellMaker,jVzNrGRBi0,Counterfeits/Money,2014-06-09
8,50 Counterfeit $20,0.42068870,,USA,fakeasanything,jVzNrGRBi0,Counterfeits/Money,2014-06-09
9,"Counterfeit $5, USA",0.00305955,,USA,canadasunshine,jVzNrGRBi0,Counterfeits/Money,2014-06-09
10,PART 2/2 Anon AUS/AUD bank account + debit card + phone,1.22382168,,Australia,RagnarLodbrok,jVzNrGRBi0,Counterfeits/Money,2014-06-09
11,1 Ounce Fine Gold Counterfeit Bar,0.49717756,,USA,zunidog,jVzNrGRBi0,Counterfeits/Money,2014-06-09
12,Sample Pack (2x $20),0.02294665,,USA,fakeasanything,jVzNrGRBi0,Counterfeits/Money,2014-06-09
13,10 contefiet $10Bills,0.06883997,,USA,pill_innovation,jVzNrGRBi0,Counterfeits/Money,2014-06-09
14,Counterfeit $20 Bills ($5 per bill),0.03059554,,USA,Black_Label,jVzNrGRBi0,Counterfeits/Money,2014-06-09
15,Counterfeit GBP £20 (£1000) SPECIAL OFFER!,0.69217824,,,pinky,jVzNrGRBi0,Counterfeits/Money,2014-06-09
16,Counterfeit GBP £20 (£200),0.24476433,,UK,pinky,jVzNrGRBi0,Counterfeits/Money,2014-06-09
17,200 $10 bills,0.76488855,,USA,pill_innovation,jVzNrGRBi0,Counterfeits/Money,2014-06-09
18,2 contefiet $20 bills,0.02294665,,USA,pill_innovation,jVzNrGRBi0,Counterfeits/Money,2014-06-09
19,5 contefriet $20 bills ($100),0.03824442,,USA,pill_innovation,jVzNrGRBi0,Counterfeits/Money,2014-06-09
20,COUNTERFEIT MAKING MEGA PACK (+TEMPLATES&BOOK),0.07648885,,rland,getro,jVzNrGRBi0,Counterfeits/Money,2014-06-09
21,Deal For T******l,2.11109241,,,AmicoFriz,jVzNrGRBi0,Counterfeits/Money,2014-06-09
22,20€uro CouterFeits Note Express Delivery,0.50482644,,EU,AmicoFriz,jVzNrGRBi0,Counterfeits/Money,2014-06-09
23,FULL GUIDE FOR MAKING 50 EURO NOTES - DETAILS IN DESCRIPTION,0.03059554,,rland,getro,jVzNrGRBi0,Counterfeits/Money,2014-06-09
24,100 x Counterfeit €50 Euro Notes! High Quality!! (€5000),3.67146506,,EU,TurboIrish,jVzNrGRBi0,Counterfeits/Money,2014-06-09
25,Prepaid US BANK Mastercard - $3500/day ATM Withdrawal - High Limits!,2.29466566,,USA,HellMaker,jVzNrGRBi0,Counterfeits/Money,2014-06-09
26,20€uro CouterFeits Note Express Delivery,0.50482644,,EU,AmicoFriz,jVzNrGRBi0,Counterfeits/Money,2014-06-09
27,"(100% Unique, 2 Guides) How To Pass Counterfeit Money",0.02294665,,rland,getro,jVzNrGRBi0,Counterfeits/Money,2014-06-09
28,vip pick nba/mlb,0.01070843,,World,Bettingescrow,jVzNrGRBi0,Counterfeits/Money,2014-06-09
29,Custom for iris***n12,0.39009316,,EU,TurboIrish,jVzNrGRBi0,Counterfeits/Money,2014-06-09
30,USB Portable Magnetic Stripe Card,0.45740335,,China,fake,vvKMDUoa1L,Counterfeits/Electronics,2014-06-09
31,MSR206 magnetic card reader,0.30442564,,China,fake,vvKMDUoa1L,Counterfeits/Electronics,2014-06-09
32,Samsung Galaxy Note 3 - Quad Core,0.60426195,,HongKong,Mike,vvKMDUoa1L,Counterfeits/Electronics,2014-06-09
33,SAMSUNG GALAXY 16 gb+ ANONYMOUS SIM CARD + TUTORIALS,0.15297771,,EU,fake,vvKMDUoa1L,Counterfeits/Electronics,2014-06-09
34,ANTI TAPPING FOR LANDLINES,0.06119108,,EU,fake,vvKMDUoa1L,Counterfeits/Electronics,2014-06-09
35,Samsung Galaxy S4 - Quad Core,0.45128424,,HongKong,Mike,vvKMDUoa1L,Counterfeits/Electronics,2014-06-09
36,Urbeats By Dr. Dre Tour Earphones Earbuds For Iphone Ipad etc.(Super Replica),0.08031329,,China,Bigdeal100,vvKMDUoa1L,Counterfeits/Electronics,2014-06-09
