,name,price(BTC),from,to,vendor,cat_hash,cat,date
0,5 The Hog Cannabis seeds (Not feminized),0.11923688,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-07-05
1,5 Kushage Cannabis seeds (Not feminized),0.09220985,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-07-05
2,5 Chronic Cannabis seeds ( Not feminized ),0.07949125,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-07-05
3,5 Dutchmen's Royal Orange Cannabis seeds (Not feminized),0.04451510,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-07-05
4,5 regular seeds - AK47 Automatic - autoflowering sativa dominant,0.07949125,,Australia,budbrother,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-07-05
5,1 x Crazy Bud Seed Autoflowering Feminized (Kera seeds),0.01082670,,Netherlands,Seeds_Co,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-07-05
6,3 Belladonna Cannabis seeds ( Feminized),0.04769475,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-07-05
7,Cannabis ruderalis seeds (25seeds),0.04769475,,World,toysoldiers,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-07-05
8,5 Warlock Cannabis seeds (Not feminized),0.07949125,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-07-05
9,5 MK-Ultra Cannabis seeds (Not feminized),0.11923688,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-07-05
10,5 Electric Lemon G Cannabis seeds (Not feminized),0.11923688,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-07-05
11,3 Hippie Killer Cannabis seeds ( Feminized),0.06677265,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-07-05
12,5 Mendocino Madness Cannabis seeds (Not feminized),0.05246422,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-07-05
13,5 Dark Star Cannabis seeds (Not feminized),0.10651828,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-07-05
14,5 Fuma con Dios Cannabis seeds (Not feminized),0.04451510,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-07-05
15,5 Da Purps Cannabis seeds (Not feminized),0.07949125,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-07-05
16,White Widow Hybrid Feminized Autoflower Seeds,0.07949125,,USA,simonlabond,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-07-05
17,"Cannabis ruderalis seeds,(10 seeds).",0.02384737,,World,toysoldiers,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-07-05
