,vendor,date_min,date_max, date_evo_min, date_evo_max,exact_Evo,exact_SR,exact_c9,hamming_SR,hamming_evo,hamming_c9,three_mkt,h_three_mkt,two_mkt,h_two_mkt,all_mkt,h_all_mkt,ag_and_dead_market,ag_and_evo_market,h_ag_only
1885,stickyhash,2014-05-24,2014-11-06, 2014-06-22, 2014-11-16,1.0,,1.0,0,1,1,,1,,1,,0,0,1,0
1886,dutchhouse,2014-11-06,2015-01-04,,,,,,0,0,0,,0,,0,,0,0,0,1
1887,thebulldog,2014-08-30,2015-02-19,,,,,,0,0,0,,0,,0,,0,0,0,1
1888,greenmountainman,2014-09-05,2015-07-07, 2014-10-29, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
1889,amyrose420,2014-10-29,2014-11-14,,,,,,0,0,0,,0,,0,,0,0,0,1
1890,miley_cyrus,2014-11-11,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
1891,thagoods,2014-02-24,2015-06-04, 2014-12-04, 2015-01-09,1.0,,,1,1,0,,1,,1,,0,0,1,0
1892,ugl_oz,2014-02-23,2014-11-03,,,,,,1,0,0,,0,,1,,0,1,0,0
1893,flyingdutchmen,2014-07-18,2015-01-28, 2014-06-30, 2015-01-09,1.0,,1.0,0,1,1,,1,,1,,0,0,1,0
1894,mahakala108,2014-11-21,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
1895,baron,2014-02-24,2015-01-02, 2014-09-06, 2015-01-09,1.0,,1.0,0,1,1,,1,,1,,0,0,1,0
1896,pureanduncut,2014-09-15,2015-03-03, 2015-01-09, 2015-01-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
1897,marleys,2014-02-24,2014-12-23, 2014-06-09, 2014-12-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
1898,lance.armstr0ng,2014-05-03,2014-11-03,,,,1.0,,1,0,0,,0,,1,,0,1,0,0
1899,ukgrowers,2014-07-26,2014-12-06,,,,,,0,0,0,,0,,0,,0,0,0,1
1900,aurorax420,2014-08-14,2014-11-08,,,,,,0,0,0,,0,,0,,0,0,0,1
1901,killindagame66,2014-11-13,2015-07-07, 2015-01-02, 2015-03-26,1.0,,1.0,0,1,1,,1,,1,,0,0,1,0
1902,dimebaggin,2014-10-04,2014-12-26,,,,,,0,0,0,,0,,0,,0,0,0,1
1903,theoutlets!,2014-07-05,2014-09-22,,,,,,0,1,0,,0,,1,,0,0,1,0
1904,aneaglemum,2014-04-06,2014-10-19,,,,,,0,0,0,,0,,0,,0,0,0,1
1905,alldrugs,2015-04-03,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
1906,legacy,2014-11-08,2015-02-13,,,,1.0,,1,0,0,,0,,1,,0,1,0,0
1907,jay-zandbeyonce,2014-06-19,2014-11-03,,,,,,0,0,0,,0,,0,,0,0,0,1
1908,mypharmacy,2015-04-07,2015-06-22,,,,,,0,0,0,,0,,0,,0,0,0,1
1909,rocky-shardy,2015-02-17,2015-04-23, 2014-06-25, 2015-01-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
1910,counsellor,2015-01-06,2015-04-30, 2015-02-21, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
1911,drmania,2015-03-29,2015-06-07,,,,,,0,0,0,,0,,0,,0,0,0,1
1912,zetaoc,2015-04-14,2015-05-10, 2014-12-09, 2015-01-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
1913,canadalabsupply,2015-03-22,2015-06-30,,,,,,0,0,0,,0,,0,,0,0,0,1
1914,neuralnirvana,2015-05-17,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
1915,harmreduction,2015-03-22,2015-06-13,,,,,,0,0,0,,0,,0,,0,0,0,1
1916,mampulver,2014-12-10,2015-01-26,,,,,,0,0,0,,0,,0,,0,0,0,1
1917,purefiremeds,2014-01-16,2014-09-29, 2014-06-13, 2014-11-07,1.0,,,0,1,0,,0,,1,,0,0,1,0
1918,greenmissy,2014-04-06,2014-09-22,,,,,,0,0,0,,0,,0,,0,0,0,1
1919,mssource,2014-03-06,2014-11-11, 2014-06-22, 2015-01-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
1920,sustain,2014-07-18,2014-10-27,,,,,,0,0,0,,0,,0,,0,0,0,1
1921,goldhash,2014-12-24,2015-03-30,,,,,,0,0,0,,0,,0,,0,0,0,1
1922,dieselthc,2014-04-06,2014-06-19,,,,,,0,0,0,,0,,0,,0,0,0,1
1923,heinekenbeer,2014-04-26,2014-06-19, 2014-06-09, 2014-07-22,1.0,,,0,1,0,,0,,1,,0,0,1,0
1924,sheepishop,2014-05-03,2014-07-05,,,,,,0,0,0,,0,,0,,0,0,0,1
1925,sodawater,2015-03-22,2015-04-09, 2014-11-19, 2015-01-09,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
1926,method_man,2015-01-29,2015-06-11,,,,,,0,0,0,,0,,0,,0,0,0,1
1927,mseller-amidone,2015-02-26,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
1928,guccisgifts,2015-05-10,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
1929,darkexpresso,2014-02-23,2014-09-22,,,,,1.0,0,0,1,,0,,1,,0,1,0,0
1930,albertheijn,2014-04-06,2015-03-16, 2014-06-09, 2015-03-24,1.0,1.0,1.0,1,1,1,1.0,1,1.0,1,1.0,1,0,1,0
1931,hookers_and_blow,2014-02-02,2014-05-05,,,,,,0,0,0,,0,,0,,0,0,0,1
1932,trippymane14,2014-02-23,2015-05-21,,,,,,0,0,0,,0,,0,,0,0,0,1
1933,pandatime,2014-02-15,2014-04-06,,,,,,0,0,0,,0,,0,,0,0,0,1
1934,yinyangweed,2015-03-22,2015-07-07, 2015-03-26, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
1935,behappy,2014-02-23,2014-03-06,,,,,,0,0,0,,0,,0,,0,0,0,1
1936,quickymart,2014-02-28,2014-03-03,,,,,,0,0,0,,0,,0,,0,0,0,1
1937,road_runner,2014-02-24,2014-06-01,,,,1.0,,1,0,0,,0,,1,,0,1,0,0
1938,rabbithole,2014-02-23,2015-07-07, 2014-06-09, 2015-01-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
1939,bodyinaction,2014-01-09,2015-07-01, 2014-06-09, 2015-03-24,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
1940,turboirish,2014-05-16,2014-06-09,,,,,,0,0,0,,0,,0,,0,0,0,1
1941,killergreenbuds,2014-02-23,2014-04-06,,,,,,0,0,0,,0,,0,,0,0,0,1
1942,mechwarrior,2015-06-15,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
1943,thesensai,2014-11-16,2015-07-04,,,,,,0,0,0,,0,,0,,0,0,0,1
1944,lucyuk,2015-02-17,2015-05-17, 2015-03-26, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
1945,preview-of-freedom,2014-06-03,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
1946,goku420,2015-01-04,2015-07-04,,,,,,0,0,0,,0,,0,,0,0,0,1
1947,bluegiraffe,2014-02-05,2014-06-03,,,,1.0,,1,0,0,,0,,1,,0,1,0,0
1948,_drugs.inc_,2014-01-16,2014-11-03,,,,,,0,0,0,,0,,0,,0,0,0,1
1949,tbone,2014-02-10,2014-10-09,,,,,1.0,0,0,1,,0,,1,,0,1,0,0
1950,mr.cashout,2014-10-04,2014-11-08,,,,,,0,0,0,,0,,0,,0,0,0,1
1951,digitalhood,2014-02-18,2014-02-24,,,,,,0,0,0,,0,,0,,0,0,0,1
1952,foxygirl,2015-04-07,2015-07-07, 2014-11-20, 2015-03-26,1.0,1.0,,1,1,1,,1,,1,,1,0,1,0
1953,krytocratic_tyranny,2015-05-03,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
1954,rosalie,2015-05-04,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
1955,nw-frosties,2015-07-07,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
1956,nightmare,2015-02-26,2015-07-07,,,,,,0,1,0,,0,,1,,0,0,1,0
1957,original_smileawhile,2015-06-01,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
1958,highservice,2015-05-04,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
1959,crystallotus,2015-05-31,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
1960,cannabisfarmer,2015-02-24,2015-04-12,,,,,,0,0,0,,0,,0,,0,0,0,1
1961,new_demension,2015-02-19,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
1962,salviana,2015-04-12,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
1963,hqcns,2015-04-07,2015-05-13, 2015-02-21, 2015-03-12,1.0,,,0,1,0,,0,,1,,0,0,1,0
1964,freakyfelineone,2015-06-26,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
1965,lostheaven007,2015-04-07,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
1966,yaoming-ukevolution,2015-03-25,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
1967,mrblacklabel,2015-05-03,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
1968,mitch.silver,2015-03-27,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
1969,kilogram,2015-03-03,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
1970,greenadder36,2015-03-22,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
1971,ozagrade,2015-03-22,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
1972,topnotchpills,2015-01-21,2015-06-12,,,,,,0,0,0,,0,,0,,0,0,0,1
1973,xxib,2015-04-12,2015-05-11,,,,,,0,0,0,,0,,0,,0,0,0,1
1974,fightowensfight,2015-03-05,2015-05-15,,,,,,0,0,0,,0,,0,,0,0,0,1
1975,waitrose,2015-03-25,2015-07-07, 2014-06-09, 2015-01-09,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
1976,expressfarms,2015-04-09,2015-05-13,,,,,,0,0,0,,0,,0,,0,0,0,1
