,vendor,date_min,date_max, date_evo_min, date_evo_max,exact_Evo,exact_SR,exact_c9,hamming_SR,hamming_evo,hamming_c9,three_mkt,h_three_mkt,two_mkt,h_two_mkt,all_mkt,h_all_mkt,ag_and_dead_market,ag_and_evo_market,h_ag_only
0,uknextday,2014-04-06,2015-07-07, 2014-06-09, 2015-01-09,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
1,chemsdirect,2015-06-20,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
2,chess,2014-02-23,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
3,hulken,2015-06-12,2015-06-26,,,,,,0,0,0,,0,,0,,0,0,0,1
4,perfectscans,2014-01-01,2015-06-30, 2014-06-09, 2015-03-26,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
5,gotmilk,2014-02-05,2015-07-07, 2014-06-25, 2015-03-26,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
6,alisdrugstore,2015-05-31,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
7,discover,2014-02-02,2015-07-07, 2014-06-09, 2015-03-26,1.0,,1.0,0,1,1,,1,,1,,0,0,1,0
8,bigskybuds,2014-07-18,2015-06-30,,,,,,0,0,0,,0,,0,,0,0,0,1
9,~bigboy,2014-06-22,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
10,carlbildt,2014-02-23,2015-07-07,,,,1.0,,1,0,0,,0,,1,,0,1,0,0
11,colocures,2014-12-06,2015-07-07, 2015-02-21, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
12,bigralphexpress,2015-02-28,2015-07-07, 2015-02-21, 2015-03-16,1.0,,,0,1,0,,0,,1,,0,0,1,0
13,windowsmoke,2015-06-01,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
14,stardockgalix,2014-01-01,2015-07-07, 2014-06-20, 2015-01-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
15,maxhavelaar,2014-01-01,2015-07-07, 2014-06-09, 2015-01-09,1.0,,1.0,0,1,1,,1,,1,,0,0,1,0
16,elangaba,2015-06-20,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
17,fungusamongus,2015-03-29,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
18,qualitydrugs,2015-04-13,2015-07-07,,,,,1.0,0,0,1,,0,,1,,0,1,0,0
19,2cbking,2015-04-23,2015-07-07, 2015-03-15, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
20,c8n,2015-02-24,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
21,walter_white,2014-04-06,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
22,terragreen,2015-01-26,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
23,thewolfofdarknet,2015-03-25,2015-07-07, 2014-08-06, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
24,fulltime,2015-03-10,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
25,calisfinest,2014-12-06,2015-06-30, 2014-11-27, 2015-03-24,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
26,coachsanta,2014-11-23,2015-07-07, 2014-12-27, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
27,thomascheer,2014-12-12,2015-07-07, 2014-12-06, 2015-01-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
28,ozonearmor,2015-04-10,2015-06-30,,,,,,0,0,0,,0,,0,,0,0,0,1
29,ukjuiceman,2015-04-07,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
30,drwhite,2014-01-16,2015-07-07, 2014-06-09, 2015-03-24,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
31,goingpoztal,2014-10-17,2015-07-07,,,,,,0,1,1,,1,,1,,0,0,1,0
32,mindful-shaman,2014-01-01,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
33,medizinmann,2015-03-22,2015-06-11, 2015-03-26, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
34,crystal_clean,2015-03-29,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
35,labtested,2015-06-01,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
36,greenhaus,2014-02-23,2015-07-07,,,,1.0,,1,0,0,,0,,1,,0,1,0,0
37,top-crop,2015-06-01,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
38,optiman,2014-07-18,2015-07-07, 2014-07-18, 2015-03-26,1.0,,1.0,0,1,1,,1,,1,,0,0,1,0
39,eztest,2014-02-10,2015-07-07, 2014-06-09, 2015-03-24,1.0,,1.0,0,1,1,,1,,1,,0,0,1,0
40,holland-kitchen,2014-07-05,2015-04-14, 2014-06-26, 2014-09-18,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
41,nostress,2014-02-28,2015-07-07, 2014-11-26, 2015-01-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
42,iamyourman,2015-02-26,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
43,project4,2014-07-18,2015-07-07,,,,1.0,,1,0,0,,0,,1,,0,1,0,0
44,p3nd8s,2014-02-02,2015-07-07, 2014-11-22, 2015-01-09,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
45,highergroundsnl,2014-02-18,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
46,plantshop,2015-06-01,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
47,budsnroses,2014-08-18,2015-06-26, 2014-08-01, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
48,onepiece,2015-01-24,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
49,qualityhydrobuds,2014-04-06,2015-07-07,,,,,,0,1,0,,0,,1,,0,0,1,0
50,ozgreen,2015-04-10,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
51,mrsunshine,2014-01-01,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
52,2ndamendman,2015-05-29,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
53,highways,2015-05-31,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
54,febbraio2468,2014-02-23,2015-06-28, 2014-06-09, 2015-03-20,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
55,sacdirtycrew,2015-03-03,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
56,nogovernment,2014-11-10,2015-06-26, 2014-12-07, 2015-01-09,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
57,dutchdeal,2014-01-09,2015-07-07, 2014-06-09, 2015-03-24,1.0,1.0,1.0,1,1,1,1.0,1,1.0,1,1.0,1,0,1,0
58,jetsetlife,2015-02-26,2015-06-11,,,,,,0,0,0,,0,,0,,0,0,0,1
59,realdope,2014-06-16,2015-05-21, 2014-08-14, 2015-01-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
60,dsr_syndicate,2015-04-02,2015-07-07, 2014-06-09, 2014-12-06,1.0,,,1,1,0,,1,,1,,0,0,1,0
61,pharm2u,2015-01-04,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
62,gold,2014-04-06,2015-06-07, 2014-06-09, 2015-03-24,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
63,proxycat9,2015-03-10,2015-05-13,,,,,,0,0,0,,0,,0,,0,0,0,1
64,purplemoon,2014-11-14,2015-04-27, 2014-12-05, 2015-01-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
65,boomers,2014-08-27,2015-07-07, 2014-06-09, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
66,shadok,2015-04-03,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
67,roxtar,2015-02-05,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
68,afrikansun,2014-04-06,2015-07-07, 2014-06-09, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
69,alfaomega,2014-05-24,2015-05-13, 2014-06-09, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
70,drmagic,2014-08-14,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
71,alchemycd,2014-05-16,2015-07-07, 2014-06-09, 2015-03-24,1.0,,1.0,0,1,1,,1,,1,,0,0,1,0
72,green-machine,2014-01-01,2015-07-07,,,,1.0,,1,0,0,,0,,1,,0,1,0,0
73,micasa-sucasa,2015-01-24,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
74,cocaparis,2014-01-01,2015-06-30, 2014-07-02, 2015-03-24,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
75,pureheaven,2014-01-09,2015-04-07, 2014-07-21, 2015-01-09,1.0,,1.0,0,1,1,,1,,1,,0,0,1,0
76,aussiedomesticdrugs,2014-07-18,2015-06-26,,,,1.0,,1,0,0,,0,,1,,0,1,0,0
77,the_free_marketeer,2014-12-28,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
78,bcbudking,2014-01-09,2015-07-07, 2014-07-22, 2015-03-22,1.0,,,0,1,0,,0,,1,,0,0,1,0
79,optumis,2014-10-03,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
80,lord_of_weed,2014-09-22,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
81,huarwe,2014-01-16,2015-07-04,,,,,,0,0,0,,0,,0,,0,0,0,1
82,guccibuds,2014-04-06,2015-07-07, 2014-10-15, 2015-03-24,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
83,pflegerin,2014-01-16,2015-07-07, 2014-11-07, 2014-12-31,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
84,westcoastcure,2014-06-11,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
85,aalbion,2015-03-25,2015-07-04,,,,,,0,0,0,,0,,0,,0,0,0,1
86,weedy,2015-01-16,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
87,behappy008,2014-08-14,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
88,drblackhat,2014-10-25,2015-07-07, 2014-08-29, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
89,psilomanufacture,2014-07-05,2015-07-07, 2014-09-12, 2015-01-09,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
90,humboldtsfinest,2014-01-09,2015-07-07, 2014-11-16, 2015-03-24,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
91,thefairtrader,2014-03-03,2015-07-04,,,,1.0,,1,0,0,,0,,1,,0,1,0,0
92,zetaze,2015-03-22,2015-04-13,,,,,,0,0,0,,0,,0,,0,0,0,1
93,atmel,2014-02-23,2015-05-15, 2014-10-31, 2015-03-24,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
94,strattonoakmont,2014-04-21,2015-04-30, 2014-06-09, 2015-01-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
95,aseel,2014-12-30,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
96,happydrugs,2014-07-05,2015-07-07, 2014-11-29, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
97,threewisemen,2014-02-18,2015-06-26, 2014-06-09, 2015-03-26,1.0,1.0,1.0,1,1,1,1.0,1,1.0,1,1.0,1,0,1,0
98,autosafe,2014-02-23,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
99,aus-domestic-depot,2014-07-05,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
100,spartanlabsoz,2014-11-10,2015-07-07, 2014-11-13, 2015-01-09,1.0,1.0,1.0,1,1,1,1.0,1,1.0,1,1.0,1,0,1,0
101,maggots,2014-01-01,2015-06-26,,,,,,0,1,0,,0,,1,,0,0,1,0
102,galaxytreez,2015-03-03,2015-07-07, 2015-02-27, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
103,checkpoint,2014-04-06,2015-07-07, 2014-06-09, 2015-03-24,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
104,chroncentrates,2015-04-27,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
105,calicannabisclub,2015-04-02,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
106,toyota,2014-07-05,2015-07-07, 2014-06-20, 2015-01-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
107,partydrugz4you,2015-03-22,2015-07-07, 2015-03-26, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
108,wakeside917,2014-02-05,2015-07-07, 2014-12-30, 2015-01-09,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
109,digitalpunk,2014-01-01,2015-07-07, 2014-06-09, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
110,chinachem,2014-05-24,2015-06-26, 2014-06-09, 2015-03-24,1.0,1.0,1.0,1,1,1,1.0,1,1.0,1,1.0,1,0,1,0
111,bluestracks,2015-02-26,2015-04-14,,,,,,0,0,0,,0,,0,,0,0,0,1
112,superspeedbros,2015-03-25,2015-07-07, 2014-06-20, 2015-01-09,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
113,biglcartel,2014-07-18,2015-06-30,,,,,,0,0,0,,0,,0,,0,0,0,1
114,twice5250,2015-03-22,2015-06-04,,,,,,0,0,0,,0,,0,,0,0,0,1
115,cutebitch,2015-02-16,2015-04-07, 2015-02-21, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
116,organix2,2014-01-01,2015-07-07,,,,,,0,1,1,,1,,1,,0,0,1,0
117,high-society,2014-10-17,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
118,mania,2014-05-24,2015-07-07, 2014-06-09, 2015-01-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
119,jacobslvr,2015-01-29,2015-06-11,,,,,,0,0,0,,0,,0,,0,0,0,1
120,1dboladay,2014-04-06,2015-04-07, 2015-02-21, 2015-03-24,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
121,supplyguy,2015-03-16,2015-06-30,,,,,,0,0,0,,0,,0,,0,0,0,1
122,lostheaven,2014-08-14,2015-07-07, 2015-03-26, 2015-03-26,1.0,1.0,1.0,1,1,1,1.0,1,1.0,1,1.0,1,0,1,0
123,unknownseller,2014-02-23,2015-07-07, 2014-10-29, 2015-01-09,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
124,swampdonkey,2014-09-29,2015-04-13, 2014-10-29, 2015-01-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
125,blueberriepie,2015-01-01,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
126,growthhormone,2014-04-06,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
127,elchako0705,2014-12-30,2015-06-11,,,,,,0,0,0,,0,,0,,0,0,0,1
128,chipzahoy,2014-07-18,2015-06-07, 2014-10-29, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
129,a1crack,2015-03-25,2015-07-07, 2014-12-28, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
130,subzero!!,2015-01-21,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
131,digimon,2014-09-26,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
132,theben,2014-05-16,2015-07-07, 2014-06-09, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
133,parrotfish,2014-01-09,2015-07-04, 2014-11-30, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
134,qualitycontroll,2015-05-31,2015-06-30,,,,,,0,0,0,,0,,0,,0,0,0,1
135,utopic,2014-02-23,2015-07-07, 2014-11-18, 2015-01-09,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
136,abcgo,2014-12-28,2015-07-07, 2014-12-31, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
137,bake-my-day,2014-03-06,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
138,xanax_god,2015-04-03,2015-06-26,,,,,,0,0,0,,0,,0,,0,0,0,1
139,steamore,2015-01-08,2015-06-26, 2014-10-06, 2015-01-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
140,listonishere,2014-06-16,2015-07-07, 2014-09-03, 2015-01-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
141,meowtime,2014-08-09,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
142,intransit,2014-12-15,2015-04-25,,,,,,0,0,0,,0,,0,,0,0,0,1
143,quicknick,2014-05-03,2015-06-30,,,,,,0,0,0,,0,,0,,0,0,0,1
144,purista,2014-02-18,2015-06-28,,,,,,0,0,0,,0,,0,,0,0,0,1
145,cultmadeline,2014-02-23,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
146,oliver201,2014-04-26,2015-07-07, 2014-12-17, 2015-01-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
147,fmatthews,2014-05-06,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
148,faded,2014-02-15,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
149,dr-lude,2015-01-26,2015-07-07,,,,,,1,0,0,,0,,1,,0,1,0,0
150,dragonemperor,2015-02-26,2015-03-22, 2015-02-25, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
151,eldorado,2014-04-24,2015-05-05,,,,,,0,0,0,,0,,0,,0,0,0,1
152,unclepsychedelic,2014-01-01,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
153,bulkshipping,2014-12-30,2015-03-29,,,,,,0,0,0,,0,,0,,0,0,0,1
154,sayno2drugs,2014-03-03,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
155,lawnmowerman,2014-01-01,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
156,dr.clean,2015-02-21,2015-05-05,,,,,,0,0,0,,0,,0,,0,0,0,1
157,bostongeorge14,2014-09-20,2015-05-10,,,,,,0,0,0,,0,,0,,0,0,0,1
158,huntersthompson,2014-06-11,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
159,budindustries,2015-03-22,2015-07-07, 2015-02-21, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
160,ozchronic,2014-10-25,2015-07-07, 2014-09-18, 2015-01-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
161,rainbowbear,2014-04-24,2015-07-07, 2014-06-09, 2015-01-09,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
162,datgurlgo,2014-05-16,2015-07-07,,,,1.0,,1,0,0,,0,,1,,0,1,0,0
163,midwestmedical,2014-05-06,2015-07-07, 2014-12-05, 2015-01-09,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
164,psychotropix,2014-08-18,2015-07-07, 2014-06-09, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
165,nlshop,2015-01-18,2015-05-06, 2014-11-13, 2015-01-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
166,thrills,2015-02-11,2015-06-28, 2015-03-26, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
167,purebase,2014-06-11,2015-02-19, 2014-08-29, 2015-01-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
168,simonlabond,2014-02-23,2015-07-07, 2014-06-09, 2014-09-21,1.0,,,0,1,0,,0,,1,,0,0,1,0
169,verdelimon,2014-01-01,2015-07-07, 2014-06-09, 2015-01-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
170,weedkingg,2015-02-13,2015-02-17,,,,,,0,0,0,,0,,0,,0,0,0,1
171,hollymolly,2014-08-03,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
172,comebackhaze48,2014-07-18,2015-05-21, 2014-08-20, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
173,vendorz,2014-09-29,2015-05-05, 2014-09-24, 2015-01-09,1.0,1.0,1.0,1,1,1,1.0,1,1.0,1,1.0,1,0,1,0
174,mdpro,2015-02-11,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
175,importdirect,2014-02-28,2015-03-19, 2014-06-09, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
176,sanadiversion,2014-05-24,2015-07-07, 2014-07-28, 2015-01-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
177,rocketchem,2015-01-23,2015-07-07, 2015-03-26, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
178,walt-disney,2014-11-21,2015-06-04,,,,,,1,0,0,,0,,1,,0,1,0,0
179,focused,2014-06-16,2015-05-05,,,,,,0,0,0,,0,,0,,0,0,0,1
180,derriese5,2014-05-31,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
181,misstripzz,2014-11-08,2015-07-07,,,,,,0,1,0,,0,,1,,0,0,1,0
182,chemicals_spain,2014-02-23,2015-03-25, 2014-11-04, 2015-03-24,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
183,zolter,2014-09-22,2015-02-24,,,,,,0,0,0,,0,,0,,0,0,0,1
184,zues,2014-05-06,2015-06-20, 2014-08-01, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
185,neeberg,2014-01-01,2015-06-07,,,,,,0,0,0,,0,,0,,0,0,0,1
186,krautling,2014-06-19,2015-06-28,,,,,,0,0,0,,0,,0,,0,0,0,1
187,canadianchronic,2015-02-17,2015-05-21,,,,,,0,0,0,,0,,0,,0,0,0,1
188,cloud9products,2014-11-15,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
189,ukmeds,2014-04-06,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
190,sereal,2014-01-01,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
191,aftershop,2014-10-25,2015-07-07, 2015-02-21, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
192,cb2013,2014-01-01,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
193,snakeoil,2014-04-26,2015-07-07, 2014-11-29, 2015-01-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
194,dimercurio,2014-04-24,2015-07-07, 2014-08-25, 2014-10-29,1.0,,,0,1,0,,0,,1,,0,0,1,0
195,msstoner,2014-02-23,2015-06-04, 2014-06-09, 2015-01-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
196,medibuds,2014-01-01,2015-07-07,,,,,1.0,0,0,1,,0,,1,,0,1,0,0
197,carlos_lopez,2014-01-26,2015-07-07, 2014-06-30, 2015-03-24,1.0,,,1,1,0,,1,,1,,0,0,1,0
198,william_shatner,2014-02-02,2015-07-07,,,,,,1,0,0,,0,,1,,0,1,0,0
199,whateversavailable,2014-11-11,2015-06-01,,,,,,0,0,0,,0,,0,,0,0,0,1
200,-inanna-,2014-02-02,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
201,reallytired,2014-07-18,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
202,magicted,2014-05-06,2015-06-30, 2014-08-25, 2014-12-16,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
203,emeraldtriangle,2014-02-23,2015-07-07, 2014-09-13, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
204,vipsmoke,2014-08-27,2015-07-07, 2014-08-15, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
205,matthias75015,2014-06-11,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
206,europedrugs,2014-05-24,2015-07-07, 2014-06-09, 2015-03-26,1.0,,1.0,0,1,1,,1,,1,,0,0,1,0
207,bestblow,2014-10-17,2015-04-23, 2014-11-25, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
208,mrcognoscenti,2015-01-02,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
209,thirtyrox,2014-01-01,2015-07-07, 2014-06-09, 2015-01-09,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
210,killerqp,2014-10-25,2015-02-26, 2014-10-15, 2014-11-20,1.0,,,0,1,0,,0,,1,,0,0,1,0
211,cannaseed,2014-02-23,2015-07-07, 2014-06-09, 2014-09-13,1.0,,,0,1,0,,0,,1,,0,0,1,0
212,doctornick,2014-02-28,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
213,threegold,2014-07-18,2015-07-07,,,,,1.0,0,0,1,,0,,1,,0,1,0,0
214,ausxtc,2014-02-23,2015-07-07, 2014-06-17, 2015-03-12,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
215,klaymen,2014-02-05,2015-07-07, 2014-08-01, 2015-01-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
216,arctic,2014-04-06,2015-07-07, 2014-11-25, 2015-01-09,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
217,drrx,2014-07-26,2015-07-07, 2014-08-29, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
218,doritos_doritos,2015-02-01,2015-04-27, 2015-02-21, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
219,rave2dagrave,2014-12-23,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
220,budboss,2014-02-23,2015-07-07, 2014-06-09, 2015-03-24,1.0,1.0,1.0,1,1,1,1.0,1,1.0,1,1.0,1,0,1,0
221,dionysos,2014-12-24,2015-07-07, 2014-06-09, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
222,ladyskywalker,2014-07-18,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
223,constellations,2014-08-27,2015-02-26, 2014-11-26, 2015-03-07,1.0,,,0,1,0,,0,,1,,0,0,1,0
224,creamsicle,2014-08-14,2015-02-09,,,,,1.0,0,0,1,,0,,1,,0,1,0,0
225,pacificpremium,2014-02-23,2015-06-22, 2014-06-29, 2014-08-03,1.0,,,0,1,0,,0,,1,,0,0,1,0
226,czmademan,2014-07-21,2015-07-07, 2014-07-07, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
227,hot-potato,2014-06-19,2015-06-15,,,,,,0,0,0,,0,,0,,0,0,0,1
228,modernlove,2014-02-28,2015-07-07, 2014-11-11, 2015-01-09,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
229,dutchtruthteller,2014-07-21,2015-06-07,,,,,,0,0,0,,0,,0,,0,0,0,1
230,thelemonadestand,2014-08-27,2015-07-07,,,,,1.0,0,0,1,,0,,1,,0,1,0,0
231,oscillo66,2014-05-10,2015-05-13,,,,,,0,0,0,,0,,0,,0,0,0,1
232,breezethegnome,2014-12-03,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
233,amsterdamonline,2014-10-22,2015-03-29,,,,,,0,0,0,,0,,0,,0,0,0,1
234,isolatedwarrior,2014-05-31,2015-05-17, 2014-06-09, 2015-03-26,1.0,,1.0,0,1,1,,1,,1,,0,0,1,0
235,hansberger,2014-05-16,2015-06-30,,,,,,0,0,0,,0,,0,,0,0,0,1
236,supercanna,2014-12-01,2015-07-07,,,,,,1,0,0,,0,,1,,0,1,0,0
237,dakotafred,2014-05-24,2015-02-16, 2014-07-02, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
238,mrcocaina,2014-09-29,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
239,cashflow,2014-04-24,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
240,instrument,2014-02-18,2015-07-07,,,,1.0,1.0,1,0,1,,1,,1,,0,1,0,0
241,realaidoneus,2014-04-06,2015-06-11,,,,,,0,0,0,,0,,0,,0,0,0,1
242,aussieexpress,2014-05-16,2015-07-07, 2014-11-03, 2014-11-27,1.0,,,0,1,0,,0,,1,,0,0,1,0
