date,med_val,nbOfProducts,medPrice(dollars)
2014-01-09,,,
2014-01-16,0.09648924,2095.5,82.0269220028
2014-01-26,0.09085802000000001,2617.0,77.85663632359999
2014-02-02,0.09070934000000003,3092.0,76.51884856159998
2014-02-05,0.09076311500000002,3369.5,75.4596215462
2014-02-23,0.12091358,5147.5,83.74303563715
2014-02-24,0.15253016500000002,6870.5,92.47133999415001
2014-02-28,0.15357634000000003,7270.5,91.08818668720002
2014-03-03,0.150458625,7965.5,85.93382805440002
2014-03-06,0.1394279,8339.5,84.99648586460003
2014-04-06,0.16403913,9059.0,88.95543866520003
2014-04-26,0.20415389000000003,10217.5,94.42734253450004
2014-05-16,0.21783939000000002,10959.5,98.95388705055005
2014-05-24,0.202174295,11535.5,96.99087455405004
2014-06-01,0.16113633000000002,12073.5,91.38592760170005
2014-08-03,0.16206432500000004,13319.0,97.95578571325004
2014-08-14,0.17474990500000004,14601.0,99.27666898835002
2014-08-27,0.19396864500000005,15315.5,102.23910628245002
2014-09-05,0.21664318500000007,15374.5,108.53687637915002
2014-09-22,0.24165886500000006,15367.5,106.201216395
2014-10-25,0.29750238000000007,17030.5,154.06880170879026
2014-10-29,0.3255193300000001,18316.0,158.44612165114026
2014-10-31,0.33950306500000016,18446.5,158.6121179414183
2014-11-06,0.3380640250000001,17608.0,155.26813854106828
2014-11-07,0.335528225,16583.5,155.54554708204142
2014-11-15,0.31014537500000006,17442.5,155.06348494229144
2014-12-01,0.26777136500000004,18482.5,104.17662983624996
2014-12-03,0.26431583000000003,18525.5,100.43442644229995
2014-12-06,0.264817265,18735.0,100.42573436779993
2014-12-10,0.26948238,18689.5,100.03254763070726
2014-12-15,0.27965017000000003,18866.5,100.22366573010727
2014-12-20,0.30369557,18723.5,99.32473783932676
2014-12-23,0.315771535,18570.5,97.94608656225722
2014-12-24,0.3047453,18550.5,98.91876745213037
2014-12-28,0.30485159,18104.0,99.10496890199991
2014-12-30,0.31365526000000005,17476.5,98.62111540399992
2015-01-01,0.31729573000000005,16122.0,97.98453172086576
2015-01-08,0.33043882,16936.5,96.89502082817307
2015-01-09,0.345676635,18325.5,97.61042569300724
2015-01-15,0.36152353000000004,18016.5,98.0763492497304
2015-01-16,0.42046026000000003,18255.0,97.61623099178038
2015-01-21,0.46374971,19002.5,97.4885080594499
2015-01-24,0.43969367000000004,19399.0,97.40336897199991
2015-01-26,0.40755375000000005,19524.5,96.77685224099628
2015-01-28,0.3835299250000001,19188.5,96.86327496649628
2015-02-01,0.39128488000000017,19016.5,93.46663450319994
2015-02-02,0.40341471000000023,19576.5,89.38698252669995
2015-02-09,0.3956225350000002,19883.0,91.8893837675414
2015-02-11,0.4126979950000002,20116.5,94.3073396313414
2015-02-13,0.4166196600000002,19201.5,91.99676981179994
2015-02-16,0.38884508500000026,19326.0,91.03399059749263
2015-02-17,0.3741696700000003,20519.5,92.19917218736826
2015-02-24,0.3668890650000003,20256.5,90.93677027203165
2015-02-26,0.36763149000000034,20469.0,89.57257373305603
2015-02-28,0.36761635500000034,20859.0,90.15190978279995
2015-03-03,0.3576162150000003,20327.5,90.34026011320117
2015-03-05,0.3389714250000003,20559.5,88.70214086450116
2015-03-07,0.3239592250000004,21330.0,88.28317363749994
2015-03-10,0.3225958850000004,21449.0,87.77187838448043
2015-03-13,0.3125552750000004,21596.0,88.38262181988043
2015-03-15,0.3033537400000004,21238.0,87.31565029779995
2015-03-19,0.2876091450000004,20460.5,85.68816055261826
2015-03-22,0.31673679000000043,20751.5,86.76670079392923
2015-03-29,0.33991459500000043,22883.0,83.93278981671095
2015-03-30,0.3258973050000004,23314.5,80.73793677559996
2015-04-02,0.3297625550000004,21918.0,80.78533443509994
2015-04-03,0.3326047600000004,21801.5,83.18849127859995
2015-04-07,0.3235570800000004,22704.0,82.22461673359996
2015-04-10,0.32007564000000044,24158.5,79.79953582379994
2015-04-12,0.34134768500000046,25202.5,81.91933611739995
2015-04-25,0.3513196400000004,25028.5,82.17586831909995
2015-04-27,0.3806721400000004,23823.5,85.59268934924995
2015-05-04,0.3749325900000004,23205.0,85.80530987684995
2015-05-06,0.3291663800000004,22703.5,78.45949565504993
2015-05-10,0.33997860000000035,23197.5,81.30444638899993
2015-05-13,0.3474459450000003,24311.0,83.93273683574995
2015-06-04,0.3363814400000003,24928.0,78.56743088889996
2015-06-11,0.3421475500000003,25521.0,77.78121217389997
2015-06-15,0.3109859050000003,24920.5,71.79716814849996
2015-06-20,0.28742752500000024,25635.0,68.75783288549995
2015-06-26,0.32352604500000026,25755.5,78.77691851699996
2015-06-30,0.31643458000000024,25627.5,78.83062835339996
2015-07-04,0.2766294650000002,26129.0,71.03129117209997
2015-07-07,0.26206358500000015,26002.5,68.94546447949998
