filename,ship_from,count,mean,std,min,25%,50%,75%,max
2014-06-11,Italy,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-11,Latvia,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-11,Mexico,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-11,Morocco,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-11,Netherlands,2682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-11,New Zealand,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-11,Norway,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-11,Panama,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-11,Poland,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-11,Singapore,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-11,South Africa,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-11,Spain,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-11,Sweden,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-11,Switzerland,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-11,Thailand,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-11,The United Snakes of Captivity,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-11,"The home of the Body Bags, shotty, and mag",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-11,Torland,1066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-11,UK,1918.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-11,US & CANADA,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-11,USA,6114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-11,Ukraine,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-11,Undeclared;),36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-11,Venezuela,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-11,World,1356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-11,Worldwide,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-11,my pm,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-11,torland,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-11,uk,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,Argentina,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,Australia,743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,Austria,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,Belgium,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,Brazil,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,Canada,735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,Candyland,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2014-06-12,Chile,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2014-06-12,China,805.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,China or EU,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,Christmas Island,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2014-06-12,Colombia,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,Czech Republic,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,Denmark,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,EU,692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,Europe,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,France,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,GERMANY,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2014-06-12,Germany,751.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,Guatemala,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,Hong Kong,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,India,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,Internet,439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,Ireland,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,Italy,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,Latvia,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,Mexico,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,Morocco,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,Netherlands,1341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,New Zealand,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,Norway,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,Panama,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2014-06-12,Poland,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,Singapore,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
