,name,price,from,to,vendor,cat_hash,cat,date
0,Amnesia x 3 feminized seeds,0.05722713,EU,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
1,ROYAL DWARF (ROYAL QUEEN SEEDS) FEMINIZED x 1 seed,0.03929203,EU,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
2,10 regular seeds Power Kush: Pure Power Plant crossed with Hindu Kush,0.07866273,Australia,,budbrother,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
3,10 A-Train Cannabis seeds (Not feminized),0.22812192,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
4,SHINING SILVER HAZE (ROYAL QUEEN SEEDS) FEMINIZED x 5 seeds,0.21337266,EU,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
5,10 regular seeds Hindu Kush - land race from the Hindu Kush mountains,0.07866273,Australia,,budbrother,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
6,ORIGINAL SKUNK (BULK SEEDS) FEMINIZED x 50 seeds,0.98328416,EU,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
7,Barney's Farm Blue Cheese x 5 female seeds. Free shipping,0.13765978,UK,,LorenzoRC,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
8,10 regular seeds - Shiva Skunk - Skunk #1 X Northern Lights #5,0.07866273,Australia,,budbrother,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
9,10 regular seeds - Shiva's OG - Shiva Skunk X OG Kush,0.07866273,Australia,,budbrother,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
10,✌ Nirvana Bubblelicious ♀♂ Mixed  (10 seeds)   US DOMESTIC *NO CUSTOMS WORRY*,0.07866273,USA,,WhateversAvailable,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
11,10  Dark Star Cannabis seeds (Not feminized),0.26352015,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
12,AMNESIA HAZE (ROYAL QUEEN SEEDS) FEMINIZED x 3 seeds,0.16212389,EU,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
13,EASY BUD (ROYAL QUEEN SEEDS) FEMINIZED x 5 seeds,0.17219272,,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
14,CHOCO HAZE (ZAMNESIA SEEDS) FEMINIZED x 10 seeds,0.25565388,EU,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
15,10 Jamaican OG Cannabis seeds (Not feminized),0.22812192,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
16,EASY BUD (ROYAL QUEEN SEEDS) FEMINIZED x 3 seeds,0.12527040,,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
17,AFGHAN KUSH RYDER (WORLD OF SEEDS) FEMINIZED x 3 seeds,0.15653883,EU,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
18,10 regular seeds Hindu's Shiva: Hindu Kush crossed with Shiva Skunk,0.07866273,Australia,,budbrother,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
19,ROADRUNNER AUTOFLOWERING 2 (DINAFEM) FEMINIZED x 3 seeds,0.08609636,EU,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
20,10 Seeds Harlequin (High CDB Non-Fem'd ♀♂),0.15732546,Canada,,galaxytreez,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
21,100 regular seeds Power Kush: Pure Power Plant crossed with Hindu Kush,0.58997050,Australia,,budbrother,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
22,ICE (ROYAL QUEEN SEEDS) FEMINIZED x 3 seeds,0.12192723,EU,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
23,10 Taste Bud Cannabis seeds (Not feminized),0.16912487,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
24,Greenhouse Seeds The Church x 5 Female Seeds Free Shipping,0.13765978,UK,,LorenzoRC,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
25,WHITE WIDOW FEMINIZED x 100 seeds,1.84857423,EU,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
26,International Super Stealth,0.07866273,USA,Worldwide,simonlabond,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
27,10 regular seeds Northern Kush: Northern Lights crossed with Hindu Kush,0.07866273,Australia,,budbrother,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
28,5 regular seeds - Shiva's OG - Shiva Skunk X OG Kush,0.07866273,Australia,worldwide,budbrother,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
29,POWER FLOWER (ROYAL QUEEN SEEDS) FEMINIZED x 5 seeds,0.18289085,EU,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
30,FRISIAN DUCK (DUTCH PASSION) FEMINIZED x 3 seeds,0.16251720,EU,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
31,11 Warlock Cannabis seeds (Not feminized),0.19665683,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
32,✌ Nirvana Seeds AK48 ♀♂ Mixed (10 seeds) US DOMESTIC *NO CUSTOMS WORRY*,0.07866273,USA,,WhateversAvailable,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
33,10 Seeds OG Headstash [Fire OG X Petrolia Headstash] (Non-Fem'd ♀♂),0.15732546,Canada,,galaxytreez,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
34,10 Seeds Sampler Pack (Non-Fem'd ♀♂),0.04916420,Canada,,galaxytreez,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
35,CLASSIC SKUNK (ZAMNESIA SEEDS) FEMINIZED x 3 seeds,0.11402163,EU,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
36,10 Burmese Kush Cannabis seeds (Not feminized),0.22812192,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
37,ICE (ROYAL QUEEN SEEDS) FEMINIZED x 5 seeds,0.18198623,EU,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
38,✌ Nirvana ICE ♀♂ Mixed  (10 seeds)   US DOMESTIC *NO CUSTOMS WORRY*,0.07866273,USA,,WhateversAvailable,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
39,Black Domina Feminized x 3 seeds,0.05663716,EU,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
40,"5 Auto Flowering Cannabis Seeds FASTEST Growing, Ready In Just 3 Months!",0.08259587,EU,Worldwide,Cannaseed,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
41,5 Autoflowering Cannabis Seeds Fast Growing Ready In 3 Months!,0.08259587,EU,Worldwide,Cannaseed,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
42,AFGHAN KUSH RYDER (WORLD OF SEEDS) FEMINIZED x 3 seeds,0.15653883,EU,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
43,WHITE WIDOW FEMINIZED x 250 seeds,3.12684365,EU,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-04
