,name,price,from,to,vendor,cat_hash,cat,date
0,NORTHERN LIGHT FEMINIZED x 3 seeds,0.05262137,EU,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
1,17 x Euforia,0.13847730,Germany,EU,derriese5,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
2,5 Electric Lemon G Cannabis seeds (Not feminized),0.10247320,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
3,Buddha Haze - 15 Seeds Feminized,0.45855374,UK,Worldwide,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
4,10 Early Skunk Cannabis seeds (Not feminized),0.08031683,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
5,CBD Yummy - 15 Seeds Feminized,0.47586340,UK,Worldwide,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
6,50 Mixed Cannabis Seeds - Only $49,0.13570775,USA,USA,My_Private_Garden,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
7,5 Autoflowering Cannabis Seeds Fast Growing Ready In 3 Months!,0.08308638,EU,Worldwide,Cannaseed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
8,10 The Hog Cannabis seeds (Not feminized),0.20771595,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
9,Polar Light x 7 seeds -  Autoflowering and Feminized seeds.,0.19386822,EU,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
10,Shaman - 15 Seeds Feminized,0.36004098,UK,Worldwide,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
11,5 Super Glue Cannabis seeds (Not feminized),0.06093001,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
12,10 PG-13 Cannabis seeds (Not feminized),0.11078184,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
13,11 Biddy Early Cannabis seeds (Not feminized),0.09139502,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
14,✌ Nirvana Seeds AK48 ♀♂ Mixed (10 seeds) US DOMESTIC *NO CUSTOMS WORRY*,0.05539092,USA,,WhateversAvailable,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
15,10 Cold Creek Kush Cannabis seeds (Not feminized),0.18555958,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
16,10x Belladonna Quality Seeds by Paradise Seeds,0.06923865,Germany,Worldwide,Mandala,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
17,Casey Jones - 15 Seeds Feminized,0.39881463,UK,Worldwide,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
18,Brainstorm - 15 Seeds Feminized,0.42927964,UK,Worldwide,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
19,5 x Auto Seeds Fast Growing Ready In 3 Months (Lowryder2 + Hindu Kush Mix),0.08308638,EU,Worldwide,Cannaseed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
20,10 A-Train Cannabis seeds (Not feminized),0.16063367,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
21,11 Chronic Cannabis seeds ( Not feminized ),0.13847730,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
22,Holy Grail Kush - 18 Seeds Feminized,0.66469105,UK,,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
23,CBD Shark - 15 Seeds Feminized,0.47586340,UK,Worldwide,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
24,"5 Auto Flowering Cannabis Seeds FASTEST Growing, Ready In Just 3 Months!",0.08308638,EU,Worldwide,Cannaseed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
25,10  Dark Star Cannabis seeds (Not feminized),0.18555958,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
26,Critical Kush - 15 Seeds Feminized,0.24648960,UK,Worldwide,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
27,CHOCO HAZE (ZAMNESIA SEEDS) FEMINIZED x 10 seeds,0.12462957,EU,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
28,Bubble Cheese - 15 Seeds Feminized,0.54006148,UK,Worldwide,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
29,Straw Sour Diesel - 15 Seeds Feminized,0.39881463,UK,Worldwide,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
30,Amnesia Lemon - 15 Seeds Feminized,0.48467056,UK,Worldwide,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
31,11 Kali Mist Cannabis seeds ( Not feminized),0.15232503,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
32,20 feminised seeds - Sensi Seeds - MIX,0.24095050,UK,Worldwide,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
33,EASY BUD (ROYAL QUEEN SEEDS) FEMINIZED x 3 seeds,0.07477774,,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
34,10  feminised seeds -  Joint Doctor - Diesel Ryder,0.25479823,UK,Worldwide,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
35,10 feminised seeds - GrassOmatic - MaxiHaze,0.24925914,UK,Worldwide,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
36,10 feminised seeds -Dutch Passion - AutoWhite Widow,0.20771595,EU,,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
37,10 feminised seeds -  Barneys Farm - Vanilla Kush,0.18832913,EU,,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
38,WHITE WIDOW FEMINIZED x 1000 seeds,8.03168360,EU,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
39,WHITE WIDOW FEMINIZED x 50 seeds,0.54837012,EU,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
40,WHITE WIDOW FEMINIZED x 250 seeds,2.20178912,EU,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
41,10 feminised seeds  Barneys Farm - Pineapple Chunk,0.17171185,EU,,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
42,10 feminised seeds - Barneys Farm - L.S.D.,0.20494640,EU,,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
43,10 feminised seeds -  Joint Doctor - Chronic Ryder,0.25479823,UK,Worldwide,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
44,Moby Dick #2 - 15 Seeds Feminized,0.34619325,UK,Worldwide,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
45,Bulk FEMINISED cannabis seeds 100 pieces. Choose your strain!,1.19090481,UK,Worldwide,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
46,10 feminised seeds -  GrassOmatic - Maxi GOM,0.20494640,EU,,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
47,10 feminised seeds - GrassOmatic - HazeGom,0.24925914,UK,Worldwide,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
48,10 feminised seeds - Barneys Farm - Tangerine Dream,0.19386822,EU,,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
49,10 feminised seeds - GrassOmatic - Sugar Gom,0.23541141,UK,Worldwide,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
50,22x Safari,0.13847730,Germany,EU,derriese5,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
51,10 feminised seeds -Seedsman - Auto Blue,0.15509457,EU,,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
52,10 feminised seeds - Joint Doctor - Ogre,0.34065416,UK,,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
53,OG Kush - 15 Seeds Feminized,0.30465006,UK,Worldwide,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
54,7 feminised seeds -Dutch Passion - AutoXtreme,0.18832913,EU,,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
55,10 feminised seeds -Kannabia Seeds - BCN Diesel,0.16617276,UK,Worldwide,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
56,10x K2 from Nirvana,0.06923865,Germany,EU,derriese5,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
57,10 regular cannabis seeds - Sensi Seeds - Big Bud,0.22156368,UK,Worldwide,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
58,6 Clones/ Stecklinge Cannabis,0.33234552,Austria,,Oase,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
59,10 feminised seeds - Seedsman Original Skunk #1,0.13847730,EU,,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
60,10 feminised cannabis seeds - Kannabia Seeds - B. Lee,0.19386822,UK,Worldwide,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
61,WHITE WIDOW FEMINIZED x 100 seeds,0.99703658,EU,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
62,Chernobyl X Da Purps regular seeds,0.13847730,USA,Worldwide,simonlabond,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
63,5 Wreckage Cannabis seeds (Not feminized),0.06923865,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
64,12 x Lemon Skunk indoor seeds (F2),0.06093001,Germany,EU,PeterLustig,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
65,+ BLUE DREAM SEEDS +,0.08308638,USA,,CaliforniaGreenCross,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
66,15 Random WEED Seeds,0.02769546,Australia,Australia,HangAbout,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
67,10 Taste Bud Cannabis seeds (Not feminized),0.11909048,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
68,✌ Nirvana Seeds White Widow ♀♂ Mixed (10 seeds) US DOMESTIC *NO CUSTOMS WORRY*,0.05539092,USA,,WhateversAvailable,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
69,Blue Cheese - 15 Seeds Feminized,0.49574874,UK,Worldwide,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
70,Kuchi - 15 Seeds Feminized,0.40283047,UK,Worldwide,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
71,Qty#050 - Green House Seeds Auto Northern Lights,0.83086382,USA,USA,StrainHunters,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
72,10 Mendocino Madness Cannabis seeds (Not feminized),0.09139502,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
73,10x Royal Dane,0.05000000,Netherlands,Europe,danman,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
74,Purple Haze - 15 Seeds Feminized,0.63065333,UK,Worldwide,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
75,5x Hollands Hope Fem,0.05000000,Netherlands,,danman,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-12
