,name,price,from,to,vendor,cat_hash,cat,date
0,10x K2 from Nirvana,0.07398638,Germany,EU,derriese5,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
1,10 Lambo Cannabis seeds (Not feminized),0.19280575,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
2,✌ Nirvana Aurora Indica♀♂ Mixed  (10 seeds)   US DOMESTIC *NO CUSTOMS WORRY*,0.05755395,USA,,WhateversAvailable,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
3,10 Kushage Cannabis seeds (Not feminized),0.16690647,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
4,10  Dark Star Cannabis seeds (Not feminized),0.19280575,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
5,5 Random WEED Seeds,0.02014388,Australia,Australia,HangAbout,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
6,✌ Nirvana Seeds White Widow ♀♂ Mixed (10 seeds) US DOMESTIC *NO CUSTOMS WORRY*,0.05755395,USA,,WhateversAvailable,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
7,11 Kali Mist Cannabis seeds ( Not feminized),0.15827338,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
8,ROYAL DWARF (ROYAL QUEEN SEEDS) FEMINIZED x 5 seeds,0.10071942,EU,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
9,CBD Shark - 15 Seeds Feminized,0.49444604,UK,Worldwide,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
10,CHOCO HAZE (ZAMNESIA SEEDS) FEMINIZED x 5 seeds,0.10932374,EU,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
11,10 Chocolate Chunk Cannabis seeds (Not feminized),0.11510791,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
12,10 Cold Creek Kush Cannabis seeds (Not feminized),0.19280575,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
13,11 Biddy Early Cannabis seeds (Not feminized),0.09496402,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
14,5 Electric Lemon G Cannabis seeds (Not feminized),0.10647482,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
15,Polar Light x 7 seeds -  Autoflowering and Feminized seeds.,0.20143884,EU,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
16,CHOCO HAZE (ZAMNESIA SEEDS) FEMINIZED x 10 seeds,0.16978417,EU,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
17,10 Mendocino Madness Cannabis seeds (Not feminized),0.09496402,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
18,10 Jamaican OG Cannabis seeds (Not feminized),0.16690647,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
19,10 The Hog Cannabis seeds (Not feminized),0.21582733,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
20,+ BLUE DREAM SEEDS +,0.08633093,USA,,CaliforniaGreenCross,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
21,CHOCO HAZE (ZAMNESIA SEEDS) FEMINIZED x 3 seeds,0.08244604,EU,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
22,11 Warlock Cannabis seeds (Not feminized),0.14388489,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
23,10 MK-Ultra Cannabis seeds (Not feminized),0.21582733,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
24,10 PG-13 Cannabis seeds (Not feminized),0.11510791,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
25,10 Taste Bud Cannabis seeds (Not feminized),0.12374100,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
26,10 Skunk XXX Cannabis seeds (Not feminized),0.07194244,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
27,5 S.A.G.E Cannabis seeds (Not feminized),0.07194244,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
28,Qty#010 - Green House Seeds Auto Northern Lights,0.19424460,USA,USA,StrainHunters,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
29,Blue Cheese - 15 Seeds Feminized,0.51510791,UK,Worldwide,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
30,Shoreline - 15 Seeds Feminized,0.41438848,UK,Worldwide,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
31,10 feminised seeds -  Joint Doctor - Chronic Ryder,0.26474820,UK,Worldwide,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
32,10 regular seeds -Kaliman Seeds - Cheese #1,0.28776978,UK,Worldwide,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
33,10 feminised seeds - Female Seeds - BubbleGummer,0.14388489,EU,,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
34,10 feminised seeds - Seedsman - Auto Kush,0.14388489,EU,,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
35,20 feminised seeds - Sensi Seeds - MIX,0.25035971,UK,Worldwide,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
36,5 feminised seeds - Sensi Seeds -Jack Flash #5,0.17841726,UK,Worldwide,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
37,10 feminised seeds - GrassOmatic - Sugar Gom,0.24460431,UK,Worldwide,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
38,WHITE WIDOW FEMINIZED x 1000 seeds,8.34532374,EU,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
39,10 feminised seeds -  GrassOmatic - Maxi GOM,0.21294964,EU,,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
40,10 feminised seeds -  Barneys Farm - Critical Kush,0.19568345,EU,,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
41,10 feminised seeds - GrassOmatic - MaxiHaze,0.25899280,UK,Worldwide,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
42,WHITE WIDOW FEMINIZED x 100 seeds,1.03597122,EU,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
43,WHITE WIDOW (ROYAL QUEEN SEEDS) FEMINIZED x 5 seeds,0.13798561,EU,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
44,10 feminised cannabis seeds - Kannabia Seeds - B. Lee,0.20143884,UK,Worldwide,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
45,10 feminised seeds -Seedsman - Auto Blue,0.16115107,EU,,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
46,10 feminised seeds - Acapulco Gold,0.17841726,EU,,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
47,5 feminised seeds -GrassOmatic - Automatic AK-47,0.14388489,UK,Worldwide,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
48,EASY BUD (ROYAL QUEEN SEEDS) FEMINIZED x 5 seeds,0.12598561,,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
49,10 feminised seeds - Kannabia Seeds - Aphrodita,0.18705035,UK,Worldwide,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
50,10 feminised seeds -Dutch Passion - AutoWhite Widow,0.21582733,EU,,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
51,10 feminised seeds - Jack Flash #5,0.35971223,UK,,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
52,22x Safari,0.14388489,Germany,EU,derriese5,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
53,7 feminised seeds - Dutch Passion - AutoMazar,0.19568345,EU,,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
54,Moby Dick #2 - 15 Seeds Feminized,0.35971223,UK,Worldwide,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
55,10 feminised seeds - Joint Doctor - Ogre,0.35395683,UK,,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
56,10 feminised seeds - Joint Doctor - Easy Ryder,0.26474820,UK,Worldwide,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
57,Bulk FEMINISED cannabis seeds 100 pieces. Choose your strain!,1.23741007,UK,Worldwide,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
58,OG Kush - 15 Seeds Feminized,0.31654676,UK,Worldwide,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
59,10 regular - Kaliman Seeds - Cheese Tease,0.23021582,UK,Worldwide,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
60,10 feminised seeds - Sensi Seeds - Early Skunk,0.19568345,UK,,speedNweed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
61,"5 Auto Flowering Cannabis Seeds FASTEST Growing, Ready In Just 3 Months!",0.08633093,EU,Worldwide,Cannaseed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
62,Buddha Tahoe - 15 Seeds Feminized,0.47646043,UK,Worldwide,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
63,Brainstorm - 15 Seeds Feminized,0.44604316,UK,Worldwide,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-17
