,name,price,from,to,vendor,cat_hash,cat,date
0,50 regular seeds - Shiva Skunk - Skunk #1 X Northern Lights #5,0.31578947,Australia,worldwide,budbrother,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-09-29
1,CANNABIS SEED - MASTER KUSH REGUALAR,0.12102631,USA,USA,Charlie_Bartlett,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-09-29
2,Skywalker - 15 Seeds Feminized,0.59210526,UK,,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-09-29
3,20 Mixed Cannabis Seeds - Only $14.95,0.03934210,USA,USA,My_Private_Garden,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-09-29
4,100x HASH PASSION F1 FREE SHIPPING!!! OUTDOOR TESTED!!!,0.26000000,Austria,Worldwide,Renegade,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-09-29
5,20x HASH PASSION F1 FREE SHIPPING!!! OUTDOOR TESTED!!!,0.09207894,Austria,Worldwide,Renegade,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-09-29
6,10 regular seeds: Liberty Kush: Liberty Haze crossed with Hindu Kush,0.07894736,Australia,worldwide,budbrother,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-09-29
7,"♔ 1,000 Opium Poppy Seeds - (Papaver Somniferum) ♔",0.26315789,USA,Worldwide,namedeclined,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-09-29
8,10 regular seeds Hindu's Shiva: Hindu Kush crossed with Shiva Skunk,0.07894736,Australia,worldwide,budbrother,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-09-29
9,50x HASH PASSION F1 FREE SHIPPING!!! OUTDOOR TESTED!!!,0.18394736,Austria,Worldwide,Renegade,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-09-29
10,8 Ball Kush - 15 Seeds Feminized,0.33773684,UK,Worldwide,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-09-29
11,Acapulco Gold - 15 Seeds Feminized,0.37044736,UK,Worldwide,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-09-29
12,30x HASH PASSION F1 FREE SHIPPING!!! OUTDOOR TESTED!!!,0.12868421,Austria,Worldwide,Renegade,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-09-29
