,name,price,from,to,vendor,cat_hash,cat,date
0,100x HASH PASSION F1 FREE SHIPPING!!! OUTDOOR TESTED!!!,0.13868447,Austria,Worldwide,Renegade,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-21
1,5 S.A.G.E Cannabis seeds (Not feminized),0.07075738,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-21
2,Casey Jones - 15 Seeds Feminized,0.40756254,UK,Worldwide,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-21
3,10 Cold Creek Kush Cannabis seeds (Not feminized),0.18962979,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-21
4,Straw Sour Diesel - 15 Seeds Feminized,0.40756254,UK,Worldwide,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-21
5,+ BLUE DREAM SEEDS +,0.08490886,USA,,CaliforniaGreenCross,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-21
6,Purple Haze #1 - 15 Seeds Feminized,0.55074719,UK,Worldwide,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-21
7,"5 Auto Flowering Cannabis Seeds FASTEST Growing, Ready In Just 3 Months!",0.08490886,EU,Worldwide,Cannaseed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-21
8,Holy Grail Kush - 18 Seeds Feminized,0.67927091,UK,,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-21
9,10 PG-13 Cannabis seeds (Not feminized),0.11321181,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-21
10,10  Dark Star Cannabis seeds (Not feminized),0.18962979,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-21
11,CBD Nordle - 15 Seeds Feminized,0.48630136,UK,Worldwide,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-21
12,10 regular seeds - Widow Lights - White Widow X Northern Lights,0.08490886,Australia,,budbrother,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-21
13,10 Burmese Kush Cannabis seeds (Not feminized),0.16415713,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-21
14,Acapulco Gold - 15 Seeds Feminized,0.47548964,UK,Worldwide,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-21
15,Qty#010 - Green House Seeds Auto Northern Lights,0.19104494,USA,USA,StrainHunters,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-21
16,CBD Critical Mass - 15 Seeds Feminized,0.48630136,UK,Worldwide,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-21
