,name,price,from,to,vendor,cat_hash,cat,date
0,10 Cold Creek Kush Cannabis seeds (Not feminized),0.16924748,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-15
1,5 x Auto Seeds Fast Growing Ready In 3 Months (Lowryder2 + Hindu Kush Mix),0.07578245,EU,Worldwide,Cannaseed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-15
2,5 regular seeds - Skunk Kush - pain relief,0.06315204,Australia,,budbrother,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-15
3,12 x k2 indoor seeds (F2),0.05304771,Germany,EU,PeterLustig,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-15
4,CBD Skunk Haze - 15 Seeds Feminized,0.43403137,UK,Worldwide,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-15
5,Purple Haze #1 - 15 Seeds Feminized,0.49155025,UK,Worldwide,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-15
6,5 S.A.G.E Cannabis seeds (Not feminized),0.06315204,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-15
7,Big Buddha Cheese - 15 Seeds Feminized,0.47995554,UK,Worldwide,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-15
8,Purple Haze - 15 Seeds Feminized,0.57521408,UK,Worldwide,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-15
9,+ BLUE DREAM SEEDS +,0.07578245,USA,,CaliforniaGreenCross,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-15
10,Qty#050 - Green House Seeds Auto Northern Lights,0.75782453,USA,USA,StrainHunters,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-15
11,Kuchi - 15 Seeds Feminized,0.36741859,UK,Worldwide,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-15
12,Skywalker - 15 Seeds Feminized,0.56836840,UK,,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-15
13,Smurfberry Hybrid Feminized Autoflower Seeds,0.12630408,USA,Worldwide,simonlabond,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-15
