,name,price,from,to,vendor,cat_hash,cat,date
0,OG Kush - 15 Seeds Feminized,0.29689608,UK,Worldwide,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-10
1,5 Random WEED Seeds,0.01889338,Australia,Australia,HangAbout,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-10
2,11 Kali Mist Cannabis seeds ( Not feminized),0.14844804,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-10
3,10 Skunk XXX Cannabis seeds (Not feminized),0.06747638,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-10
4,10 Taste Bud Cannabis seeds (Not feminized),0.11605937,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-10
5,Pakistan Ryder x 3 seeds - Autoflowering and Feminized seeds,0.08097165,EU,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-10
6,5 Wreckage Cannabis seeds (Not feminized),0.06747638,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-10
7,Cannabis ruderalis seeds (10 seeds).,0.05398110,World,,toysoldiers,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-10
8,5 S.A.G.E Cannabis seeds (Not feminized),0.06747638,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-10
9,Polar Light x 7 seeds -  Autoflowering and Feminized seeds.,0.18893387,EU,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-10
10,10 Lambo Cannabis seeds (Not feminized),0.18083670,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-10
11,✌ Nirvana Seeds White Widow ♀♂ Mixed (10 seeds) US DOMESTIC *NO CUSTOMS WORRY*,0.09446693,USA,,WhateversAvailable,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-10
12,CLASSIC SKUNK (ZAMNESIA SEEDS) FEMINIZED x 3 seeds,0.05937921,EU,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-10
13,10 Chocolate Chunk Cannabis seeds (Not feminized),0.10796221,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-10
14,10 Early Skunk Cannabis seeds (Not feminized),0.07827260,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-10
15,CHOCO HAZE (ZAMNESIA SEEDS) FEMINIZED x 10 seeds,0.12145748,EU,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-10
16,10  Dark Star Cannabis seeds (Not feminized),0.18083670,UK,,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-12-10
