,name,price,from,to,vendor,cat_hash,cat,date
0,Straw Sour Diesel - 15 Seeds Feminized,0.38607968,UK,Worldwide,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-24
1,Qty#010 - Green House Seeds Auto Northern Lights,0.18097485,USA,USA,StrainHunters,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-24
2,Pakistan Ryder x 3 seeds - Autoflowering and Feminized seeds,0.08043326,EU,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-24
3,20 Mixed Cannabis Seeds - Only $14.95,0.04008257,USA,USA,My_Private_Garden,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-24
4,CBD Critical Mass - 15 Seeds Feminized,0.46066813,UK,Worldwide,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-24
5,+ BLUE DREAM SEEDS +,0.08043326,USA,,CaliforniaGreenCross,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-24
6,"5 Auto Flowering Cannabis Seeds FASTEST Growing, Ready In Just 3 Months!",0.08043326,EU,Worldwide,Cannaseed,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-24
7,10x Belladonna Quality Seeds by Paradise Seeds,0.06702772,Germany,Worldwide,Mandala,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-24
8,ROYAL DWARF (ROYAL QUEEN SEEDS) FEMINIZED x 5 seeds,0.09383881,EU,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-24
9,CBD Yummy - 15 Seeds Feminized,0.46066813,UK,Worldwide,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-24
10,100x HASH PASSION F1 FREE SHIPPING!!! OUTDOOR TESTED!!!,0.13137433,Austria,Worldwide,Renegade,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-24
11,CBD Nordle - 15 Seeds Feminized,0.46066813,UK,Worldwide,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-24
12,12 x k2 indoor seeds (F2),0.05630328,Germany,EU,PeterLustig,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-24
13,CHOCO HAZE (ZAMNESIA SEEDS) FEMINIZED x 10 seeds,0.12064990,EU,,klosterbier,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-11-24
