,name,rating,lastSeen,publicKey,#products,#Deals,parsingDate
0,BonnieNClyde,5.000,Registered 1 years 0 months              0 days,,31,500~1000,2015-02-26
1,HumboldtFarms,4.895,Registered 6 months              0 days,,38,1000~1500,2015-02-26
2,ReDEyE,5.00,Registered 2 months              1 days,,8,70~100,2015-02-26
3,MITAK,5.00,Registered 4 months              1 days,,17,40~55,2015-02-26
4,GrandWizardsLair,4.97,Registered 1 years 0 months              0 days,,8,300~500,2015-02-26
5,littlegoblin,4.91,Registered 11 months              0 days,,14,300~500,2015-02-26
6,Rebel_Alliance,4.991,Registered 1 years 0 months              0 days,,7,500~1000,2015-02-26
7,SeattlesBest,4.974,Registered 1 years 2 months              1 days,,10,500~1000,2015-02-26
8,checkpoint,4.97,Registered 1 years 1 months              0 days,,12,200~300,2015-02-26
9,Comebackhaze48,4.82,Registered 9 months              0 days,,24,150~200,2015-02-26
10,Top_Gear_UK,4.919,Registered 1 years 0 months              0 days,,58,2000~3000,2015-02-26
11,HappyHippy2.0,4.97,Registered 1 years 0 months              0 days,,16,200~300,2015-02-26
12,AmsterdamOnline,4.99,Registered 6 months              4 days,,3,200~300,2015-02-26
13,hogstandard,4.98,Registered 11 months              0 days,,3,150~200,2015-02-26
14,RivendellOrganics,5.00,Registered 1 months              0 days,,3,70~100,2015-02-26
15,xinhai,,,,,,2015-02-26
16,Doritos_Doritos,4,Registered 27 days              0 days,,12,6~10,2015-02-26
17,CashCo,5.00,Registered 1 years 0 months              0 days,,16,150~200,2015-02-26
18,indianpilldaddy,5.00,Registered 1 years 0 months              0 days,,156,200~300,2015-02-26
19,DragonEmperor,,Registered 1 days              0 days,,7,0,2015-02-26
20,RealAidoneus,4.99,Registered 11 months              1 days,,3,300~500,2015-02-26
21,Perron,4.99,Registered 6 months              0 days,,18,300~500,2015-02-26
22,GoingPostal,4.960,Registered 1 years 2 months              1 days,,92,3000~4000,2015-02-26
23,Dimercurio,5.000,Registered 10 months              0 days,,9,500~1000,2015-02-26
24,bartard,4.92,Registered 5 months              0 days,,13,70~100,2015-02-26
25,themoneyteam777,4.95,Registered 7 months              0 days,,13,70~100,2015-02-26
26,weed4you,4.998,Registered 1 years 2 months              0 days,,6,500~1000,2015-02-26
27,HumboldtHerbs,5.00,Registered 4 months              0 days,,14,15~25,2015-02-26
28,OzAlpha,4.99,Registered 1 years 0 months              0 days,,21,300~500,2015-02-26
29,pharmerjo,4.93,Registered 11 months              0 days,,6,300~500,2015-02-26
30,WALLSTREETx2,5.000,Registered 1 years 0 months              0 days,,13,2000~3000,2015-02-26
31,Addies,5,Registered 1 years 0 months             On Vacation Mode since 3 hours,,2,6~10,2015-02-26
32,OregonTrail,5.00,Registered 3 months              0 days,,7,100~150,2015-02-26
33,knappen,5.00,Registered 3 months              0 days,,5,15~25,2015-02-26
34,hanspoel,4.99,Registered 1 years 0 months              0 days,,8,100~150,2015-02-26
35,1dboladay,4.29,Registered 11 months              1 days,,16,25~40,2015-02-26
36,bcndrugs,4.638,Registered 7 months              0 days,,5,1000~1500,2015-02-26
37,AussieExpress,5.00,Registered 9 months              1 days,,2,40~55,2015-02-26
38,Mann-Drog,4.98,Registered 5 months              0 days,,1,150~200,2015-02-26
39,Meds2Buy,4.92,Registered 8 months              0 days,,82,70~100,2015-02-26
40,tinacmarks,5.00,Registered 2 months              0 days,,65,6~10,2015-02-26
41,Kiefernzapfen,4.96,Registered 4 months              0 days,,13,150~200,2015-02-26
42,710HookUp,4.96,Registered 1 years 0 months              0 days,,8,300~500,2015-02-26
43,MIcasa-SUcasa,5.00,Registered 1 months              0 days,,18,15~25,2015-02-26
44,Fire_Fire,4.95,Registered 11 months              0 days,,14,300~500,2015-02-26
45,tripledip,4.97,Registered 5 months              0 days,,8,70~100,2015-02-26
46,babykale420,4.98,Registered 1 years 0 months              0 days,,4,300~500,2015-02-26
47,LucyUK,5.00,Registered 8 days              0 days,,6,40~55,2015-02-26
48,summertime,4.938,Registered 1 years 2 months              0 days,,4,1000~1500,2015-02-26
49,WeRoll,4.847,Registered 1 years 1 months              0 days,,7,500~1000,2015-02-26
50,cocktails,4.60,Registered 3 months              0 days,,14,200~300,2015-02-26
51,AmmoKing,5,Registered 1 months              3 days,,1,1~2,2015-02-26
52,bostongeorge14,4.880,Registered 5 months              0 days,,74,1000~1500,2015-02-26
53,CrazedChemist,4.96,Registered 4 months              0 days,,12,200~300,2015-02-26
54,high-times,5.00,Registered 13 days              0 days,,19,15~25,2015-02-26
55,sereal,4.98,Registered 1 years 2 months              0 days,,38,150~200,2015-02-26
56,ShopAgent,4.77,Registered 10 months              0 days,,58,150~200,2015-02-26
57,T5_NBOMe,4.78,Registered 1 years 0 months              0 days,,28,300~500,2015-02-26
58,Walt-Disney,4.98,Registered 3 months              0 days,,6,100~150,2015-02-26
59,Flyfelix,4.99,Registered 1 years 2 months              0 days,,6,200~300,2015-02-26
60,blow,4.82,Registered 8 months              0 days,,27,150~200,2015-02-26
61,NowOrNever2015,5,Registered 14 days              0 days,,19,6~10,2015-02-26
62,tzzht,5.00,Registered 7 months              0 days,,4,25~40,2015-02-26
63,cultmadeline,4.997,Registered 1 years 0 months              0 days,,16,2000~3000,2015-02-26
64,Eos,4.98,Registered 1 years 1 months              0 days,,7,300~500,2015-02-26
65,brownjames,4.94,Registered 1 years 0 months              0 days,,7,300~500,2015-02-26
66,SocksRocksLocks,4.96,Registered 1 years 2 months              0 days,,1,150~200,2015-02-26
67,chipzahoy,4.929,Registered 8 months              0 days,,75,500~1000,2015-02-26
