,name,rating,lastSeen,publicKey,#products,#Deals,parsingDate
0,littlegoblin,4.90,9 hours,,14,100~150,2014-09-05
1,Rebel_Alliance,4.99,16 hours,,7,300~500,2014-09-05
2,cossacks,4.99,2 hours,,6,300~500,2014-09-05
3,Top_Gear_UK,4.843,4 hours,,22,500~1000,2014-09-05
4,CashCo,5.00,1 hours,,9,70~100,2014-09-05
5,indianpilldaddy,5.00,21 hours,,88,70~100,2014-09-05
6,remoutlet,4.85,6 days,,8,100~150,2014-09-05
7,GoingPostal,4.966,0 hours,,86,1000+,2014-09-05
8,Warbeast,5.00,20 hours,,1,200~300,2014-09-05
9,replicator,,18 hours,,14,0,2014-09-05
10,purebase,4.78,8 hours,,13,55~70,2014-09-05
11,WALLSTREETx2,5.000,1 hours,,9,1000+,2014-09-05
12,mollyjohnson,4.71,2 days 0 hours,,3,100~150,2014-09-05
13,hanspoel,5.00,13 hours,,4,10~15,2014-09-05
14,CornerApothecary,5.00,On Vacation Mode since 10 hours,,5,40~55,2014-09-05
15,BHoily,4.97,14 hours,,5,40~55,2014-09-05
16,Addyshack,4.969,8 hours,,10,500~1000,2014-09-05
17,northernconnection,4.98,1 days 13 hours,,16,150~200,2014-09-05
18,performance1,,0 hours,,4,0,2014-09-05
19,babykale420,4.97,9 hours,,8,100~150,2014-09-05
20,summertime,4.93,2 hours,,10,300~500,2014-09-05
21,sereal,4.98,7 hours,,42,100~150,2014-09-05
22,ShopAgent,5.00,1 days 20 hours,,62,100~150,2014-09-05
23,Flyfelix,4.99,9 hours,,8,100~150,2014-09-05
24,blow,5.00,1 hours,,23,25~40,2014-09-05
25,Eos,4.99,6 hours,,6,200~300,2014-09-05
26,SocksRocksLocks,4.95,7 days,,4,100~150,2014-09-05
27,zable,4.980,2 hours,,16,500~1000,2014-09-05
28,theblossom,5.00,8 hours,,21,100~150,2014-09-05
29,Recoil,5,2 hours,,6,3~5,2014-09-05
30,dgslabz,4.969,4 days,,19,500~1000,2014-09-05
31,32dxbv!vrwndid,5,6 hours,,4,6~10,2014-09-05
