,name,rating,lastSeen,publicKey,#products,#Deals,parsingDate
0,BonnieNClyde,5.00,Registered 11 months              0 days,,34,500~1000,2015-01-24
1,brother_satellite,4.95,Registered 1 months              1 days,,11,25~40,2015-01-24
2,HumboldtFarms,4.950,Registered 5 months              0 days,,25,1000~1500,2015-01-24
3,ReDEyE,5,Registered 1 months              0 days,,3,6~10,2015-01-24
4,MITAK,5.00,Registered 3 months              0 days,,17,25~40,2015-01-24
5,littlegoblin,4.91,Registered 10 months              0 days,,19,300~500,2015-01-24
6,Rebel_Alliance,4.991,Registered 11 months              0 days,,7,500~1000,2015-01-24
7,reximusmaximus,5.00,Registered 2 months              0 days,,8,300~500,2015-01-24
8,checkpoint,4.96,Registered 1 years 0 months              0 days,,15,200~300,2015-01-24
9,Comebackhaze48,4.83,Registered 8 months              0 days,,31,150~200,2015-01-24
10,Top_Gear_UK,4.898,Registered 11 months              0 days,,66,1000~2000,2015-01-24
11,HappyHippy2.0,4.97,Registered 11 months              0 days,,17,200~300,2015-01-24
12,AmsterdamOnline,4.99,Registered 5 months              3 days,,19,150~200,2015-01-24
13,hogstandard,4.98,Registered 10 months              1 days,,5,100~150,2015-01-24
14,RivendellOrganics,5.00,Registered 17 days              0 days,,2,25~40,2015-01-24
15,xinhai,4.972,Registered 11 months              0 days,,12,1000~2000,2015-01-24
16,CashCo,5.00,Registered 11 months              0 days,,18,150~200,2015-01-24
17,indianpilldaddy,5.00,Registered 11 months              0 days,,155,200~300,2015-01-24
18,Herbe,5,Registered 14 days              1 days,,14,3~5,2015-01-24
19,RealAidoneus,4.99,Registered 10 months              2 days,,3,200~300,2015-01-24
20,Perron,4.99,Registered 5 months              0 days,,19,300~500,2015-01-24
21,Dimercurio,5.000,Registered 9 months              0 days,,10,500~1000,2015-01-24
22,MrKidX,4.95,Registered 8 months              0 days,,10,100~150,2015-01-24
23,themoneyteam777,4.96,Registered 6 months              0 days,,12,70~100,2015-01-24
24,weed4you,4.998,Registered 1 years 1 months              0 days,,6,500~1000,2015-01-24
25,HumboldtHerbs,5,Registered 3 months              0 days,,20,10~15,2015-01-24
26,OzAlpha,4.98,Registered 11 months              0 days,,24,300~500,2015-01-24
27,pharmerjo,4.94,Registered 10 months              4 days,,6,200~300,2015-01-24
28,purebase,4.86,Registered 7 months              0 days,,14,200~300,2015-01-24
29,WALLSTREETx2,5.000,Registered 11 months              0 days,,18,2000~3000,2015-01-24
30,Addies,5,Registered 11 months              0 days,,2,6~10,2015-01-24
31,DonTuriddu,4.49,Registered 9 months              0 days,,14,150~200,2015-01-24
32,mollyjohnson,4.72,Registered 11 months              3 days,,2,150~200,2015-01-24
33,OregonTrail,5.00,Registered 2 months              0 days,,6,55~70,2015-01-24
34,knappen,5.00,Registered 2 months              0 days,,7,15~25,2015-01-24
35,TheXFactor,4.94,Registered 7 months              0 days,,12,200~300,2015-01-24
36,DevilWeedSeeds,4.81,Registered 1 years 1 months              0 days,,4,100~150,2015-01-24
37,hanspoel,5.00,Registered 12 months              0 days,,2,40~55,2015-01-24
38,t3h_fonz,4.96,Registered 2 months              0 days,,17,40~55,2015-01-24
39,CornerApothecary,5.00,Registered 11 months              0 days,,1,70~100,2015-01-24
40,bcndrugs,4.662,Registered 6 months              0 days,,6,1000~1500,2015-01-24
41,Addyshack,4.975,Registered 1 years 0 months              0 days,,11,1000~1500,2015-01-24
42,AussieExpress,5.00,Registered 8 months              1 days,,1,25~40,2015-01-24
43,AmsterdamExport,5.00,Registered 2 months              0 days,,10,150~200,2015-01-24
44,Mann-Drog,4.97,Registered 4 months              0 days,,1,100~150,2015-01-24
45,Meds2Buy,4.91,Registered 7 months              0 days,,82,40~55,2015-01-24
46,tinacmarks,5,Registered 1 months              0 days,,65,6~10,2015-01-24
47,Kiefernzapfen,4.90,Registered 3 months              0 days,,12,100~150,2015-01-24
48,MIcasa-SUcasa,,Registered 4 days              0 days,,17,0,2015-01-24
49,tripledip,4.93,Registered 3 months              0 days,,8,25~40,2015-01-24
50,mampulver,5,Registered 1 months              5 days,,3,3~5,2015-01-24
51,babykale420,4.98,Registered 11 months              0 days,,6,200~300,2015-01-24
52,BulkBarn,,Registered 3 days              0 days,,5,0,2015-01-24
53,summertime,4.949,Registered 1 years 1 months              0 days,,7,1000~1500,2015-01-24
54,WeRoll,4.841,Registered 1 years 0 months              0 days,,6,500~1000,2015-01-24
55,cocktails,4.78,Registered 2 months              0 days,,17,150~200,2015-01-24
56,Premiumgear,5.00,Registered 10 months              1 days,,14,200~300,2015-01-24
57,AmmoKing,,Registered 2 days              0 days,,4,0,2015-01-24
58,bostongeorge14,4.864,Registered 4 months              0 days,,64,500~1000,2015-01-24
59,CrazedChemist,5.00,Registered 3 months              0 days,,26,100~150,2015-01-24
60,sereal,4.98,Registered 1 years 1 months              0 days,,37,150~200,2015-01-24
61,tomsmith0626,4.86,Registered 11 months              0 days,,57,150~200,2015-01-24
62,ShopAgent,4.76,Registered 9 months              0 days,,58,150~200,2015-01-24
63,T5_NBOMe,4.74,Registered 11 months              0 days,,28,200~300,2015-01-24
64,Flyfelix,4.99,Registered 1 years 1 months              0 days,,6,150~200,2015-01-24
65,blow,4.80,Registered 7 months              0 days,,18,150~200,2015-01-24
66,tzzht,5.00,Registered 6 months              0 days,,4,15~25,2015-01-24
67,joogman,,Registered 4 days              0 days,,5,0,2015-01-24
68,Eos,4.98,Registered 1 years 0 months              0 days,,7,300~500,2015-01-24
69,brownjames,4.96,Registered 11 months              0 days,,4,200~300,2015-01-24
70,SocksRocksLocks,4.95,Registered 1 years 0 months              1 days,,9,100~150,2015-01-24
71,chipzahoy,4.949,Registered 7 months              0 days,,58,500~1000,2015-01-24
72,CocaParis,4.98,Registered 1 years 1 months              0 days,,11,100~150,2015-01-24
