,name,rating,lastSeen,publicKey,#products,#Deals,parsingDate
0,HumboldtFarms,4.899,Registered 6 months              0 days,,46,1000~2000,2015-03-07
1,ReDEyE,4.99,Registered 2 months              0 days,,9,100~150,2015-03-07
2,GrandWizardsLair,4.97,Registered 1 years 1 months              0 days,,8,300~500,2015-03-07
3,littlegoblin,4.90,Registered 1 years 0 months              0 days,,15,500~1000,2015-03-07
4,Rebel_Alliance,4.992,Registered 1 years 0 months              0 days,,7,500~1000,2015-03-07
5,reximusmaximus,4.998,Registered 3 months             On Vacation Mode since 3 hours,,12,500~1000,2015-03-07
6,SeattlesBest,4.974,Registered 1 years 2 months              0 days,,23,500~1000,2015-03-07
7,checkpoint,4.97,Registered 1 years 1 months              0 days,,16,200~300,2015-03-07
8,Comebackhaze48,4.78,Registered 9 months              2 days,,24,150~200,2015-03-07
9,Top_Gear_UK,4.924,Registered 1 years 0 months              0 days,,33,2000~3000,2015-03-07
10,HappyHippy2.0,4.97,Registered 1 years 0 months              0 days,,15,200~300,2015-03-07
11,galaxytreez,,Registered 5 days              1 days,,10, 3~5,2015-03-07
12,dmvnationsupply,,Registered 8 days              1 days,,1,0,2015-03-07
13,AmsterdamOnline,4.99,Registered 6 months              2 days,,3,200~300,2015-03-07
14,hogstandard,4.98,Registered 11 months              0 days,,6,150~200,2015-03-07
15,RivendellOrganics,5.00,Registered 1 months              0 days,,1,70~100,2015-03-07
16,xinhai,4.975,Registered 1 years 0 months              0 days,,13,2000~3000,2015-03-07
17,CashCo,5.00,Registered 1 years 0 months              0 days,,17,150~200,2015-03-07
18,indianpilldaddy,5.00,Registered 1 years 0 months              0 days,,156,200~300,2015-03-07
19,DragonEmperor,,Registered 10 days              3 days,,7,0,2015-03-07
20,RealAidoneus,4.99,Registered 1 years 0 months              2 days,,3,300~500,2015-03-07
21,TestSubject,5.00,Registered 1 years 0 months              0 days,,0,100~150,2015-03-07
22,Perron,4.99,Registered 6 months              0 days,,14,300~500,2015-03-07
23,GoingPostal,4.960,Registered 1 years 2 months              0 days,,98,3000~4000,2015-03-07
24,Dimercurio,5.000,Registered 11 months              0 days,,12,1000~1500,2015-03-07
25,themoneyteam777,4.95,Registered 7 months              2 days,,13,70~100,2015-03-07
26,Warbeast,5.00,Registered 1 years 2 months              0 days,,2,300~500,2015-03-07
27,weed4you,4.998,Registered 1 years 2 months              0 days,,6,500~1000,2015-03-07
28,HumboldtHerbs,5.00,Registered 5 months              0 days,,20,25~40,2015-03-07
29,pharmerjo,4.94,Registered 11 months              0 days,,7,300~500,2015-03-07
30,WALLSTREETx2,5.000,Registered 1 years 0 months              0 days,,8,2000~3000,2015-03-07
31,Addies,5,Registered 1 years 0 months              0 days,,2,6~10,2015-03-07
32,DonTuriddu,4.71,Registered 10 months              0 days,,14,300~500,2015-03-07
33,OregonTrail,5.00,Registered 3 months              0 days,,9,150~200,2015-03-07
34,hanspoel,4.99,Registered 1 years 1 months              1 days,,8,100~150,2015-03-07
35,1dboladay,4.29,Registered 11 months              0 days,,16,25~40,2015-03-07
36,bcndrugs,4.604,Registered 7 months              4 days,,5,1000~1500,2015-03-07
37,Addyshack,4.975,Registered 1 years 2 months              0 days,,13,1000~2000,2015-03-07
38,AussieExpress,4.97,Registered 10 months              0 days,,2,40~55,2015-03-07
39,Mann-Drog,4.98,Registered 5 months              0 days,,1,150~200,2015-03-07
40,Meds2Buy,4.61,Registered 9 months              2 days,,82,70~100,2015-03-07
41,tinacmarks,5.00,Registered 3 months              0 days,,65,10~15,2015-03-07
42,Kiefernzapfen,4.96,Registered 4 months              0 days,,4,150~200,2015-03-07
43,710HookUp,4.96,Registered 1 years 0 months              0 days,,8,300~500,2015-03-07
44,MIcasa-SUcasa,5.00,Registered 1 months              0 days,,18,15~25,2015-03-07
45,Fire_Fire,4.95,Registered 1 years 0 months              0 days,,14,500~1000,2015-03-07
46,tripledip,4.96,Registered 5 months              0 days,,8,70~100,2015-03-07
47,babykale420,4.98,Registered 1 years 0 months              0 days,,4,300~500,2015-03-07
48,LucyUK,5.00,Registered 17 days              0 days,,6,100~150,2015-03-07
49,summertime,4.941,Registered 1 years 3 months              0 days,,5,1000~1500,2015-03-07
50,WeRoll,4.850,Registered 1 years 1 months              0 days,,6,500~1000,2015-03-07
51,BlackRhinoLabs,,Registered 2 days              0 days,,13,0,2015-03-07
52,cocktails,4.59,Registered 3 months              0 days,,14,200~300,2015-03-07
53,bostongeorge14,4.872,Registered 5 months              0 days,,74,1000~1500,2015-03-07
54,CrazedChemist,5.00,Registered 4 months              0 days,,12,200~300,2015-03-07
55,sereal,4.98,Registered 1 years 2 months              0 days,,39,150~200,2015-03-07
56,ShopAgent,4.78,Registered 11 months              1 days,,58,150~200,2015-03-07
57,T5_NBOMe,4.78,Registered 1 years 0 months              0 days,,28,300~500,2015-03-07
58,Walt-Disney,4.98,Registered 3 months              0 days,,10,150~200,2015-03-07
59,Flyfelix,4.99,Registered 1 years 2 months              1 days,,6,200~300,2015-03-07
60,blow,4.83,Registered 8 months              0 days,,30,150~200,2015-03-07
61,NowOrNever2015,5.00,Registered 23 days              0 days,,19,15~25,2015-03-07
62,tzzht,5.00,Registered 8 months              0 days,,6,25~40,2015-03-07
63,cultmadeline,4.997,Registered 1 years 0 months              0 days,,16,2000~3000,2015-03-07
64,Eos,4.98,Registered 1 years 1 months              3 days,,6,300~500,2015-03-07
65,brownjames,4.94,Registered 1 years 0 months              0 days,,4,300~500,2015-03-07
66,SocksRocksLocks,4.96,Registered 1 years 2 months              0 days,,1,150~200,2015-03-07
67,chipzahoy,4.927,Registered 8 months              0 days,,75,500~1000,2015-03-07
68,AngelEyes,4.99,Registered 1 years 3 months              0 days,,8,300~500,2015-03-07
69,Cocaine_Oxy_Vape_Australia,5.00,Registered 1 months              0 days,,19,25~40,2015-03-07
70,theblossom,5.00,Registered 1 years 0 months              0 days,,28,200~300,2015-03-07
71,androgenie,4.87,Registered 1 years 0 months              2 days,,6,100~150,2015-03-07
72,NordicShrooms,4.96,Registered 1 years 0 months              1 days,,1,100~150,2015-03-07
73,Boggalertz2,5,Registered 2 months              0 days,,5,3~5,2015-03-07
74,diondibra,5.00,Registered 1 months              0 days,,4,55~70,2015-03-07
75,YouOnPills,5.00,Registered 3 months              0 days,,4,10~15,2015-03-07
76,aussie,5.00,Registered 1 months              0 days,,8,25~40,2015-03-07
77,dirt_cheap_china,4,Registered 4 months              6 days,,36,15~25,2015-03-07
78,JimmytheGent,4.986,Registered 8 months              0 days,,10,500~1000,2015-03-07
79,craigman,5.00,Registered 10 months              0 days,,14,100~150,2015-03-07
80,Febbraio2468,4.84,Registered 1 years 2 months              0 days,,5,100~150,2015-03-07
81,InsideTheWhale,4.96,Registered 11 months              0 days,,93,500~1000,2015-03-07
82,ladyskywalker,4.93,Registered 8 months              0 days,,11,300~500,2015-03-07
83,AL-LADin,5.00,Registered 8 months              2 days,,8,70~100,2015-03-07
84,shoeshunge,4.99,Registered 10 months              1 days,,4,300~500,2015-03-07
85,GoodmedsDK,4.98,Registered 9 months              0 days,,19,200~300,2015-03-07
86,WestCoastCure,4.86,Registered 9 months              0 days,,10,300~500,2015-03-07
87,Weed4bits,4.84,Registered 2 months              0 days,,25,100~150,2015-03-07
88,BudBuddy,5.00,Registered 8 months              0 days,,1,40~55,2015-03-07
89,thomascheer,4.50,Registered 2 months              0 days,,150,70~100,2015-03-07
90,CDARWIN,4.98,Registered 3 months              0 days,,14,200~300,2015-03-07
91,MoodyMayhem,4.86,Registered 1 years 2 months              0 days,,35,300~500,2015-03-07
92,THEIRONMAN,5,Registered 0 days              0 days,,5,6~10,2015-03-07
93,etimbuk,4.827,Registered 3 months              0 days,,253,500~1000,2015-03-07
94,GreenBlvd,4.842,Registered 10 months              0 days,,4,1000~1500,2015-03-07
95,MollyMuse,4.994,Registered 1 years 1 months              0 days,,3,500~1000,2015-03-07
96,Hollands-Best,4.805,Registered 10 months              0 days,,90,500~1000,2015-03-07
97,CloneGarden,,Registered 2 days              0 days,,3,0,2015-03-07
98,RealDope,4.925,Registered 9 months              2 days,,7,500~1000,2015-03-07
99,microgirlmonroe,4.87,Registered 2 months              0 days,,20,25~40,2015-03-07
100,PremiumSpores,5,Registered 19 days              0 days,,4,3~5,2015-03-07
101,CZmadeMan,4.90,Registered 11 months              0 days,,29,70~100,2015-03-07
102,HollandsHerbs,5.00,Registered 22 days              0 days,,2,25~40,2015-03-07
103,ImportDirect,4.91,Registered 1 years 0 months              0 days,,22,300~500,2015-03-07
104,Cannaseed,4.83,Registered 1 years 1 months              3 days,,3,15~25,2015-03-07
105,starrynight,4.911,Registered 1 years 1 months              0 days,,14,500~1000,2015-03-07
106,HumboldtsFinest,4.971,Registered 1 years 2 months              0 days,,3,1000~1500,2015-03-07
107,salamalejkum,4.86,Registered 1 years 0 months              0 days,,89,200~300,2015-03-07
108,Angelina,4.909,Registered 1 years 1 months              0 days,,21,1000~1500,2015-03-07
109,panacea,4.851,Registered 8 months              0 days,,12,1000~1500,2015-03-07
110,rainbowbear,4.97,Registered 1 years 0 months              0 days,,18,200~300,2015-03-07
111,grimreaper,4.98,Registered 10 months              0 days,,2,200~300,2015-03-07
112,CallMeJoe,4.99,Registered 9 months              0 days,,8,200~300,2015-03-07
113,blackhand,4.996,Registered 1 years 2 months              0 days,,119,500~1000,2015-03-07
114,Pleatherette,5.00,Registered 4 months              0 days,,1,25~40,2015-03-07
115,DrEarnhardt,4.809,Registered 1 years 3 months              0 days,,30,2000~3000,2015-03-07
116,AustralianHash,5.00,Registered 12 months              0 days,,4,200~300,2015-03-07
117,TessellatedLSD,4.98,Registered 3 months              0 days,,5,150~200,2015-03-07
118,sayno2drugs,4.988,Registered 1 years 0 months              0 days,,11,500~1000,2015-03-07
119,Bisto,4.931,Registered 1 years 0 months              0 days,,22,1000~1500,2015-03-07
120,karmasyndicate,4.950,Registered 4 months              0 days,,35,500~1000,2015-03-07
121,subzero!!,5,Registered 1 months              0 days,,8,10~15,2015-03-07
122,whiteyford,4.941,Registered 1 years 2 months              0 days,,26,500~1000,2015-03-07
123,RichPorter,4.93,Registered 1 years 2 months              0 days,,8,150~200,2015-03-07
124,SomeonewhoISme,5.00,Registered 3 months              0 days,,10,200~300,2015-03-07
125,axa,5.00,Registered 1 years 1 months              0 days,,11,300~500,2015-03-07
126,goku420,4.93,Registered 2 months              2 days,,1,15~25,2015-03-07
127,UrLocalBudTender,,Registered 8 days              0 days,,8,0,2015-03-07
128,krautling,4.96,Registered 9 months              0 days,,1,200~300,2015-03-07
129,OzJuice,5.00,Registered 3 months              0 days,,36,15~25,2015-03-07
130,Republic,5.00,Registered 1 years 0 months              0 days,,2,100~150,2015-03-07
131,CokeMate,4.94,Registered 1 years 1 months              3 days,,6,100~150,2015-03-07
132,Thefairtrader,4.57,Registered 1 years 0 months              0 days,,30,300~500,2015-03-07
133,Praetorian,4.985,Registered 1 years 1 months              0 days,,4,500~1000,2015-03-07
134,digimon,5.00,Registered 5 months              0 days,,6,100~150,2015-03-07
135,TerraGreen,4.95,Registered 8 months              0 days,,6,55~70,2015-03-07
136,Bamsefar,5.00,Registered 2 months              0 days,,9,55~70,2015-03-07
137,lifecare,4.75,Registered 9 months              0 days,,5,100~150,2015-03-07
138,bluestracks,,Registered 3 months              2 days,,2,0,2015-03-07
139,Noogz,4.67,Registered 1 months              0 days,,12,15~25,2015-03-07
140,stiffstyles,5.00,Registered 1 years 0 months              0 days,,116,500~1000,2015-03-07
141,UKChemicals,4.96,Registered 4 months              0 days,,6,70~100,2015-03-07
142,canadianforger,4.977,Registered 1 years 2 months              0 days,,49,1000~1500,2015-03-07
143,fakeasanything,4.833,Registered 1 years 0 months              0 days,,6,1000~1500,2015-03-07
144,QualityWeed,4.998,Registered 1 years 0 months              0 days,,10,500~1000,2015-03-07
145,b1g1mpact,4.85,Registered 1 years 0 months              0 days,,50,300~500,2015-03-07
146,Adderall,4.66,Registered 1 years 3 months              0 days,,7,40~55,2015-03-07
147,rabbithole,4.99,Registered 1 years 0 months              0 days,,2,300~500,2015-03-07
148,aftershop,4.95,Registered 4 months              0 days,,7,70~100,2015-03-07
149,MagicMan,5.00,Registered 3 months              0 days,,5,70~100,2015-03-07
150,Just_Say_Know,4.84,Registered 6 months              0 days,,5,300~500,2015-03-07
151,NorCoKing492,5.00,Registered 1 months              0 days,,2,15~25,2015-03-07
152,GetBTC,4.87,Registered 9 months              0 days,,29,200~300,2015-03-07
153,ProGear,4.96,Registered 5 months              0 days,,18,500~1000,2015-03-07
154,sambalam8,4.98,Registered 1 years 0 months              0 days,,10,300~500,2015-03-07
155,Reverend_Green,4.35,Registered 6 months              2 days,,1,40~55,2015-03-07
156,Renegade,4.92,Registered 1 years 0 months              1 days,,1,100~150,2015-03-07
157,GnarlyGnome,4.98,Registered 7 months              0 days,,8,70~100,2015-03-07
158,Talking_Tom,5.00,Registered 3 months              0 days,,18,40~55,2015-03-07
159,HigherStandards,5.00,Registered 3 months              0 days,,1,25~40,2015-03-07
160,ONAXKing,4.74,Registered 23 days              0 days,,4,25~40,2015-03-07
161,Iceberg,5,Registered 1 years 0 months              0 days,,3,3~5,2015-03-07
162,SharkCocaine,5,Registered 2 months              0 days,,5,3~5,2015-03-07
