,name,rating,lastSeen,publicKey,#products,#Deals,parsingDate
0,pinocchio,4.81,4 hours,-----BEGIN PGP PUBLIC KEY BLOCK-----Version: GnuPG v1.4.12 (MingW32)mQENBFMQ14MBCAChRDa2k08wRR63KfIRxIPb4KJjD46qL2cBbGhrNo2L0GZy8w5gmoBTVys4O8wphN+2JO0Q69vANy1ipExNh1O490Wn2LQVcGOnUq0zaQ/VwAbFgdFrs74grUe/VWDxZvGSvRERuSccGBMjYaaldyorjJ08IKKVTzqIuRbYAgsaHJkdoLh36AxdcJTIVDIhFq4akQT+F/cA8nIGLDggrhJ0+q+aHk7ZUPz2JUyLqsuUaCr8RYbB0XLeRQ4lc39g3jFQkGLuo55rbTTtKYdHBvB3ab7HgSjMXcQbuNI5KuKInhgZuu2aBdCtwL+n531KtqmXQszqtOE54c3kEKEAy3pzABEBAAG0L3Bpbm9jY2hpb21hcmtldHBsYWNlIDxwaW5vY2NoaW8xQHNhZmUtbWFpbC5uZXQ+iQEcBBABCAAQBQJTENeGCRDkU5a7qvkEKQAAe2sIAJfyiW4g4jjopq/2jmATVRGnI4ncKSLnLDUZInkzBdARt+POp5+gwc3a/kgtLK8f1WLTewK7i4+XvvrrOKC+gi756GN69sHMkPgDaSGeP90YkcTMJBXe00QTpWFFnd4gKPZ7bI+70hp2qlthNuYBZc2G4RYMWiD5FoP9es020iXNY59/qAiKY5iXP6OiFIyG73QoktTRj+fCslKloBIhV+s7mQLE5j2AgAOiZw5OG/fEJ9jrZdnE7kyyiAzkAQ//tynOxoIMl7MFw1vUrOWMlGfSRrHkG0Rr4GgixxnjzLFMER0Sr8Ea+nIAwEbzC5D5XxQPJXBMJaCsG35nzB6twqg==QctT-----END PGP PUBLIC KEY BLOCK-----,40,200~300,2014-04-21
1,x7c0mp4ny,,8 hours,,5,0,2014-04-21
2,salamalejkum,5.00,6 hours,-----BEGIN PGP PUBLIC KEY BLOCK-----Version: GnuPG v2.0.17 (MingW32)mQENBFGGlPgBCACTYk4OO2wSRjPLK9mRuLPNHIVpzvP8CfeWarfJA0sCkdOrw/PslmHRseR+IOtope25GHRuzc6PLGhHk661YtEYHV3uifHCJvIhtAChtJLV4NR80mNxNEBwJ6jrkUcc9/DdDOYHQByT9hP+dC91Xi740oW5P7Kk0S23biGvMcSwoKGEiH6x8ElQjn6iQLRMtwzan65KdkH9uV3EmixBm9W8UCDNrpQ+yzcIZy7x/VwZL4ZLjgHyyqJZie7P49yt5YNhqlBKjp42e62zUifJvCEqzzrhC0SXnXv6gZAU2qLE4fubLv6KSu84Zd3MSJV/a2tSQ9XRg7CUQ2oa2nWxHoT1ABEBAAG0FmthcHBweSA8YWRhZHJmakB3cC5wbD6JATgEEwECACIFAlGGlPgCGwMGCwkIBwMCBhUIAgkKCwQWAgMBAh4BAheAAAoJEEhgwm6tViu7r+IH/R2ULY1mHPISxcOJ51me6rLHXsN+HGiIR4/LNnOXN4UMIjxXbgcHl95ex5paGfEj3h5icif5fb4gWSkpSk2tzqvsep3nTh+XJNXm6nsjwkZ1guMtR/sChj/sWeHuWH1On2HpH697auJm4tYpfFEy+PNkPMYBg5dDgnBn9kgE4U3WgxehCxFAqCgZhKZGUsOtCyJ50r30+KGLRNKxWLYcIOtJOBPM4/+7rIwN7rcVbsVqElDTC+7ijXxOYM52EQxd+EciIWpQ4ZMyVlqIbbg2FXUqXsEEQT7G8NNbWcwpMgSz3k6qzAUBJPxBMaFx+MFZQVY3fEPMBn0FdZwe1Vxxqkm5AQ0EUYaU+AEIAOL2cADnDGM/wF/GAjsFfyKRIV5X7RSj6GyMPyhNKH99QWAZQJNwNjwMrZPDbEXMctrpRLYBNsfZ5i2wtBEH+aoGFm/PW/rrIQ4dQDktTar4PqEXlstsqi6ZmxlowOJN3FEUYYnAmfhooji0KuC+O+jsuOAvT9A6/EgzwKMUSGt5tD6CN7v42rMz4IaIGEtC1L0ShNAyN8U+H5nZUToG8EkvJ9kJzofSXYFruLD21syCxZneXGkzo5FiaJgtKLP4iW0G709MqnNUIMlQDm3kWFao4SgFcs54rT3Fo20I/ZcqlYZ0jqD0QafSNfJvYgNNoMxemDAqKNrq4cALgJsn40sAEQEAAYkBHwQYAQIACQUCUYaU+AIbDAAKCRBIYMJurVYru++1B/0Vw8+WJbj85MX7lk6PXWKN57Tunj39H9yiOqEQS11StSj1sq3o4KzEKCb73c1Nkc46SZa6egaMY8HanQ1VfM8PevMXSiZ9rBGeXwHfzIRv6dvLNqbMJ8BGXwCF8MQibK2WJwozvHU/6XGfn9L7rShuOdFSCFyiiCC04wsx5df2mVOWq7cySiA6m+J9LM4moWmEKvE9mHg5kJw/Vtcg5qWVhKOsrSapCkRzsU+bCfVtEAZ1wvZfanoOlfjQrCCt2EOEAQAO5dZ4un44Yjv7hEPf6L9ynIHhFuxBuQP0XxxXchcMXvIavizzFxAbIGxdCQmaSJeD9AmELwifQCDPgILC=jBUb-----END PGP PUBLIC KEY BLOCK-----,69,10~15,2014-04-21
3,freestylerfreak13a,4.95,0 hours,-----BEGIN PGP PUBLIC KEY BLOCK-----Version: GnuPG v1.4.12 (MingW32)mQINBFK4Ed8BEADGNCNQflNy5kMwsSMyD7KTku8yFhCn04unCSfj3t9y0OJDKu8Vsnl7gssQoAPm+HqGffEN6Tx4F8JVmTZjHGJoKJnsPq1DFETzhfuVMOraiBftcobkluXS2CufXXpOJ4gRb46VyP8aQ6ZfZuJkBqV9ayz1whGyrjD+omDJTj+MTI3JSA+nk1IlqXRPMyZIySvTVpmDnT8enLcKXyU+SsbyJASVugkLfzbRn6IBk9H4wUk+TvkfJ+EUlC/x8u2JZcpWZCLgKcH5079erxr3cRmjFintKPsNp1DsmVeIo9OpV4lZZI1ER9lPxzyCvEem066M8dX4QRdAoVOTU4LXILL9fXNaMbCRxuUjjg82kwp3awsiWz48QuAzXgFut/N3oqKqh4fDqMA5+3V1vbKH/p59GdwTqk8QkGHiwQXXlzpqOlRgJcZshMXuFZk3whuM1x5DK/u4aaOebH1KtqKq4e2BrFUc2OmDLJ7z5QTPh0G89C7pUjte95bE6EKWv4iar3+HwX+xDWENYlTDrYo7fpbTSVqIg4fgGx5GWLP0ZuXIXlWhODYhRZtlzd7RDZlNi9TMPMUVuNHmEhXCGvZc60gqnbXertPyoILmX9DYrg1mbVIBtabTiulLuv9AMCjdk+hy/6IBpwu3BGkILDNk3RvxMRW7jNlSC1k/2T2wtEKtAwARAQABtDVSdW1wZWxzdGlsemNoZW4xM2EgPHJ1bXBlbHN0aWx6Y2hlbjEzYUBTYWZlLW1haWwubmV0PokCPgQTAQIAKAUCUrgR3wIbAwUJCWawEQYLCQgHAwIGFQgCCQoLBBYCAwECHgECF4AACgkQO7knlP0vNS7Akw//XxwyQ6DbYwfzBJO8qO9q5Ctauwkpg322eFx9s7tY8dd6hvYMGAr4qQAU1+UNXEkHfa8lcvMvo5V78+yGfB4czlfR2gbPGVUL4CdJ5ulUqiApQ4dfeynQ/7UxeYE1u7TsucVANIwOKe7onthxfUJ7QBu3RahJzoTYCr7f5oQR/ZemTN0+f183CDA5PBmaDP8t1XXbqLDy12JCp3OigoCSJCUCX5RcMOhb0J4gzWHkLGQLKUoxOb9v8VFa1HIZpCt7dI4L33u87P2cYQj3zzrlrxUHMdV2S+wfwWbRt6BzpL+4hvZ60FnYtETJ2Xb1qFAaMO/H1J8Wt7Sfn6QCxfQY9B4CcHbJDsxLVYktKMcdcsn+S+lmszETJy9KmWFO09c7q18bHYXtQ0X91myna4rNltHjJHPJ2m56haRi3V7qQI9E5MQmHFaBAoztprjV3VVSvLOyBoB+icwNVvNG4o4Gl+PepfmoloAG51JEmxJ+GEESHP4eHDJmCVvrPMQnsBvsq1rxEPIKen7aHv1nQ7TG7Kx06FsUnfJS7rBPS1Lz8d83S+CD5CkHQkxXCR4eyjtU5Yh1jLtsieiJYV7lGjH9hXAnqqWszCrN4TBbF7xXFIs2KM0vfeCalYoa2Np2hYeY2gTP5kdS0yU0+uvwsjRPp5TVT5+cGFqYtZntqQIHtK25Ag0EUrgR3wEQANyYSI1zMHji9bgscpBw8B4b7mWIAhBIV2kQcvZ+D8wRSZ9WpRaE7GQAKIAi6a0La3LFAoS0Cx6LNQAfZil6zfg2LxZEfc9wKawOM9mYajfKh9llAcFshOUNBghVl7ok7RQmxZ4XFMrg7xYZ8BZOKzccV0FdPn5m5/gV1hPPkBIoTb240TIhFHIRqDX5O1UxJmpA96dmJj1O94/Y9cW26Y/ddE92GlxzN4AFVK2zLCj+9i50vBwymDEw5TXBkruV6Cp2C2W/JKDuFRqaMHzxH9CpU0cywDInKIZbTIfc7cs+YtrE2QzIke8YCM8i7qiwvqMub+E9a+CQeZgcLG/ffml/JNed/EeMlyFjJKRbnQXuU5oZMRR1h1YyxmdpPVgWo3iKzVzChKWIH5C4EZ5/RP49NVLGmqKjzrNyca0V8EeUtNN0xTURsDvjy1a5UOTvlpXAfblVcjpbwXVInWbuh9J2iy8kH2V1bSva3FBQMgVr/2NEAjhwmQkj0BWU63cCgr2bAODbasxmwRfeRefQmyi3aGNcIOtv913tbpfv9ifgNJ9QwJa9zgF95rl1jOnEpVImf8jw7l+Xbvs3uj9kQ9QSN+9fDoufzHqIw1uEnI0sPgXwJ97WKvFYQxDtTqqXZlRFoLscmalwwuDVxPo+zkDppnjNcN6H5rS+r/kcW+91ABEBAAGJAiUEGAECAA8FAlK4Ed8CGwwFCQlmsBEACgkQO7knlP0vNS5Xww/+OGurPXwr+Pzqv9esdfCN1MyDv7k71gp9HYSOlZv4NG8btnWuDop+HCgW78KEyz0x7omAJfP03rZNuVaYlYf5MvoFBdlyeM/w4O2mHY5csjVGhm/7Yu2N8ysKes+MSMPUtwNXil7YYqKxzPgHonyjXV9m1lzQqQYEwqnVvpMIJRT/XBBS8Gj7ZA9l4858+qfGnd4G2DyAHaDG+Z/zA07fb/FwG+blKd9Pj9l46fcFnb75a7C1BoJg4UMH250T3pvADCyCazZ3147GRCZL7cjFu6U5nOU3Vy25jAsaqS5F24TZoeyk5VbMlZtsiD/7o7C3ZD7nqvENT9nhbTiyzOkkpQ49YOVYVpBd0mit4QldXrKSTUDHfkmozrMvuogQ6XqaZbd5Fqyl76JOmBSmrkIFmJgolLt2omYdZqEb6q0Ej4FDxEMyx8irSHbRmE4uAPFx/NvvsPlsFCEsb8We6sLASEiMOA0jFmUCS5Pp652F0pey6rA8g/hkfW35cLokNkKgNQyDmav9zt8f+33cHBtfJB0tZzM/4P+WbyHxXaPgxfjORctAJ0ZwQNtb+6Qu4O4cEC51PmRYKWabecPHOBtmlbVoahsEVHIQY/3D+qA12P5uL/6zKcE7UquLgYczYd+SdvifroD2IymsxdYmpJMp0a1RUXYSOn8N3ctyxwntmHQ==Wd1f-----END PGP PUBLIC KEY BLOCK-----,34,15~25,2014-04-21
4,HustleDaily,5,1 hours,-----BEGIN PGP PUBLIC KEY BLOCK-----Version: GnuPG/MacGPG2 v2.0.22 (Darwin)Comment: GPGTools - https://gpgtools.orgmQENBFLeqMgBCADJXab1cKDGxQM4xrY2/bUDDvideYKD7v3U9rvmUBS9wWjPbomOuCLkmcJnuCVVK1UHf1z3sN8KBt1gK3P+pPr7ATBKUgaxmnL6JDCTWH7iX4PWt6gEgKDGPmh21qDijWKSkOUkU6zqFjGywJKKySSIxsz3HswFUXWJ9Uwkjqs3hfazFwIKhKMD3+TtfQEBFVzLjK7/P9kLJrkBl1B+soQcc/YNhs3ZaP6H/JAzj7ZW3LUrQwv41Zalo/CPlGpZHnGWVFq84gYAfHvj9KEDbDoMgDy87WljVNJyK+I2y0f/1QaBUHgVakgeTEXNBkXh7/nksF8A1iUX4QnU/RazAwazABEBAAG0KEphY29iIFNtaXRoIDxidXNpbmVzczEwMS5tYWlsQGdtYWlsLmNvbT6JAT0EEwEKACcFAlLeqMgCGwMFCQeGH4AFCwkIBwMFFQoJCAsFFgIDAQACHgECF4AACgkQbRJO0NHaUAiFjggArzbyehofYIIW8TbwLDxGl+JX8Bds/hYoKyVG7Y1WLTGDWN4YHitkyroVJRHC/4J5LhI0KrdA376JI6E1e1pFzdc7dts4gX8LYi5cf9Es4RHRGuLX163zp6L/Z2pqK2mG/S3DJ374qSSUt2NmihTPxlpjNv/QF2cm7U4neQAfBiwuDFxK9VomJW3Bly6SSFJxfWf7pHIXjIYqgJScVpJ5mhb6FPmCXrW7gRaSblSiFx27sisD6/XsflgQ+3ceKfD6etEjA8LVEukI/bIh2FIZxm9XIY+xJnvCcfA/NjM+idddcnOnuYD+C2L+/ZCkDje7sfrsnY+tl1sXZrymvWqYfLkBDQRS3qjIAQgA1TnMn7s2sgr5gmrP8LPCU0s2rhNK7Z72bogXvpXPR9iAJZzzEzRAa25A7yStvwE/8wvaDC2lrP18/+Tbb/l6sYEfxg19WNqj3ahnT6Pj+v1qzf7LQHq0z3neH83MM3y1PgQaY53D0ciwX6qCD/rTOxH/NNR+wp2CWxO/ZyO+mFYQy1EMBfwl0/5qUB7ag67KNMDy8+03RSZgGvUJhBiM3pN+2FyXkFhnn/LaS3VTBSlqYIymSy/DlByTXocoCwfX2mDiufiCRFYqEbaHFKtBqIw14FaW9OHE4QpKPiRbvrqrzEAwuL6VYIpKEzvUVwkY2cWlbBQUjykY163Yq/cEQQARAQABiQElBBgBCgAPBQJS3qjIAhsMBQkHhh+AAAoJEG0STtDR2lAIAvkIAITJND0A9JhJJzoYY9ivwBpyaYQFADP/rgGun7XHNxU7IR/rTMjCJ6SOBSvVsQ4fKTawmQTxUFhG+RazorTdct6e3hogbo3N57T4irJbDZwFOuXrkwxSkrXtHurN4BwlQPALMC9GCgTcFgpCGwrMyaxeeVDt99bgAR4AZQBPYwVtl+/qUZ53sBE/S7uteVgmTpeIuJPPc+SIguuFZSYbDISKsxRFvty1MIX2BPUuQ44yRcbTSuOaM7eB3g08yuJM3HlAnGpCXmP7Z6q4oPbP7DifGV7qBjBV/rv/BoHNHOMwxcGvPwVuP6pquaw+syAsjCK4fOAskWL/NoIFiGsMi4s==laiC-----END PGP PUBLIC KEY BLOCK-----,6,1~2,2014-04-21
5,agora,,,,0,0,2014-04-21
6,ReadySetGo,4.93,18 hours,-----BEGIN PGP PUBLIC KEY BLOCK-----Version: OpenPGP.js v.1.20130420Comment: http://openpgpjs.orgxsBNBFM7na0BCAC8lJhpEBfNHyjaBFEaSMYNlgz2Egv/1mnglEF762/iM0O13WPwUBwI1YCHkqJ0sSXShKFEbGUK6PWQjlHx4Q/i+Y/Aaqofxq+j7jgoWrhbIzCDyF8A/VQ0kQJE7KaAXQcSAVcHT/0wRDoxq10QNLgqIHrTYzARUL9DSEVRxI9CnviCPyyzIHWaUSI3NzdaaxAF0hJMIR5tzcbydwyvjc+CoML7Pwm5ZF0b5MP7hIrgJYNUXgclxykqBApvSqSV5NLCQtN9mi8xmOkP9H+TkJj+D/JXO758ztvzjghNxB/YSA4PJbyWKWQGQbjT4gqJAppve/QZNfaDKHM0ED8zcVFjABEBAAHNIXJhZ25hciA8cmxvZGJyb2t2aWtpbmdAZ21haWwuY29tPsLAXAQQAQgAEAUCUzudrwkQ+yrS0k/tRzYAAM4WB/kBk79GYzLZue97BmqYHw6dvBFAchvakTgcHP/1WMJ5gne0t74E1cA9+p/RgvD++KWCAHde5PlwKagmS/Rk+/Bclr1/daRWJcLOR73PGlkItK9o4a8jrho4BaiUaXRkt5v0Snwkm9nljiv7qRyTaXbClyzzJh9cU2q2zroDT/qj1lviDscVGB0bK34dMSx8jm4U1xLg4idMM6EkUw2VMC3YfqRa3UL9I78RqX5KUDlTc1nnbTF1lShPb0XRY0SDhnIN5rFhbip+GZ7NPa3My39rvUDpxwkJXrZmvXbh+yZOq9uEyMIWn1wpvv7P/mInElZFTyxexPJHpIgpjOg0TGA9=V8Bs-----END PGP PUBLIC KEY BLOCK-----,25,15~25,2014-04-21
7,Hackyboy,4.95,1 days 21 hours,-----BEGIN PGP PUBLIC KEY BLOCK-----Version: GnuPG v2.0.21 (MingW32)mQENBFKwdr4BCACpq9hTrKk3igRq+botkcviR4A8PBuGDEOwGKVt7K8JrFtmHqXCAosQXL5Hynpm190joVcfpe3daZBcUteENSI9fKJfAHUN9f43uxFp4syWj9DFz+95f8Nb4DHCefBa6b5GfXGHNIDQB38bGK9cglwGXpDIDkGbN5peOkcDNvMz1XyopWia9WVEi0vTGxLrROEtj0jmn9cg7Sm625qkQdjRJk7SIPXZsgR9o+WqXP//Aczyg03rn+XMoIaGrGff0x/3hlqq3C1RUiOruGLIRyccb/MWz5p85KpG+7IRO0OkhNU/X/P1EXBOX3Yh7wUvL9Js0epCKnQLBiCBPe/n+bTlABEBAAG0PkhhY2t5Ym95IDxCTS0yY1d1eEs2aVhVZk1zRTdUdTRidURyQ29HYnFTd1UyaW0yQGJpdG1lc3NhZ2UuY2g+iQE5BBMBAgAjBQJSsHa+AhsDBwsJCAcDAgEGFQgCCQoLBBYCAwECHgECF4AACgkQNpCVcvWSujhgwwf/dyJo4zuaqzFEI5FftUGPCEQSduXilCr3SKVFVKNn+9XucUq1ivUsMNcdBkRudADgv7lhS2CDcD/IpmN5CnaKyvI5i4DoBJn5Hgd89c6NR+WqQ7tpWdZHCylQwj888Z9qGhsbrb9d6WfueWQa14elbIkGdZ02VpuooQRrE0Dz/KNlAYA09LmMRtDy/Ql0zm3F8pY9ndLIhc+dcFUdm/p+HEsL97rmzPvaTWPPEVC3IUoWVsnD3jyCQwdT++XdV10DV4m/7AzRY+WSjYMmB+2ax+L5SU2uUqrw3mUV8MJBEFgnd+q8G7kA1FWyh6oPEM/Q1GNXc7kNrpnbSBh61oWWXLkBDQRSsHa+AQgAwjMwns1dLnsqp6NYKjI0LoyzzkI9VoTspk64IwFfx1goPs+u7vDOsAGEDXmk9hmcwH1QPuKcL5V1cZ+WAOrKOxpbBpZHZrxHy5O+NFTMmEXM1PLGaaiKbWnociIApHy1sfY5CuZUxAcJjhpsngzo883nZJFcT7w1zFW3bDH8oTkOlLEGrAm/RXiX/NoN+/JglV//Y7wDoQEEORvWrXTWhG8XQtv0J7u4K+htqFvN0uQyaIZyfHuEQjA3lta91iYbA+ZcjAsDj6dFBuObiSbN+l187WvfFyNpx/4dBXIoNxxtkW8mbAGWNDRVsiVndlQLl7pB1lpG1b7YTr/csHM19wARAQABiQEfBBgBAgAJBQJSsHa+AhsMAAoJEDaQlXL1kro4kTcH/iqV/jNphOJjnsFXic2m/Q1tvlE55PVsZTR6YTwtpyycjNiJn6lOk2b3pNnbmdWWqhUsRT23MF+ptRbiArvb+wzFWBjEpIB5cD1eSU+kXva7ZXFBj+pprUpNgfyfqWQs9TZVLJVI7HIeoOuJS1iK9fjM9Kcrgd6xodfAn5+kZLieHJH+g8t6r+K2amFndHvwXW1fMdjurEzMAWOnEbAHF6q7EknBT4Hurup7EzGSsgGcftB8CPdce9+0MPCgjt2xLjfY5bwNNQCqTyw+ccLpizQ1gOW+Aq37b1VaPiTwlfqWVx1FJpxajlHuszSB1VAQWpsoWtxKcg+axgmYZ/J+CcI==566A-----END PGP PUBLIC KEY BLOCK-----,84,100~150,2014-04-21
8,Dipsy,4.98,17 hours,-----BEGIN PGP PUBLIC KEY BLOCK-----Version: GnuPG v2.0.22 (MingW32)mQENBFKDjA0BCACiCLRQ6A+N9M+R5vMsXjrxT8Caq7Kjn036pOU7wYnh+vWamhwWjlkYLPbqGa5YS/pg786rcnWAU67U/ogBKWhDtvnX0q7nvRzlHJeoxpyMnJhxGo0ae8rhEFd8DHWHY42KLkIUpHWSXCA++NxukJVDD8FOkblfX041DmtKHA22HeHi5r2fEF4Wjo0OSHeSfIF5YvYojN+6MwgkWbjDbPAZf8qYe9Xf1hJbgK2wG8p+p+/UQ2KhWLtP70xyanEtY0vwwvPMU5Xf+Q4rPB3K/jSXuKrVswd7HPq5KBWzTJW09DFrEOXXpLfnI5nCOvBP2FauLySmGEUNGPGiiCIR+He1ABEBAAG0ImRpcHN5Y2FyZHMgPGRpcHN5QGRvbnR1c2VtYWlsLm5vdD6JATkEEwECACMFAlKDjA0CGwMHCwkIBwMCAQYVCAIJCgsEFgIDAQIeAQIXgAAKCRBMQSA3dRQkPWkOB/sGCRJP+DQXliMCzW4WvyirP4I+vh6YhPaNNeYSz7YeOJej39XiFnSoHk45YHZ2l11ZJYp8uu3AVvbljDVHuFg4Utx1lsr7dVl+Y83J60VrQcDEKATzW93olSYMYFYmaiPbeiCcVAX3fppX4hwSnvEBy+cltiJOot4Szxh9jNrtscztAuNcT5i1VLoXNM13n1kfStfPQkPPBNs6Wis3sqlHfsNSmmB6v35HXLEHjtLGgkq7N8sN+R6mAs6nXyjA8FsZsol/ByVLRvHCA9BZlORVhBKhdwQa1WEefTuT9Pgrw0YLNWh2GZcn+SFFZgjpsMHZNp3DU/8pw5C4UwYDV/oXuQENBFKDjA0BCAC13hYVtYxkbhe2vWl0xjfHAdLkfHE+iGQTugV8LrEWnIMf+4jUwf4+Q4IAxD3tX6YyakNaLw/YiKQVUrxwXS3rPyaM1LZLrGVXSJ7b+Vw8F6SY17XTF3Y4nCOe/xDrmyxRXp0+jyV1WfteQMHWMiTWpi6ONpTJWZVob9hw9hc+PcGMbBoJk6cFkOmvVERgD9b+/vfGicMoBSMk+q36BKI+AwJDEnIrQPkwLpoKVEtJWIm560yVZ3zeY6wf/7cyorhWzVquSvnOBvSDmoUBHpmPibWA/78M2W9g2GF57+SuLVf2yhii+tcMgoDjV8n7S4B34Gb7cNkvtdmg3OdiWUvNABEBAAGJAR8EGAECAAkFAlKDjA0CGwwACgkQTEEgN3UUJD1WXgf9Fux/8859FI/FFJQJ7Ymc78CyXi7rdGnvU7g1TM3tHp7b5ItziCHOQjsh0k6JsB+8rjLMK5bFSyXZZK9Ffs6U+esrLVu9+nQcEVCsaAt43OPIzLMgR4DjLD+mB2sGKuARKSuiCmFkLyKCqito1L8/yM6qbwjB8CFlrGNnY6BMsFuLQkelmdZ/vamEWqtoY3Z9RthM9Wyu0KgAtZ5F8IdaRD17TVSlGnOCC+WvQ/R7DFN8XcqGW5h2g6zpXXTV8ImCoR3mZ1h8xt+sJhpYGxaNxd5Bepqg5hDQxAXkksUwyhDzEiMrJdUxTmyEMLKmk+n20ORC+AHeAmbzwxE6fSMOJA===X1qO-----END PGP PUBLIC KEY BLOCK-----,22,70~100,2014-04-21
9,KryptykOG,4.96,1 days 10 hours,-----BEGIN PGP PUBLIC KEY BLOCK-----Version: GnuPG v2.0.20 (MingW32)mQENBFLGaWcBCAC6Sey/iWDXnISvBx/zRDDGpLZ6xy4Xl2Er2z4CtVMnDtepQcFRt5GRWjOu/1RN8scbAtXfwHkS7h2mD0HjJBW7DS32TqkLN8dxBzKZEJMpFZAjHIFcKfJ6nw/j10kR3WjzDzMXFyaELpZf5X3ElPrw23ECJXFARjeUTDx+suL2G9Cz+IiRKUT2csGn0X7fdQX6UmWYgHalFvT3RXSaOjgBfAAFVWN8XTd73HCLtEDRjEidkcr9cvKOHSg6OpDUDbRvMDrZU7JvKDDJ9WlC7HkD9DZXMIaWRDaOkAPKzoZCbvyHvPmzBbnoSvhWmvRxkO/Ybw4pjoIT85nKL9SRw/MBABEBAAG0L0tyeXB0eWtPRyAoRGFya25ldCBWZW5kb3IpIDxLcnlwdHlrT0dAdXJzcy5vcmc+iQE5BBMBAgAjBQJSxmlnAhsDBwsJCAcDAgEGFQgCCQoLBBYCAwECHgECF4AACgkQqppyIVVHML+Jewf/biM/VPUWeMQ4lvHSj94ry4KaIpDkX91VrK7/upKvRbbu+qMtf9/ufoC04eGMwcrREcbVHHbyXYeKvwFWVuprk0DRKruyK0k7Qhtmwh5rK62MwGw9uf+2HlujL/ltll6M2izir3svYy/Q60QEWjh0v8SwTOWjYSWYDICRXzzS3tN/Tpo7TDWu1+ytCzc7XiAyfy4lPCcVeV9oS/l26jL4MjtLwmbU0PzRpbc6MdUMlymHp5LBC9aS2sKZZyp5k2EVh/WZh0XLUPqSyRTuqTH4cImF5JHMFFENyZOxb/D288LY6Mku3NGZFXWNPzdzSGyCb7L3Rxbq75mQVel/6Am3w7kBDQRSxmlnAQgAoDeLGkDEXRuZRwVI39BY/6kuoRahK5TnKZMwjBa4cLTxQYUlgUPDUxJyRG19b/VaTNdllfDVRBmQnzUV2ItsFS4zK3SNXyxv8/epS4/wmNZWepoR2HDLEiOAwyP3fRDyCNrWN+FsemIBu4H1r9U+VghEbWY5NMAIzS2/kdjYyeZk+XECai9HX/OLTNIrWueVbZ1jauqJoNs+bp58dBl7/jRTAI69OG2TabyEJWHJ77UkOErjNiA8N/LYFwNmLOGXiZR587ZICIXEatbR/G0nbmeUbwbODbMCYM0Ila56QdtD1J9UhYd21Z/YdSbY8M+gRpnLrTlD3b493+ZHG9G3nwARAQABiQEfBBgBAgAJBQJSxmlnAhsMAAoJEKqaciFVRzC/jusIAIOwWA432m/euKf+BLBxWpie36HmWXUWr3UbHWCbJnKAaP2AkGXgSOXb1cy/oriGHA776jUIHiubH88f3PxB8F6tLCXQ5UKcvhux0ZyxSGDNGrhl1MhENfKST+S7oMiwBZQle3/OZ7xXuUyE7Qe0C7e1p4nWc1S0p49OWHp2lutPjrarGLOsl88fK5+Oi4HE7lYoFE/IzwOg6J8u1cUVRiK7Q1Kj+pBzUJ1vJtI84p6lu8q6zLborem0V2F+4n+UJgTWd4R1sc/dS6KuEUBr7Czz/Svi2SBPtPixOIJHwJE5gQosFa+WKkOIjTiNOat0/q9W9Wf1k1mV0RW2COkacQ8==2yxu-----END PGP PUBLIC KEY BLOCK-----,37,100~150,2014-04-21
