,name,rating,lastSeen,publicKey,#products,#Deals,parsingDate
0,BonnieNClyde,5.000,Registered 11 months              0 days,,32,500~1000,2015-02-03
1,HumboldtFarms,4.928,Registered 5 months              0 days,,28,1000~1500,2015-02-03
2,ReDEyE,5.00,Registered 1 months              0 days,,7,25~40,2015-02-03
3,MITAK,5.00,Registered 4 months              1 days,,18,40~55,2015-02-03
4,littlegoblin,4.91,Registered 11 months              0 days,,19,300~500,2015-02-03
5,SeattlesBest,4.973,Registered 1 years 1 months              0 days,,1,500~1000,2015-02-03
6,checkpoint,4.96,Registered 1 years 0 months              1 days,,12,200~300,2015-02-03
7,Comebackhaze48,4.81,Registered 8 months              0 days,,31,150~200,2015-02-03
8,Top_Gear_UK,4.905,Registered 11 months              0 days,,66,1000~2000,2015-02-03
9,HappyHippy2.0,4.97,Registered 11 months              0 days,,17,200~300,2015-02-03
10,CoolStoryBabe,,Registered 5 days              3 days,,1,0,2015-02-03
11,hogstandard,4.98,Registered 10 months              0 days,,7,100~150,2015-02-03
12,RivendellOrganics,5.00,Registered 27 days              0 days,,1,40~55,2015-02-03
13,xinhai,4.973,Registered 11 months              0 days,,11,2000~3000,2015-02-03
14,moderationiskey,5.00,Registered 1 months              1 days,,4,15~25,2015-02-03
15,CashCo,4.98,Registered 11 months              0 days,,17,150~200,2015-02-03
16,indianpilldaddy,5.00,Registered 11 months              0 days,,156,200~300,2015-02-03
17,RealAidoneus,4.99,Registered 11 months              0 days,,3,200~300,2015-02-03
18,TestSubject,5.00,Registered 11 months              0 days,,1,100~150,2015-02-03
19,Perron,4.99,Registered 5 months              0 days,,16,300~500,2015-02-03
20,bartard,4.88,Registered 4 months              0 days,,13,55~70,2015-02-03
21,themoneyteam777,4.96,Registered 6 months              0 days,,13,70~100,2015-02-03
22,weed4you,4.998,Registered 1 years 1 months              0 days,,6,500~1000,2015-02-03
23,HumboldtHerbs,5.00,Registered 4 months              2 days,,20,15~25,2015-02-03
24,OzAlpha,4.99,Registered 11 months              0 days,,23,300~500,2015-02-03
25,pharmerjo,4.94,Registered 10 months              0 days,,6,200~300,2015-02-03
26,purebase,4.86,Registered 8 months              0 days,,9,200~300,2015-02-03
27,WALLSTREETx2,5.000,Registered 11 months              0 days,,17,2000~3000,2015-02-03
28,Addies,5,Registered 11 months              5 days,,2,6~10,2015-02-03
29,OregonTrail,5.00,Registered 2 months              0 days,,6,70~100,2015-02-03
30,knappen,5.00,Registered 2 months              0 days,,5,15~25,2015-02-03
31,DevilWeedSeeds,4.82,Registered 1 years 2 months              1 days,,2,100~150,2015-02-03
32,hanspoel,5.00,Registered 1 years 0 months              1 days,,3,55~70,2015-02-03
33,t3h_fonz,4.97,Registered 2 months              0 days,,17,40~55,2015-02-03
34,1dboladay,4.26,Registered 10 months              0 days,,16,25~40,2015-02-03
35,bcndrugs,4.629,Registered 6 months              1 days,,6,1000~1500,2015-02-03
36,Addyshack,4.976,Registered 1 years 1 months              1 days,,19,1000~2000,2015-02-03
37,Meds2Buy,4.91,Registered 8 months              0 days,,82,55~70,2015-02-03
38,tinacmarks,5,Registered 2 months              0 days,,65,6~10,2015-02-03
39,Kiefernzapfen,4.95,Registered 3 months              0 days,,11,100~150,2015-02-03
40,MIcasa-SUcasa,,Registered 14 days              0 days,,18,0,2015-02-03
41,Fire_Fire,4.96,Registered 11 months              0 days,,12,300~500,2015-02-03
42,tripledip,4.94,Registered 4 months              0 days,,8,40~55,2015-02-03
43,babykale420,4.98,Registered 11 months              0 days,,12,200~300,2015-02-03
44,summertime,4.951,Registered 1 years 1 months              0 days,,6,1000~1500,2015-02-03
45,WeRoll,4.827,Registered 1 years 0 months              0 days,,6,500~1000,2015-02-03
46,cocktails,4.61,Registered 2 months              0 days,,17,150~200,2015-02-03
47,Premiumgear,5.00,Registered 10 months              0 days,,14,200~300,2015-02-03
48,AmmoKing,,Registered 12 days              0 days,,4,0,2015-02-03
49,bostongeorge14,4.887,Registered 4 months              0 days,,74,1000~1500,2015-02-03
50,CrazedChemist,5.00,Registered 3 months              0 days,,21,150~200,2015-02-03
51,sereal,4.98,Registered 1 years 1 months              0 days,,36,150~200,2015-02-03
52,ShopAgent,4.77,Registered 10 months              0 days,,58,150~200,2015-02-03
53,T5_NBOMe,4.74,Registered 11 months              0 days,,28,200~300,2015-02-03
54,Walt-Disney,4.98,Registered 2 months              0 days,,13,70~100,2015-02-03
55,Flyfelix,4.99,Registered 1 years 1 months              0 days,,6,150~200,2015-02-03
56,blow,4.80,Registered 7 months              0 days,,18,150~200,2015-02-03
57,tzzht,5.00,Registered 7 months              0 days,,4,15~25,2015-02-03
58,joogman,5,Registered 13 days              0 days,,5,3~5,2015-02-03
59,cultmadeline,5.000,Registered 11 months              0 days,,13,2000~3000,2015-02-03
60,Eos,4.98,Registered 1 years 0 months              2 days,,8,300~500,2015-02-03
61,brownjames,4.93,Registered 11 months              0 days,,4,200~300,2015-02-03
62,SocksRocksLocks,4.96,Registered 1 years 1 months              0 days,,9,100~150,2015-02-03
63,chipzahoy,4.949,Registered 7 months              0 days,,74,500~1000,2015-02-03
64,CocaParis,4.98,Registered 1 years 1 months              0 days,,11,100~150,2015-02-03
65,AngelEyes,4.99,Registered 1 years 2 months              0 days,,8,200~300,2015-02-03
66,rx4cheap,5.00,Registered 8 months              0 days,,30,200~300,2015-02-03
67,Cocaine_Oxy_Vape_Australia,5.00,Registered 14 days              0 days,,11,15~25,2015-02-03
68,theblossom,5.00,Registered 11 months              2 days,,28,200~300,2015-02-03
69,dgslabz,4.975,Registered 1 years 0 months              3 days,,24,1000~2000,2015-02-03
70,androgenie,4.86,Registered 11 months              0 days,,3,100~150,2015-02-03
71,WeedSamaritan,4.866,Registered 11 months              0 days,,22,1000~1500,2015-02-03
72,Boggalertz2,5,Registered 1 months              0 days,,6,1~2,2015-02-03
73,BulkShipping,5,Registered 1 months              0 days,,9,15~25,2015-02-03
74,JimmytheGent,4.99,Registered 7 months              0 days,,9,500~1000,2015-02-03
75,craigman,5.00,Registered 9 months              0 days,,15,70~100,2015-02-03
76,InsideTheWhale,4.95,Registered 10 months              0 days,,103,300~500,2015-02-03
77,ladyskywalker,5.00,Registered 7 months              0 days,,10,300~500,2015-02-03
78,OzymandiasPharma,5.00,Registered 1 months              1 days,,9,15~25,2015-02-03
