,name,rating,lastSeen,publicKey,#products,#Deals,parsingDate
0,BonnieNClyde,4.987,Registered 1 years 4 months              0 days,,54,1000~1500,2015-07-04
1,Gilfoyle,5.00,Registered 15 days              0 days,,10,70~100,2015-07-04
2,Twice_As_Nice,5.00,Registered 22 days              0 days,,7,25~40,2015-07-04
3,HumboldtFarms,4.912,Registered 10 months              0 days,,54,4000~5000,2015-07-04
4,ReDEyE,5.00,Registered 6 months              0 days,,5,300~500,2015-07-04
5,GrandWizardsLair,4.980,Registered 1 years 5 months              0 days,,2,500~1000,2015-07-04
6,Rebel_Alliance,4.994,Registered 1 years 4 months              0 days,,7,1000~1500,2015-07-04
7,SeattlesBest,4.969,Registered 1 years 6 months              0 days,,43,500~1000,2015-07-04
8,checkpoint,4.978,Registered 1 years 5 months              0 days,,31,500~1000,2015-07-04
9,Top_Gear_UK,4.903,Registered 1 years 4 months              0 days,,29,4000~5000,2015-07-04
10,galaxytreez,5.00,Registered 4 months              0 days,,9,40~55,2015-07-04
11,Kleo,5.00,Registered 1 months              0 days,,8,70~100,2015-07-04
12,dmvnationsupply,4.98,Registered 4 months              0 days,,20,70~100,2015-07-04
13,CashCo,5.00,Registered 1 years 4 months              1 days,,18,200~300,2015-07-04
14,indianpilldaddy,4.98,Registered 1 years 4 months              0 days,,162,300~500,2015-07-04
15,zebra,,Registered 5 days              1 days,,11,0,2015-07-04
16,GoingPostal,4.967,Registered 1 years 6 months              0 days,,118,4000~5000,2015-07-04
17,DoctorAlice,5.00,Registered 1 months              1 days,,12,100~150,2015-07-04
18,Dimercurio,5.000,Registered 1 years 3 months              0 days,,7,1000~2000,2015-07-04
19,themoneyteam777,4.96,Registered 11 months              0 days,,15,100~150,2015-07-04
20,AmsterdamLiquidXno1,5.00,Registered 1 months              0 days,,16,70~100,2015-07-04
21,OzAlpha,4.962,Registered 1 years 4 months              1 days,,46,1000~1500,2015-07-04
22,WALLSTREETx2,5.000,Registered 1 years 4 months              0 days,,8,3000~4000,2015-07-04
23,amazonprime,5.00,Registered 1 months              0 days,,4,15~25,2015-07-04
24,mollyjohnson,4.69,Registered 1 years 4 months              0 days,,1,150~200,2015-07-04
25,Clandestine_Pharmaceutics,5,Registered 6 days              0 days,,4,10~15,2015-07-04
26,GiveMeSleep,5.00,Registered 22 days              0 days,,8,15~25,2015-07-04
27,Addyshack,4.966,Registered 1 years 6 months              0 days,,34,2000~3000,2015-07-04
28,Meds2Buy,4.79,Registered 1 years 0 months              0 days,,82,150~200,2015-07-04
29,tinacmarks,4.75,Registered 7 months              0 days,,64,25~40,2015-07-04
30,galactica,5,Registered 8 days              0 days,,3,6~10,2015-07-04
31,Kiefernzapfen,4.98,Registered 8 months              0 days,,11,200~300,2015-07-04
32,krytocratic_tyranny,5.00,Registered 2 months              1 days,,5,40~55,2015-07-04
33,MIcasa-SUcasa,5.00,Registered 5 months              0 days,,36,70~100,2015-07-04
34,Fire_Fire,4.891,Registered 1 years 4 months              0 days,,15,500~1000,2015-07-04
35,DisIsHollanda,4.95,Registered 1 months              0 days,,39,200~300,2015-07-04
36,summertime,4.947,Registered 1 years 7 months              0 days,,11,1000~2000,2015-07-04
37,salviana,5,Registered 3 months              1 days,,1,1~2,2015-07-04
38,mossman,5.00,Registered 1 years 1 months              0 days,,5,40~55,2015-07-04
39,Premiumgear,5.00,Registered 1 years 3 months              0 days,,10,300~500,2015-07-04
40,sereal,4.99,Registered 1 years 7 months              0 days,,36,200~300,2015-07-04
41,foxygirl,5.00,Registered 3 months              0 days,,148,25~40,2015-07-04
42,T5_NBOMe,4.832,Registered 1 years 4 months              0 days,,32,1000~1500,2015-07-04
43,Flyfelix,5.00,Registered 1 years 6 months              0 days,,27,300~500,2015-07-04
44,blow,4.862,Registered 1 years 0 months              0 days,,22,500~1000,2015-07-04
45,joogman,4.88,Registered 5 months              0 days,,7,200~300,2015-07-04
46,Dutchmen,5.00,Registered 1 months              0 days,,31,150~200,2015-07-04
47,brownjames,4.96,Registered 1 years 4 months              0 days,,6,500~1000,2015-07-04
48,Discounts_R_Us,5.00,Registered 3 months              0 days,,9,200~300,2015-07-04
49,SocksRocksLocks,4.89,Registered 1 years 6 months              0 days,,6,150~200,2015-07-04
50,TheWolfOfDarknet,5,Registered 3 months              1 days,,11,6~10,2015-07-04
51,theblossom,5.00,Registered 1 years 4 months              0 days,,32,300~500,2015-07-04
52,NordicShrooms,4.97,Registered 1 years 4 months              2 days,,5,150~200,2015-07-04
53,Overdos3d,5.00,Registered 3 months              0 days,,75,100~150,2015-07-04
54,diondibra,4.99,Registered 5 months              0 days,,18,150~200,2015-07-04
55,plasticA,,Registered 3 months              1 days,,12, 1~2,2015-07-04
56,printerpam,4.31,Registered 3 months              0 days,,7,25~40,2015-07-04
57,craigman,5.00,Registered 1 years 1 months              0 days,,11,300~500,2015-07-04
58,InsideTheWhale,4.956,Registered 1 years 3 months              0 days,,77,1000~2000,2015-07-04
59,ladyskywalker,4.960,Registered 1 years 0 months              0 days,,16,1000~1500,2015-07-04
60,GoodmedsDK,4.97,Registered 1 years 1 months              0 days,,20,300~500,2015-07-04
61,cooksfinest,5,Registered 1 months              2 days,,4,1~2,2015-07-04
62,Weed4bits,4.88,Registered 6 months              0 days,,31,200~300,2015-07-04
63,footstool,4.98,Registered 3 months              0 days,,30,200~300,2015-07-04
64,CDARWIN,4.99,Registered 7 months              0 days,,14,300~500,2015-07-04
65,Pharma-deal,5,Registered 3 months              0 days,,64,25~40,2015-07-04
66,etimbuk,4.867,Registered 7 months              0 days,,486,2000~3000,2015-07-04
67,microgirlmonroe,4.80,Registered 6 months              2 days,,13,150~200,2015-07-04
68,Cannaseed,4.87,Registered 1 years 5 months              0 days,,6,25~40,2015-07-04
69,jimmi1010,4.78,Registered 5 months              0 days,,13,100~150,2015-07-04
70,easilydone,4.91,Registered 1 years 4 months              0 days,,8,70~100,2015-07-04
71,Angelina,4.899,Registered 1 years 5 months              1 days,,26,1000~2000,2015-07-04
72,rainbowbear,4.95,Registered 1 years 4 months              0 days,,23,200~300,2015-07-04
73,cokeman,4.83,Registered 4 months              1 days,,1,150~200,2015-07-04
74,CallMeJoe,4.99,Registered 1 years 1 months              0 days,,8,300~500,2015-07-04
75,blackhand,4.997,Registered 1 years 6 months              0 days,,120,1000~1500,2015-07-04
76,AustralianHash,4.99,Registered 1 years 3 months              0 days,,7,300~500,2015-07-04
77,sayno2drugs,4.988,Registered 1 years 4 months              0 days,,16,1000~1500,2015-07-04
78,Bisto,4.922,Registered 1 years 4 months              0 days,,26,1000~2000,2015-07-04
79,subzero!!,4.61,Registered 5 months              0 days,,45,70~100,2015-07-04
80,VampireScientist,,Registered 7 days              0 days,,9, 1~2,2015-07-04
81,whiteyford,4.954,Registered 1 years 6 months              0 days,,23,1000~1500,2015-07-04
82,CrystalLotus,4,Registered 1 months              0 days,,16,10~15,2015-07-04
83,axa,5.00,Registered 1 years 5 months              0 days,,13,300~500,2015-07-04
84,OzJuice,5.00,Registered 7 months              0 days,,56,300~500,2015-07-04
85,Republic,5.00,Registered 1 years 4 months              0 days,,1,100~150,2015-07-04
86,Thefairtrader,4.637,Registered 1 years 4 months              0 days,,44,500~1000,2015-07-04
87,CzechAirlines,5.00,Registered 1 months              0 days,,17,40~55,2015-07-04
88,digimon,5.00,Registered 9 months              0 days,,7,200~300,2015-07-04
89,Noogz,4.88,Registered 5 months              0 days,,15,500~1000,2015-07-04
90,UKChemicals,5.00,Registered 8 months              0 days,,4,300~500,2015-07-04
91,fulltime,4.914,Registered 4 months              0 days,,31,500~1000,2015-07-04
92,canadianforger,4.974,Registered 1 years 6 months              1 days,,52,2000~3000,2015-07-04
93,fakeasanything,4.804,Registered 1 years 4 months              0 days,,6,1000~1500,2015-07-04
94,b1g1mpact,4.85,Registered 1 years 4 months              0 days,,50,500~1000,2015-07-04
95,Mike,4.65,Registered 1 years 6 months              0 days,,38,70~100,2015-07-04
96,Goldenman,4.78,Registered 3 months              0 days,,45,40~55,2015-07-04
97,Adderall,4.77,Registered 1 years 7 months              0 days,,2,70~100,2015-07-04
98,rabbithole,4.996,Registered 1 years 4 months              0 days,,4,500~1000,2015-07-04
99,aftershop,4.89,Registered 8 months              0 days,,23,300~500,2015-07-04
100,MagicMan,4.99,Registered 7 months              0 days,,17,150~200,2015-07-04
101,Just_Say_Know,4.81,Registered 10 months              3 days,,2,500~1000,2015-07-04
102,Auxilium,5,Registered 16 days              1 days,,70,6~10,2015-07-04
103,ProGear,4.922,Registered 9 months              0 days,,21,1000~2000,2015-07-04
104,Ronin2015,5.00,Registered 17 days              0 days,,6,15~25,2015-07-04
105,sambalam8,4.936,Registered 1 years 4 months              0 days,,9,500~1000,2015-07-04
106,GreatGalaxy,4.39,Registered 6 months              0 days,,101,70~100,2015-07-04
107,Talking_Tom,5.00,Registered 7 months              0 days,,24,55~70,2015-07-04
108,Doritos,4.701,Registered 1 years 1 months              0 days,,11,500~1000,2015-07-04
109,MrGuapo,5.00,Registered 2 months              0 days,,36,25~40,2015-07-04
110,NextDayValium,5.00,Registered 1 years 3 months              1 days,,5,300~500,2015-07-04
111,batcountry,4.98,Registered 1 years 6 months              0 days,,12,200~300,2015-07-04
112,OZ-TEAM,4.998,Registered 1 years 3 months              2 days,,18,500~1000,2015-07-04
113,HEIZZENBERG,4.97,Registered 2 months              0 days,,37,300~500,2015-07-04
114,DRmagic,4.99,Registered 1 years 6 months              0 days,,4,500~1000,2015-07-04
115,EZTest,4.97,Registered 1 years 4 months              1 days,,63,500~1000,2015-07-04
116,europedrugs,4.927,Registered 1 years 3 months              0 days,,29,1000~1500,2015-07-04
117,Aseel,5.00,Registered 1 years 2 months              0 days,,2,15~25,2015-07-04
118,JenJen,4.995,Registered 7 months              1 days,,23,500~1000,2015-07-04
119,Fanta_King,5.00,Registered 4 months              0 days,,7,100~150,2015-07-04
120,A1CRACK,4.84,Registered 3 months              0 days,,12,300~500,2015-07-04
