,name,rating,lastSeen,publicKey,#products,#Deals,parsingDate
0,HumboldtFarms,4.919,Registered 8 months              0 days,,56,2000~3000,2015-05-04
1,ReDEyE,,,,,,2015-05-04
2,littlegoblin,4.900,Registered 1 years 2 months              2 days,,16,500~1000,2015-05-04
3,Sir-ACAB,5.00,Registered 1 years 3 months              3 days,,2,100~150,2015-05-04
4,checkpoint,,,,,,2015-05-04
5,Comebackhaze48,4.76,Registered 11 months              0 days,,21,150~200,2015-05-04
6,Top_Gear_UK,4.916,Registered 1 years 2 months              0 days,,30,3000~4000,2015-05-04
7,galaxytreez,5.00,Registered 2 months              0 days,,9,25~40,2015-05-04
8,hogstandard,,,,,,2015-05-04
9,LilyLotusUK,5,Registered 8 days              0 days,,3,3~5,2015-05-04
10,xinhai,4.976,Registered 1 years 2 months              0 days,,12,2000~3000,2015-05-04
11,indianpilldaddy,4.98,Registered 1 years 2 months              0 days,,157,300~500,2015-05-04
12,GoingPostal,4.965,Registered 1 years 4 months              0 days,,116,4000~5000,2015-05-04
13,Dimercurio,5.000,Registered 1 years 0 months              0 days,,8,1000~1500,2015-05-04
14,plugsister,5,Registered 27 days              1 days,,9,6~10,2015-05-04
15,HumboldtHerbs,5.00,Registered 7 months              3 days,,20,40~55,2015-05-04
16,OzAlpha,4.972,Registered 1 years 2 months              1 days,,26,500~1000,2015-05-04
17,DonTuriddu,4.75,Registered 1 years 0 months              0 days,,14,300~500,2015-05-04
18,OregonTrail,5.00,Registered 5 months              0 days,,8,300~500,2015-05-04
19,Addyshack,4.965,Registered 1 years 4 months              2 days,,23,1000~2000,2015-05-04
20,AussieExpress,4.99,Registered 12 months              4 days,,4,70~100,2015-05-04
21,GermanImport,5.00,Registered 20 days              0 days,,40,15~25,2015-05-04
22,Meds2Buy,4.69,Registered 11 months              2 days,,82,150~200,2015-05-04
23,tinacmarks,5.00,Registered 5 months              0 days,,64,15~25,2015-05-04
24,Kiefernzapfen,4.97,Registered 6 months              3 days,,6,150~200,2015-05-04
25,krytocratic_tyranny,,Registered 4 days              0 days,,3,0,2015-05-04
26,MIcasa-SUcasa,5.00,Registered 3 months              0 days,,18,25~40,2015-05-04
