,name,rating,lastSeen,publicKey,#products,#Deals,parsingDate
0,BonnieNClyde,4.992,Registered 1 years 3 months              0 days,,76,1000~1500,2015-05-29
1,HumboldtFarms,4.910,Registered 9 months              0 days,,57,3000~4000,2015-05-29
2,Sir-ACAB,5.00,Registered 1 years 4 months              1 days,,2,150~200,2015-05-29
3,indianpilldaddy,5.00,Registered 1 years 3 months              0 days,,166,300~500,2015-05-29
4,Dimercurio,5.000,Registered 1 years 1 months              0 days,,8,1000~1500,2015-05-29
5,OzAlpha,4.920,Registered 1 years 3 months              0 days,,17,500~1000,2015-05-29
6,DonTuriddu,4.72,Registered 1 years 1 months              0 days,,14,500~1000,2015-05-29
7,Meds2Buy,4.76,Registered 11 months              0 days,,82,150~200,2015-05-29
8,Premiumgear,5.00,Registered 1 years 2 months              0 days,,12,200~300,2015-05-29
9,Flyfelix,5.00,Registered 1 years 5 months              0 days,,24,200~300,2015-05-29
10,TheWolfOfDarknet,5,Registered 2 months              1 days,,9,6~10,2015-05-29
11,SupplyGuy,5.00,Registered 2 months              0 days,,8,40~55,2015-05-29
12,dgslabz,4.946,Registered 1 years 3 months              1 days,,25,2000~3000,2015-05-29
13,precurs-shop,4.55,Registered 1 months              1 days,,39,15~25,2015-05-29
14,Overdos3d,5.00,Registered 2 months              0 days,,65,55~70,2015-05-29
15,craigman,5.00,Registered 1 years 0 months              0 days,,16,200~300,2015-05-29
16,thomascheer,4.74,Registered 5 months              0 days,,94,200~300,2015-05-29
17,footstool,4.94,Registered 2 months              0 days,,12,70~100,2015-05-29
18,Pharma-deal,5,Registered 2 months              0 days,,72,10~15,2015-05-29
19,etimbuk,4.846,Registered 6 months              0 days,,353,1000~2000,2015-05-29
20,microgirlmonroe,4.93,Registered 4 months              0 days,,15,100~150,2015-05-29
21,salamalejkum,4.84,Registered 1 years 3 months              0 days,,85,300~500,2015-05-29
22,Angelina,4.904,Registered 1 years 3 months              1 days,,23,1000~2000,2015-05-29
23,subzero!!,4.46,Registered 4 months              0 days,,6,40~55,2015-05-29
24,Thefairtrader,4.665,Registered 1 years 3 months              0 days,,35,500~1000,2015-05-29
25,stiffstyles,5.000,Registered 1 years 3 months              0 days,,104,500~1000,2015-05-29
26,b1g1mpact,4.84,Registered 1 years 3 months              3 days,,51,300~500,2015-05-29
27,ProGear,4.948,Registered 8 months              0 days,,20,1000~1500,2015-05-29
28,HEIZZENBERG,5.00,Registered 1 months              0 days,,34,150~200,2015-05-29
29,theRoadLessToxic,4.97,Registered 5 months              0 days,,15,200~300,2015-05-29
30,jacobslvr,4.90,Registered 4 months              0 days,,25,200~300,2015-05-29
31,EZTest,4.96,Registered 1 years 3 months              1 days,,55,300~500,2015-05-29
32,A1CRACK,4.76,Registered 2 months              0 days,,9,100~150,2015-05-29
33,psychotropix,4.984,Registered 1 years 0 months              0 days,,87,2000~3000,2015-05-29
34,bionik,4.97,Registered 1 years 3 months              0 days,,11,200~300,2015-05-29
35,maligan,5.000,Registered 1 years 5 months              0 days,,11,500~1000,2015-05-29
36,litescape,5.00,Registered 1 years 3 months              0 days,,2,25~40,2015-05-29
37,HurryUpandBuy,4.61,Registered 4 months              0 days,,12,100~150,2015-05-29
38,Dr-Lude,4.95,Registered 4 months              0 days,,4,70~100,2015-05-29
39,TrustedFOX,5,Registered 3 months              2 days,,6,6~10,2015-05-29
40,TheEntity,4.94,Registered 1 years 3 months              0 days,,2,300~500,2015-05-29
41,Montfort,4.920,Registered 10 months              0 days,,105,1000~1500,2015-05-29
42,Caslava,4.961,Registered 1 years 3 months              0 days,,17,500~1000,2015-05-29
43,Croix,4.99,Registered 6 months              0 days,,9,100~150,2015-05-29
44,fastandsafe1234,4.746,Registered 1 years 1 months              0 days,,16,500~1000,2015-05-29
45,accept,4.95,Registered 6 months              0 days,,32,300~500,2015-05-29
46,The_Free_Marketeer,4.98,Registered 5 months              0 days,,6,100~150,2015-05-29
47,METHod_Man,4.97,Registered 4 months              0 days,,23,200~300,2015-05-29
48,VladdyRS,4.96,Registered 1 years 1 months              0 days,,16,500~1000,2015-05-29
49,OzoneArmor,5,Registered 1 months              1 days,,2,1~2,2015-05-29
50,SolidSupply,4.94,Registered 1 months              0 days,,19,150~200,2015-05-29
51,GoodCitizensAU,4.77,Registered 1 months              0 days,,18,40~55,2015-05-29
52,The_Drug_Store,4.98,Registered 1 months              0 days,,10,200~300,2015-05-29
53,XanaxPharm,5,Registered 1 days              0 days,,9,1~2,2015-05-29
54,fromustou,4.70,Registered 1 years 2 months              0 days,,162,500~1000,2015-05-29
55,yaoming-ukevolution,4.84,Registered 2 months              0 days,,75,300~500,2015-05-29
56,ROCKETCHEM,5.00,Registered 4 months              0 days,,108,15~25,2015-05-29
57,Lion,4.804,Registered 1 years 4 months              0 days,,56,1000~2000,2015-05-29
58,AUsTORe,4.959,Registered 7 months              0 days,,59,1000~1500,2015-05-29
59,StarburstCandy,4.97,Registered 3 months              0 days,,7,100~150,2015-05-29
60,CarlBildt,4.74,Registered 1 years 3 months              0 days,,35,200~300,2015-05-29
61,Trapstar.,4,Registered 1 months              0 days,,52,15~25,2015-05-29
62,james2000white,,Registered 3 days              0 days,,9,0,2015-05-29
63,BreezeTheGnome,4.91,Registered 5 months              0 days,,16,200~300,2015-05-29
64,HappyDrugs,4.78,Registered 1 years 0 months              0 days,,23,200~300,2015-05-29
65,UnitedNations,4.98,Registered 10 months              0 days,,4,300~500,2015-05-29
66,preview-of-freedom,4.96,Registered 1 years 0 months              0 days,,26,500~1000,2015-05-29
67,NextGeneration,5.00,Registered 2 months              0 days,,5,100~150,2015-05-29
68,Xtremenutrition,5,Registered 2 months              0 days,,22,6~10,2015-05-29
69,L0rzo,4.98,Registered 1 years 3 months              0 days,,11,100~150,2015-05-29
70,rxman,4.979,Registered 1 years 5 months              0 days,,17,500~1000,2015-05-29
71,DrRx,4.999,Registered 10 months              0 days,,9,3000~4000,2015-05-29
72,zunidog,4.88,Registered 1 years 3 months              0 days,,121,500~1000,2015-05-29
73,cerberus,4.883,Registered 1 years 5 months              0 days,,109,500~1000,2015-05-29
74,DeepMeds,5.00,Registered 1 months              0 days,,50,15~25,2015-05-29
75,dutchquality_1256,4.937,Registered 1 years 0 months              0 days,,24,1000~2000,2015-05-29
76,EuroRX,4.53,Registered 2 months              0 days,,63,70~100,2015-05-29
77,LibertyScales,4.87,Registered 6 months              0 days,,17,55~70,2015-05-29
78,DrWhite,4.96,Registered 1 years 4 months              0 days,,32,200~300,2015-05-29
79,StealthPharmacy,4.97,Registered 2 months              0 days,,32,300~500,2015-05-29
80,Remedyplus,5.00,Registered 1 months              0 days,,90,25~40,2015-05-29
81,Straightbiz,5.00,Registered 1 years 2 months              0 days,,31,200~300,2015-05-29
82,aussiegear,5.00,Registered 1 years 5 months              0 days,,5,55~70,2015-05-29
83,NORWEGIANcom,4.97,Registered 1 years 1 months              0 days,,21,300~500,2015-05-29
84,listonishere,4.909,Registered 11 months              0 days,,61,1000~1500,2015-05-29
85,RXChemist,4.787,Registered 1 years 0 months              0 days,,544,1000~2000,2015-05-29
86,FoxHoundNorway,5.00,Registered 2 months              0 days,,8,25~40,2015-05-29
87,MaryAndMolly,4.86,Registered 9 months              0 days,,5,150~200,2015-05-29
88,MrCronk,4.944,Registered 1 years 5 months              0 days,,112,5000+,2015-05-29
89,TheRealNurseJoy,4.81,Registered 1 years 0 months              0 days,,45,300~500,2015-05-29
90,ParrotFish,4.907,Registered 1 years 5 months              0 days,,11,500~1000,2015-05-29
91,Maggots,4.97,Registered 1 years 5 months              0 days,,3,300~500,2015-05-29
92,joeyanderson,4.990,Registered 11 months              0 days,,18,500~1000,2015-05-29
93,Fappy,4.946,Registered 1 years 3 months              0 days,,86,1000~2000,2015-05-29
94,medsXpress,4.93,Registered 4 months              0 days,,17,300~500,2015-05-29
95,TheLittleGuys,4.981,Registered 1 years 3 months              0 days,,19,1000~2000,2015-05-29
96,Lumitrade,5.00,Registered 3 months              0 days,,16,25~40,2015-05-29
97,rc4me,4.99,Registered 1 years 2 months              0 days,,593,100~150,2015-05-29
98,cyberzen,4.890,Registered 1 years 4 months              0 days,,238,1000~2000,2015-05-29
99,smart666tiger,4.81,Registered 1 years 4 months              5 days,,99,500~1000,2015-05-29
100,gonz324,4.863,Registered 1 years 5 months              1 days,,13,500~1000,2015-05-29
101,captainkirk,4.980,Registered 1 years 2 months              0 days,,942,5000+,2015-05-29
102,fake,4.815,Registered 1 years 5 months              0 days,,569,2000~3000,2015-05-29
103,AngelTech,5.00,Registered 4 months              0 days,,6,70~100,2015-05-29
104,topnotchpills,3,Registered 4 months              0 days,,54,25~40,2015-05-29
105,indiabenzos,4.56,Registered 11 months              0 days,,29,300~500,2015-05-29
106,theben,4.87,Registered 1 years 0 months              0 days,,178,100~150,2015-05-29
107,QualityRx,4.89,Registered 3 months              0 days,,34,300~500,2015-05-29
108,Skiffle,4.85,Registered 1 years 1 months              0 days,,3,100~150,2015-05-29
109,UKPharma,4.993,Registered 1 years 4 months              0 days,,13,1000~1500,2015-05-29
110,dotz.vuss,4.98,Registered 7 months              0 days,,20,500~1000,2015-05-29
111,Zues,4.975,Registered 1 years 3 months              0 days,,47,2000~3000,2015-05-29
112,reallytired,4.97,Registered 1 years 1 months              0 days,,7,100~150,2015-05-29
113,optiman,4.956,Registered 1 years 3 months              0 days,,561,3000~4000,2015-05-29
114,DoctorXANAX,5,Registered 1 months              0 days,,11,1~2,2015-05-29
115,XZirbeldrueseX,4.90,Registered 2 months              0 days,,12,150~200,2015-05-29
116,rang,5,Registered 1 months              0 days,,4,3~5,2015-05-29
117,synester,4.91,Registered 7 months              0 days,,6,200~300,2015-05-29
118,PharmaPhil,4.89,Registered 5 months              0 days,,11,300~500,2015-05-29
119,sexyhomer,4.98,Registered 11 months              0 days,,550,500~1000,2015-05-29
120,RADICALRX,5.00,Registered 5 months              5 days,,20,25~40,2015-05-29
121,TheDigital,4.69,Registered 2 months              0 days,,909,500~1000,2015-05-29
122,fredthebaker,4.860,Registered 1 years 5 months              0 days,,16,1000~1500,2015-05-29
123,bigfootbuds,4.99,Registered 4 months              0 days,,28,200~300,2015-05-29
124,UGL_Domestic,5.00,Registered 3 months              0 days,,12,40~55,2015-05-29
125,Samadha2015,4.93,Registered 2 months              1 days,,31,300~500,2015-05-29
126,wakeside917,4.87,Registered 1 years 4 months              0 days,,143,500~1000,2015-05-29
127,DMTelf,4.79,Registered 7 months              1 days,,32,200~300,2015-05-29
128,apoteket,4.93,Registered 1 years 4 months              0 days,,56,300~500,2015-05-29
129,marvel-labs,4.980,Registered 5 months              0 days,,26,500~1000,2015-05-29
130,TheIndigoChild,4.51,Registered 5 months              0 days,,25,150~200,2015-05-29
131,sniffpodSR,5.00,Registered 6 months              0 days,,7,100~150,2015-05-29
132,BenzoBoss,5.00,Registered 9 months              0 days,,4,150~200,2015-05-29
133,autosafe,5,Registered 1 years 5 months              0 days,,20,10~15,2015-05-29
134,Heisenberg-meds,4.98,Registered 1 years 5 months              0 days,,37,500~1000,2015-05-29
135,dankmedgradekush101,4.946,Registered 1 years 3 months              0 days,,32,500~1000,2015-05-29
136,ukvaliumsupplier15,4.98,Registered 2 months              0 days,,10,150~200,2015-05-29
137,FatSam,4.73,Registered 1 years 3 months              0 days,,41,500~1000,2015-05-29
138,SteroidWarehouse,5.00,Registered 3 months              0 days,,17,40~55,2015-05-29
139,~BigBoy,4.951,Registered 11 months              0 days,,38,500~1000,2015-05-29
140,Peaceful,5.000,Registered 1 years 4 months              0 days,,68,500~1000,2015-05-29
141,soulpusher,4.65,Registered 6 months              0 days,,15,70~100,2015-05-29
142,Luckys,5.00,Registered 6 months              3 days,,25,200~300,2015-05-29
143,Daz_Alley,4.95,Registered 4 months              0 days,,8,70~100,2015-05-29
144,MedIndia,4.87,Registered 1 years 0 months              0 days,,23,500~1000,2015-05-29
145,qualitywhite,4.95,Registered 3 months              0 days,,46,200~300,2015-05-29
146,Gotmilk,4.767,Registered 1 years 5 months              0 days,,318,1000~2000,2015-05-29
147,canadasunshine,4.897,Registered 1 years 2 months              0 days,,17,1000~1500,2015-05-29
148,PsiloManufacture,4.871,Registered 11 months              0 days,,33,500~1000,2015-05-29
149,MissTripzz,5.00,Registered 6 months              0 days,,28,300~500,2015-05-29
150,vapor_pens,4.78,Registered 5 months              0 days,,54,300~500,2015-05-29
151,ukjuiceman,5,Registered 1 months              0 days,,20,3~5,2015-05-29
152,Evangitis,4.981,Registered 1 years 3 months              0 days,,37,2000~3000,2015-05-29
153,Mindful-Shaman,4.84,Registered 1 years 5 months              0 days,,65,100~150,2015-05-29
154,Optumis,4.95,Registered 8 months              0 days,,1067,500~1000,2015-05-29
155,PlutoPete,5.00,Registered 6 months              0 days,,56,300~500,2015-05-29
156,starbuy,4.38,Registered 9 months              0 days,,231,500~1000,2015-05-29
157,tantrikom3,4.74,Registered 1 years 2 months              1 days,,18,100~150,2015-05-29
158,Discover,4.960,Registered 1 years 4 months              0 days,,61,2000~3000,2015-05-29
159,GuccisGifts,5,Registered 23 days              0 days,,12,1~2,2015-05-29
160,kraeutergarten,4.99,Registered 3 months              0 days,,7,200~300,2015-05-29
161,Erkran,4.99,Registered 6 months              1 days,,23,200~300,2015-05-29
162,doofgear,4.92,Registered 3 months              0 days,,27,150~200,2015-05-29
163,83519532,4.94,Registered 2 months              0 days,,33,150~200,2015-05-29
164,mpolo,5,Registered 9 days              0 days,,4,1~2,2015-05-29
165,PercMarket,5,Registered 1 months              0 days,,5,1~2,2015-05-29
166,Superstore,,Registered 29 days              0 days,,5,0,2015-05-29
167,MedizinMann,5.00,Registered 2 months              0 days,,21,70~100,2015-05-29
168,UnknownSeller,4.84,Registered 1 years 3 months              0 days,,15,300~500,2015-05-29
169,HigherGroundsNL,4.85,Registered 1 years 4 months              0 days,,12,300~500,2015-05-29
170,rocketship,4.999,Registered 1 years 0 months              0 days,,7,1000~2000,2015-05-29
171,Bigdeal100,4.96,Registered 1 years 3 months              0 days,,205,200~300,2015-05-29
172,FMATTHEWS,4.797,Registered 1 years 0 months              0 days,,48,1000~2000,2015-05-29
173,kobrivoje,4.89,Registered 1 years 3 months              0 days,,23,100~150,2015-05-29
174,sinmac1906,4.959,Registered 6 months              0 days,,23,500~1000,2015-05-29
175,easydrugstore,4.91,Registered 6 months              0 days,,6,150~200,2015-05-29
176,REALRX,4.915,Registered 1 years 5 months              0 days,,24,2000~3000,2015-05-29
177,Xanax_God,4.97,Registered 2 months              0 days,,7,100~150,2015-05-29
