,name,rating,lastSeen,publicKey,#products,#Deals,parsingDate
0,HumboldtFarms,4.912,Registered 9 months              1 days,,63,3000~4000,2015-05-21
1,GrandWizardsLair,4.98,Registered 1 years 3 months              0 days,,4,500~1000,2015-05-21
2,reximusmaximus,4.999,Registered 6 months              0 days,,13,1000~1500,2015-05-21
3,HappyHippy2.0,4.96,Registered 1 years 3 months              4 days,,20,300~500,2015-05-21
4,galaxytreez,5.00,Registered 2 months              1 days,,9,25~40,2015-05-21
5,indianpilldaddy,5.00,Registered 1 years 3 months              0 days,,166,300~500,2015-05-21
6,Perron,4.980,Registered 8 months              6 days,,12,500~1000,2015-05-21
7,GoingPostal,4.964,Registered 1 years 5 months              0 days,,116,4000~5000,2015-05-21
8,Dimercurio,5.000,Registered 1 years 1 months              0 days,,7,1000~1500,2015-05-21
9,MrKidX,4.97,Registered 1 years 0 months              0 days,,11,200~300,2015-05-21
10,WALLSTREETx2,5.000,Registered 1 years 3 months              0 days,,9,3000~4000,2015-05-21
11,OregonTrail,5.00,Registered 6 months              0 days,,7,300~500,2015-05-21
12,Meds2Buy,4.76,Registered 11 months              0 days,,82,150~200,2015-05-21
13,tinacmarks,4.69,Registered 5 months              0 days,,64,15~25,2015-05-21
14,Kiefernzapfen,4.97,Registered 7 months              0 days,,7,200~300,2015-05-21
15,krytocratic_tyranny,5,Registered 21 days              0 days,,5,6~10,2015-05-21
16,summertime,4.941,Registered 1 years 5 months              0 days,,8,1000~2000,2015-05-21
17,WeRoll,4.845,Registered 1 years 4 months              0 days,,7,1000~1500,2015-05-21
18,Premiumgear,5.00,Registered 1 years 2 months             On Vacation Mode since 0 hours,,12,200~300,2015-05-21
19,eurodrugs,5,Registered 2 months              2 days,,16,15~25,2015-05-21
20,Walt-Disney,4.98,Registered 6 months              0 days,,25,200~300,2015-05-21
21,Flyfelix,4.99,Registered 1 years 4 months              0 days,,24,200~300,2015-05-21
22,Eos,4.98,Registered 1 years 4 months              6 days,,5,300~500,2015-05-21
23,SmileyPostman,4.87,Registered 2 months              0 days,,8,100~150,2015-05-21
24,Discounts_R_Us,4.96,Registered 1 months              0 days,,14,100~150,2015-05-21
25,chipzahoy,4.887,Registered 11 months              2 days,,83,1000~1500,2015-05-21
26,TheWolfOfDarknet,5,Registered 2 months              1 days,,9,6~10,2015-05-21
27,CocaParis,4.99,Registered 1 years 4 months              0 days,,20,200~300,2015-05-21
28,SupplyGuy,5.00,Registered 2 months              0 days,,8,25~40,2015-05-21
29,theblossom,5.00,Registered 1 years 2 months              0 days,,30,200~300,2015-05-21
30,dgslabz,4.945,Registered 1 years 3 months              0 days,,31,2000~3000,2015-05-21
31,precurs-shop,5,Registered 1 months              0 days,,39,15~25,2015-05-21
32,craigman,4.99,Registered 1 years 0 months              0 days,,17,200~300,2015-05-21
33,ladyskywalker,4.950,Registered 10 months              0 days,,12,500~1000,2015-05-21
34,shoeshunge,4.99,Registered 1 years 0 months              1 days,,1,500~1000,2015-05-21
35,GoodmedsDK,4.97,Registered 1 years 0 months              0 days,,19,300~500,2015-05-21
36,Weed4bits,4.87,Registered 4 months              0 days,,30,150~200,2015-05-21
37,thomascheer,4.70,Registered 5 months              0 days,,50,200~300,2015-05-21
38,footstool,4.93,Registered 2 months              1 days,,10,55~70,2015-05-21
39,CDARWIN,4.99,Registered 6 months              0 days,,14,300~500,2015-05-21
40,Pharma-deal,5,Registered 2 months              0 days,,72,10~15,2015-05-21
41,etimbuk,4.841,Registered 6 months              0 days,,344,1000~2000,2015-05-21
42,GreenBlvd,4.812,Registered 1 years 1 months              1 days,,3,1000~1500,2015-05-21
43,microgirlmonroe,4.92,Registered 4 months              1 days,,15,100~150,2015-05-21
44,Cannaseed,4.87,Registered 1 years 3 months              4 days,,6,25~40,2015-05-21
45,salamalejkum,4.87,Registered 1 years 3 months              0 days,,84,300~500,2015-05-21
46,OpenSource,5.00,Registered 1 years 5 months              1 days,,1,100~150,2015-05-21
47,Angelina,4.904,Registered 1 years 3 months              1 days,,23,1000~2000,2015-05-21
48,ProStudioEtLabore,5.00,Registered 1 years 2 months              0 days,,4,100~150,2015-05-21
49,blackhand,4.997,Registered 1 years 5 months              0 days,,119,1000~1500,2015-05-21
50,lostheaven007,4.74,Registered 1 months              0 days,,19,25~40,2015-05-21
51,sayno2drugs,4.987,Registered 1 years 2 months              0 days,,17,1000~1500,2015-05-21
52,karmasyndicate,4.956,Registered 7 months              0 days,,28,1000~1500,2015-05-21
53,whiteyford,4.950,Registered 1 years 4 months              0 days,,25,1000~1500,2015-05-21
54,Customcandy,4.87,Registered 2 months              0 days,,10,100~150,2015-05-21
55,SomeonewhoISme,5.00,Registered 6 months              0 days,,3,300~500,2015-05-21
56,axa,5.00,Registered 1 years 3 months              5 days,,11,300~500,2015-05-21
57,igi123,4.99,Registered 1 years 2 months              1 days,,3,300~500,2015-05-21
58,UrLocalBudTender,4.92,Registered 2 months              0 days,,15,200~300,2015-05-21
59,krautling,4.97,Registered 11 months              0 days,,8,300~500,2015-05-21
60,OzJuice,5.00,Registered 6 months              0 days,,56,150~200,2015-05-21
61,Thefairtrader,4.671,Registered 1 years 2 months              0 days,,35,500~1000,2015-05-21
62,TerraGreen,,,,,,2015-05-21
