,name,rating,lastSeen,publicKey,#products,#Deals,parsingDate
0,GrandWizardsLair,4.98,Registered 1 years 3 months              0 days,,2,500~1000,2015-05-17
1,indianpilldaddy,4.99,Registered 1 years 3 months              0 days,,166,300~500,2015-05-17
2,Perron,4.980,Registered 8 months              2 days,,14,500~1000,2015-05-17
3,Dimercurio,5.000,Registered 1 years 1 months              0 days,,6,1000~1500,2015-05-17
4,OzAlpha,4.956,Registered 1 years 3 months              0 days,,25,500~1000,2015-05-17
5,Meds2Buy,4.76,Registered 11 months              0 days,,82,150~200,2015-05-17
6,Premiumgear,5.00,Registered 1 years 1 months              0 days,,13,200~300,2015-05-17
7,Flyfelix,4.99,Registered 1 years 4 months              0 days,,24,200~300,2015-05-17
8,SocksRocksLocks,4.96,Registered 1 years 4 months              4 days,,11,150~200,2015-05-17
9,TheWolfOfDarknet,5,Registered 1 months              0 days,,9,6~10,2015-05-17
10,SupplyGuy,5.00,Registered 2 months              0 days,,8,25~40,2015-05-17
11,dgslabz,4.954,Registered 1 years 3 months              0 days,,32,2000~3000,2015-05-17
12,precurs-shop,5,Registered 1 months              0 days,,39,15~25,2015-05-17
13,Overdos3d,5.00,Registered 1 months              0 days,,65,40~55,2015-05-17
14,craigman,4.99,Registered 1 years 0 months              0 days,,16,200~300,2015-05-17
15,InsideTheWhale,4.953,Registered 1 years 1 months              0 days,,85,1000~1500,2015-05-17
16,shoeshunge,4.99,Registered 1 years 0 months              0 days,,2,500~1000,2015-05-17
17,Quantum.Black.Widow,4.81,Registered 1 years 2 months              0 days,,48,300~500,2015-05-17
18,GoodmedsDK,4.97,Registered 1 years 0 months              0 days,,22,300~500,2015-05-17
19,thomascheer,4.68,Registered 5 months              0 days,,94,150~200,2015-05-17
20,Pharma-deal,5,Registered 1 months              1 days,,72,6~10,2015-05-17
21,etimbuk,4.839,Registered 6 months              0 days,,339,1000~2000,2015-05-17
22,microgirlmonroe,4.92,Registered 4 months              1 days,,13,100~150,2015-05-17
23,blackhand,4.997,Registered 1 years 5 months              0 days,,119,1000~1500,2015-05-17
24,Thefairtrader,4.67,Registered 1 years 2 months              0 days,,35,500~1000,2015-05-17
25,stiffstyles,4.996,Registered 1 years 2 months              0 days,,104,500~1000,2015-05-17
26,UKChemicals,5.00,Registered 6 months              0 days,,5,150~200,2015-05-17
