,name,rating,lastSeen,publicKey,#products,#Deals,parsingDate
0,BonnieNClyde,5.00,Registered 10 months              0 days,,34,300~500,2015-01-04
1,brother_satellite,5,Registered 24 days              0 days,,13,10~15,2015-01-04
2,HumboldtFarms,4.945,Registered 4 months              0 days,,32,500~1000,2015-01-04
3,MITAK,5.00,Registered 2 months              1 days,,15,25~40,2015-01-04
4,GrandWizardsLair,4.97,Registered 11 months              0 days,,8,300~500,2015-01-04
5,littlegoblin,4.88,Registered 10 months              1 days,,13,300~500,2015-01-04
6,Rebel_Alliance,4.990,Registered 10 months              0 days,,7,500~1000,2015-01-04
7,reximusmaximus,5.00,Registered 1 months              0 days,,8,200~300,2015-01-04
8,checkpoint,4.95,Registered 11 months              0 days,,37,150~200,2015-01-04
9,Comebackhaze48,4.90,Registered 7 months              1 days,,30,100~150,2015-01-04
10,Top_Gear_UK,4.883,Registered 10 months              0 days,,64,1000+,2015-01-04
11,HappyHippy2.0,4.99,Registered 10 months              0 days,,21,200~300,2015-01-04
12,hogstandard,5.00,Registered 9 months              0 days,,10,70~100,2015-01-04
13,xinhai,4.970,Registered 10 months              0 days,,13,1000+,2015-01-04
14,moderationiskey,5,Registered 11 days              0 days,,3,3~5,2015-01-04
15,CashCo,5.00,Registered 10 months              1 days,,9,100~150,2015-01-04
16,indianpilldaddy,5.00,Registered 10 months              0 days,,144,150~200,2015-01-04
17,RealAidoneus,5.00,Registered 10 months              4 days,,3,200~300,2015-01-04
18,Perron,,,,,,2015-01-04
19,MrKidX,4.97,Registered 8 months              0 days,,11,70~100,2015-01-04
20,themoneyteam777,4.96,Registered 5 months              1 days,,12,70~100,2015-01-04
21,HumboldtHerbs,5,Registered 3 months              0 days,,20,6~10,2015-01-04
22,pharmerjo,4.94,Registered 9 months              1 days,,6,200~300,2015-01-04
23,purebase,4.86,Registered 7 months              1 days,,8,200~300,2015-01-04
24,knappen,5,Registered 1 months              0 days,,7,10~15,2015-01-04
25,TheXFactor,4.93,Registered 7 months              0 days,,11,200~300,2015-01-04
26,hanspoel,5.00,Registered 11 months              1 days,,2,25~40,2015-01-04
27,bcndrugs,4.675,Registered 5 months              0 days,,6,500~1000,2015-01-04
28,OrangeHill,5,Registered 1 months              5 days,,1,3~5,2015-01-04
29,Addyshack,4.976,Registered 1 years 0 months              1 days,,27,1000+,2015-01-04
30,AmsterdamExport,4.91,Registered 1 months              0 days,,8,70~100,2015-01-04
31,tinacmarks,5,Registered 1 months              0 days,,70,3~5,2015-01-04
32,Fire_Fire,4.97,Registered 10 months              0 days,,7,300~500,2015-01-04
33,tripledip,4.93,Registered 3 months              0 days,,8,15~25,2015-01-04
34,mampulver,5,Registered 27 days              0 days,,4,3~5,2015-01-04
35,babykale420,4.98,Registered 10 months              0 days,,22,200~300,2015-01-04
36,summertime,4.949,Registered 1 years 0 months              0 days,,5,1000+,2015-01-04
37,WeRoll,4.83,Registered 11 months              0 days,,6,500~1000,2015-01-04
38,cocktails,,,,,,2015-01-04
39,bostongeorge14,4.882,Registered 3 months              0 days,,47,500~1000,2015-01-04
40,CrazedChemist,5.00,Registered 2 months              0 days,,11,55~70,2015-01-04
41,CrystalBurns,5.00,Registered 4 months              1 days,,2,15~25,2015-01-04
42,sereal,4.98,Registered 1 years 0 months              0 days,,34,150~200,2015-01-04
43,laflamablanca101,4.74,Registered 1 months              0 days,,19,70~100,2015-01-04
44,ShopAgent,4.76,Registered 9 months              3 days,,58,150~200,2015-01-04
45,T5_NBOMe,4.64,Registered 10 months              0 days,,28,100~150,2015-01-04
46,Flyfelix,4.99,Registered 1 years 0 months              3 days,,6,150~200,2015-01-04
47,blow,4.78,Registered 6 months              0 days,,19,150~200,2015-01-04
48,SocksRocksLocks,4.95,Registered 1 years 0 months              1 days,,6,100~150,2015-01-04
