,name,rating,lastSeen,publicKey,#products,#Deals,parsingDate
0,checkpoint,4.76,5 hours,,31,40~55,2014-08-18
1,sereal,4.97,3 hours,,41,70~100,2014-08-18
2,blackhand,4.99,7 hours,,117,300~500,2014-08-18
3,DrEarnhardt,4.821,2 hours,,68,1000+,2014-08-18
4,stiffstyles,4.92,5 hours,,65,100~150,2014-08-18
5,fakeasanything,4.81,17 hours,,5,300~500,2014-08-18
6,Mike,4.67,6 hours,,60,25~40,2014-08-18
7,EverythingOnIt,5.00,1 hours,,24,55~70,2014-08-18
8,agora,,,,0,0,2014-08-18
9,Doritos,4.90,2 hours,,15,70~100,2014-08-18
10,EZTest,5.00,0 hours,,36,100~150,2014-08-18
11,BlueViking,4.984,8 hours,,31,1000+,2014-08-18
12,Hackyboy,4.92,3 hours,,122,300~500,2014-08-18
13,hot-potato,5,12 hours,,5,3~5,2014-08-18
14,KryptykOG,4.93,15 hours,,38,150~200,2014-08-18
15,DoctorNick,4.94,9 hours,,15,100~150,2014-08-18
16,passman,4.945,4 hours,,133,1000+,2014-08-18
17,LABGRADEPHARMA,5.00,0 hours,,8,300~500,2014-08-18
18,RagnarLodbrok,4.95,7 hours,,30,150~200,2014-08-18
19,zunidog,4.65,1 days 11 hours,,2,25~40,2014-08-18
20,StoneIsland,4.994,1 hours,,25,500~1000,2014-08-18
21,RXChemist,4.91,0 hours,,261,100~150,2014-08-18
22,joey1225,,1 days 21 hours,,3,0,2014-08-18
23,space100...,5,2 hours,,26,3~5,2014-08-18
24,NoQuarter,5.00,0 hours,,7,200~300,2014-08-18
25,Fappy,4.96,2 days 20 hours,,66,300~500,2014-08-18
26,rc4me,5,2 days 16 hours,,387,6~10,2014-08-18
27,cyberzen,4.89,7 hours,,166,500~1000,2014-08-18
28,fake,4.782,4 hours,,518,1000+,2014-08-18
29,Gobotal,4.75,6 hours,,45,55~70,2014-08-18
30,thesecretsociety,5.00,11 hours,,12,25~40,2014-08-18
31,everythingman,4.35,6 hours,,21,70~100,2014-08-18
32,VendingSolutions,4.29,7 hours,,11,15~25,2014-08-18
33,livinglarge,5.00,0 hours,,88,200~300,2014-08-18
34,wakeside917,4.83,0 hours,,136,300~500,2014-08-18
35,PleasureNator,5.00,5 hours,,13,40~55,2014-08-18
36,DrawkwarD,4.996,2 hours,,47,1000+,2014-08-18
37,RepAAA,4.95,5 hours,,140,100~150,2014-08-18
38,~BigBoy,4.99,4 hours,,14,70~100,2014-08-18
39,teddyruckspin,5.00,1 hours,,2,70~100,2014-08-18
40,AusPost,5.00,7 hours,,3,55~70,2014-08-18
41,Gotmilk,4.73,3 hours,,210,300~500,2014-08-18
42,Contingency,5,7 hours,,5,3~5,2014-08-18
43,starlight,4.93,2 hours,,40,150~200,2014-08-18
44,norman,5.00,1 days 1 hours,,10,40~55,2014-08-18
45,echo,5.00,1 days 5 hours,,29,150~200,2014-08-18
46,HollandDutch,4.94,11 hours,,133,100~150,2014-08-18
47,CheapPayTV,4.96,0 hours,,36,70~100,2014-08-18
48,Black_Label,5.00,1 hours,,2,15~25,2014-08-18
49,AsianVixene,5,1 days 16 hours,,65,6~10,2014-08-18
50,messi,4.92,10 hours,,26,500~1000,2014-08-18
51,NotoSeller,4.92,0 hours,,43,300~500,2014-08-18
52,Drugs4you,4.97,7 hours,,108,300~500,2014-08-18
53,HigherGroundsNL,4.82,12 hours,,41,150~200,2014-08-18
54,NouveauEst,4.94,0 hours,,19,150~200,2014-08-18
55,FREE,5.00,1 hours,,257,40~55,2014-08-18
56,only,4.88,1 hours,,101,55~70,2014-08-18
57,Bigdeal100,4.96,2 hours,,220,55~70,2014-08-18
58,AmicoFriz,4.77,11 hours,,10,200~300,2014-08-18
59,keno13,5.00,2 days 5 hours,,6,40~55,2014-08-18
