,name,rating,lastSeen,publicKey,#products,#Deals,parsingDate
0,BonnieNClyde,4.992,Registered 1 years 2 months              0 days,,79,1000~1500,2015-05-10
1,HumboldtFarms,4.914,Registered 8 months              0 days,,52,2000~3000,2015-05-10
2,ReDEyE,4.99,Registered 4 months              0 days,,6,200~300,2015-05-10
3,GrandWizardsLair,4.98,Registered 1 years 3 months              0 days,,4,300~500,2015-05-10
4,littlegoblin,4.902,Registered 1 years 2 months              0 days,,16,500~1000,2015-05-10
5,Rebel_Alliance,4.993,Registered 1 years 2 months              0 days,,7,500~1000,2015-05-10
6,Sir-ACAB,5.00,Registered 1 years 4 months              0 days,,1,100~150,2015-05-10
7,TheImportStore,5.00,Registered 1 months             On Vacation Mode since 2 days 0 hours,,2,70~100,2015-05-10
8,SeattlesBest,4.975,Registered 1 years 4 months              0 days,,25,500~1000,2015-05-10
9,checkpoint,4.98,Registered 1 years 3 months              0 days,,17,300~500,2015-05-10
10,Comebackhaze48,4.76,Registered 12 months              1 days,,21,150~200,2015-05-10
11,AGP,4.95,Registered 1 years 1 months              0 days,,3,150~200,2015-05-10
12,Top_Gear_UK,4.913,Registered 1 years 2 months              0 days,,30,3000~4000,2015-05-10
13,HappyHippy2.0,4.96,Registered 1 years 2 months              0 days,,11,300~500,2015-05-10
14,galaxytreez,5.00,Registered 2 months              0 days,,9,25~40,2015-05-10
15,dmvnationsupply,5,Registered 2 months              1 days,,6,1~2,2015-05-10
16,hogstandard,4.97,Registered 1 years 1 months              0 days,,7,200~300,2015-05-10
17,xinhai,4.974,Registered 1 years 2 months              0 days,,12,2000~3000,2015-05-10
18,CashCo,5.00,Registered 1 years 2 months              1 days,,18,200~300,2015-05-10
19,indianpilldaddy,4.98,Registered 1 years 2 months              0 days,,157,300~500,2015-05-10
20,TestSubject,5.00,Registered 1 years 2 months              0 days,,1,150~200,2015-05-10
21,GoingPostal,4.965,Registered 1 years 4 months              0 days,,116,4000~5000,2015-05-10
22,Dimercurio,5.000,Registered 1 years 1 months              0 days,,7,1000~1500,2015-05-10
23,plugsister,5,Registered 1 months              1 days,,9,6~10,2015-05-10
24,weed4you,4.998,Registered 1 years 4 months              1 days,,6,500~1000,2015-05-10
25,HumboldtHerbs,5.00,Registered 7 months              0 days,,20,40~55,2015-05-10
26,OzAlpha,4.973,Registered 1 years 2 months              0 days,,24,500~1000,2015-05-10
27,WALLSTREETx2,5.000,Registered 1 years 2 months              0 days,,5,3000~4000,2015-05-10
28,DonTuriddu,4.75,Registered 1 years 0 months              0 days,,14,300~500,2015-05-10
29,OregonTrail,5.00,Registered 5 months              0 days,,7,300~500,2015-05-10
30,TheXFactor,4.87,Registered 11 months              0 days,,5,300~500,2015-05-10
31,hanspoel,4.99,Registered 1 years 3 months              0 days,,5,200~300,2015-05-10
32,MrMaserati,5.00,Registered 1 months             On Vacation Mode since 1 days 22 hours,,21,15~25,2015-05-10
33,Addyshack,4.961,Registered 1 years 4 months              0 days,,23,1000~2000,2015-05-10
34,AussieExpress,4.99,Registered 1 years 0 months              0 days,,3,70~100,2015-05-10
35,Mann-Drog,4.99,Registered 8 months              0 days,,1,200~300,2015-05-10
36,GermanImport,5.00,Registered 23 days              0 days,,46,25~40,2015-05-10
37,Meds2Buy,4.76,Registered 11 months              0 days,,82,150~200,2015-05-10
38,tinacmarks,5.00,Registered 5 months              0 days,,64,15~25,2015-05-10
39,Kiefernzapfen,4.97,Registered 6 months              2 days,,6,200~300,2015-05-10
40,krytocratic_tyranny,,Registered 7 days              3 days,,3,0,2015-05-10
41,MIcasa-SUcasa,5.00,Registered 3 months              0 days,,21,40~55,2015-05-10
42,Fire_Fire,4.884,Registered 1 years 2 months              0 days,,14,500~1000,2015-05-10
43,babykale420,4.98,Registered 1 years 2 months              0 days,,11,300~500,2015-05-10
44,LucyUK,4.885,Registered 2 months              0 days,,18,500~1000,2015-05-10
45,summertime,4.929,Registered 1 years 5 months              0 days,,13,1000~2000,2015-05-10
46,salviana,5,Registered 1 months              0 days,,6,1~2,2015-05-10
47,mossman,5.00,Registered 11 months              0 days,,3,15~25,2015-05-10
48,Premiumgear,5.00,Registered 1 years 1 months              0 days,,12,200~300,2015-05-10
49,bostongeorge14,4.814,Registered 7 months             On Vacation Mode since 10 hours                             |  Restricted/scamming investigation.,,84,2000~3000,2015-05-10
50,CrazedChemist,4.990,Registered 6 months              0 days,,25,500~1000,2015-05-10
51,CrystalBurns,4.92,Registered 9 months              0 days,,4,100~150,2015-05-10
52,foxygirl,5,Registered 1 months              0 days,,37,1~2,2015-05-10
53,T5_NBOMe,4.73,Registered 1 years 2 months              0 days,,34,500~1000,2015-05-10
54,eurodrugs,5,Registered 1 months              0 days,,19,10~15,2015-05-10
55,Walt-Disney,4.98,Registered 6 months              0 days,,24,200~300,2015-05-10
56,Flyfelix,4.99,Registered 1 years 4 months              0 days,,24,200~300,2015-05-10
57,blow,4.82,Registered 10 months              0 days,,26,300~500,2015-05-10
58,joogman,4.99,Registered 3 months              0 days,,6,100~150,2015-05-10
59,cultmadeline,5.000,Registered 1 years 2 months              0 days,,18,2000~3000,2015-05-10
60,black-kush,5.00,Registered 28 days              0 days,,14,25~40,2015-05-10
61,Eos,4.98,Registered 1 years 3 months              0 days,,5,300~500,2015-05-10
62,brownjames,4.95,Registered 1 years 2 months              0 days,,6,300~500,2015-05-10
63,SmileyPostman,4.94,Registered 1 months              0 days,,8,100~150,2015-05-10
64,Discounts_R_Us,4.94,Registered 1 months              0 days,,18,70~100,2015-05-10
65,SocksRocksLocks,4.96,Registered 1 years 4 months              0 days,,11,150~200,2015-05-10
66,chipzahoy,4.891,Registered 10 months              0 days,,82,1000~1500,2015-05-10
67,TheWolfOfDarknet,5,Registered 1 months              1 days,,9,3~5,2015-05-10
68,AngelEyes,4.99,Registered 1 years 5 months              1 days,,8,300~500,2015-05-10
69,SupplyGuy,5.00,Registered 1 months              0 days,,7,15~25,2015-05-10
70,theblossom,5.00,Registered 1 years 2 months              0 days,,29,200~300,2015-05-10
71,dgslabz,4.962,Registered 1 years 3 months              0 days,,28,2000~3000,2015-05-10
72,androgenie,4.89,Registered 1 years 2 months              0 days,,3,150~200,2015-05-10
73,NordicShrooms,4.97,Registered 1 years 3 months              3 days,,4,150~200,2015-05-10
74,HonestChronic,5,Registered 1 months              0 days,,3,1~2,2015-05-10
75,precurs-shop,5,Registered 1 months              0 days,,25,10~15,2015-05-10
76,Overdos3d,5.00,Registered 1 months              0 days,,62,25~40,2015-05-10
77,diondibra,5.00,Registered 3 months              0 days,,8,100~150,2015-05-10
78,plasticA,,Registered 1 months              0 days,,7, 1~2,2015-05-10
79,craigman,5.00,Registered 1 years 0 months              0 days,,16,200~300,2015-05-10
80,Febbraio2468,4.81,Registered 1 years 5 months              1 days,,5,100~150,2015-05-10
81,InsideTheWhale,4.944,Registered 1 years 1 months              0 days,,89,500~1000,2015-05-10
82,ladyskywalker,4.958,Registered 10 months              0 days,,14,500~1000,2015-05-10
83,shoeshunge,4.99,Registered 1 years 0 months              0 days,,4,500~1000,2015-05-10
84,Quantum.Black.Widow,4.87,Registered 1 years 2 months              0 days,,48,300~500,2015-05-10
85,GoodmedsDK,4.97,Registered 12 months              0 days,,22,300~500,2015-05-10
86,WestCoastCure,4.86,Registered 11 months              2 days,,5,300~500,2015-05-10
87,Weed4bits,4.87,Registered 4 months              0 days,,25,150~200,2015-05-10
88,thomascheer,4.66,Registered 4 months              0 days,,94,150~200,2015-05-10
89,footstool,4.92,Registered 1 months              0 days,,10,55~70,2015-05-10
90,CDARWIN,4.98,Registered 6 months              0 days,,14,300~500,2015-05-10
91,Pharma-deal,,Registered 1 months              0 days,,72, 3~5,2015-05-10
92,THEIRONMAN,4.91,Registered 2 months              1 days,,3,70~100,2015-05-10
93,etimbuk,4.838,Registered 5 months              0 days,,339,1000~2000,2015-05-10
94,GreenBlvd,4.824,Registered 1 years 0 months              0 days,,3,1000~1500,2015-05-10
