,name,rating,lastSeen,publicKey,#products,#Deals,parsingDate
0,BonnieNClyde,4.992,Registered 1 years 1 months              0 days,,64,1000~1500,2015-04-07
1,HumboldtFarms,4.932,Registered 7 months              0 days,,53,2000~3000,2015-04-07
2,ReDEyE,4.99,Registered 3 months              0 days,,10,200~300,2015-04-07
3,GrandWizardsLair,4.98,Registered 1 years 2 months              0 days,,4,300~500,2015-04-07
4,littlegoblin,4.90,Registered 1 years 1 months              2 days,,16,500~1000,2015-04-07
5,Rebel_Alliance,4.992,Registered 1 years 1 months              1 days,,7,500~1000,2015-04-07
6,TheImportStore,5.00,Registered 19 days              0 days,,0,55~70,2015-04-07
7,reximusmaximus,4.998,Registered 5 months             On Vacation Mode since 6 hours,,12,500~1000,2015-04-07
8,SeattlesBest,4.977,Registered 1 years 3 months              2 days,,23,500~1000,2015-04-07
9,AlphaOne,5,Registered 12 days              0 days,,5,1~2,2015-04-07
10,checkpoint,4.97,Registered 1 years 2 months              1 days,,18,300~500,2015-04-07
11,Top_Gear_UK,4.923,Registered 1 years 1 months              0 days,,29,2000~3000,2015-04-07
12,HappyHippy2.0,4.97,Registered 1 years 1 months              0 days,,13,200~300,2015-04-07
13,galaxytreez,5.00,Registered 1 months              2 days,,9,15~25,2015-04-07
14,hogstandard,4.98,Registered 1 years 0 months              0 days,,7,150~200,2015-04-07
15,xinhai,4.974,Registered 1 years 1 months              1 days,,13,2000~3000,2015-04-07
16,moderationiskey,4.72,Registered 3 months              0 days,,2,25~40,2015-04-07
17,Doritos_Doritos,4,Registered 2 months              0 days,,13,10~15,2015-04-07
18,CashCo,5.00,Registered 1 years 1 months              0 days,,18,150~200,2015-04-07
19,indianpilldaddy,5.00,Registered 1 years 1 months              0 days,,157,300~500,2015-04-07
20,TestSubject,5.00,Registered 1 years 1 months              0 days,,1,100~150,2015-04-07
21,GoingPostal,4.964,Registered 1 years 3 months              1 days,,105,3000~4000,2015-04-07
22,Dimercurio,5.000,Registered 1 years 0 months              2 days,,11,1000~1500,2015-04-07
23,MrKidX,4.96,Registered 11 months              0 days,,14,200~300,2015-04-07
24,themoneyteam777,4.95,Registered 8 months              5 days,,15,100~150,2015-04-07
25,MitchHedberg,5,Registered 14 days              0 days,,8,10~15,2015-04-07
26,weed4you,4.998,Registered 1 years 3 months              0 days,,6,500~1000,2015-04-07
27,HumboldtHerbs,5.00,Registered 6 months              0 days,,20,25~40,2015-04-07
28,goodfornothing,4.99,Registered 1 years 3 months              0 days,,32,150~200,2015-04-07
29,OzAlpha,4.97,Registered 1 years 1 months              2 days,,16,500~1000,2015-04-07
30,WALLSTREETx2,5.000,Registered 1 years 1 months              0 days,,9,3000~4000,2015-04-07
31,DonTuriddu,4.72,Registered 11 months              0 days,,14,300~500,2015-04-07
32,OregonTrail,5.00,Registered 4 months              0 days,,4,300~500,2015-04-07
33,TheXFactor,4.91,Registered 10 months              0 days,,6,300~500,2015-04-07
34,hanspoel,4.99,Registered 1 years 2 months              0 days,,6,150~200,2015-04-07
35,t3h_fonz,4.95,Registered 4 months              0 days,,17,55~70,2015-04-07
36,1dboladay,4.32,Registered 1 years 0 months              6 days,,16,25~40,2015-04-07
37,Addyshack,4.973,Registered 1 years 3 months              0 days,,19,1000~2000,2015-04-07
38,AussieExpress,4.98,Registered 11 months              0 days,,5,55~70,2015-04-07
39,Plumsauce,5.00,Registered 18 days              4 days,,6,150~200,2015-04-07
40,Meds2Buy,4.78,Registered 10 months              1 days,,82,100~150,2015-04-07
41,tinacmarks,5.00,Registered 4 months              0 days,,65,10~15,2015-04-07
42,Kiefernzapfen,4.97,Registered 5 months              2 days,,5,150~200,2015-04-07
43,MIcasa-SUcasa,5.00,Registered 2 months              3 days,,18,25~40,2015-04-07
44,babykale420,4.98,Registered 1 years 1 months              0 days,,15,300~500,2015-04-07
45,LucyUK,4.94,Registered 1 months              0 days,,17,300~500,2015-04-07
46,summertime,4.943,Registered 1 years 4 months              0 days,,9,1000~1500,2015-04-07
47,WeRoll,4.849,Registered 1 years 2 months              0 days,,7,500~1000,2015-04-07
48,BlackRhinoLabs,,Registered 1 months              2 days,,13,0,2015-04-07
49,cocktails,4.56,Registered 4 months              0 days,,25,200~300,2015-04-07
50,bostongeorge14,4.864,Registered 6 months              0 days,,84,1000~2000,2015-04-07
51,CrazedChemist,5.00,Registered 5 months              0 days,,17,300~500,2015-04-07
52,CrystalBurns,4.88,Registered 8 months              0 days,,4,55~70,2015-04-07
53,sereal,4.99,Registered 1 years 4 months              0 days,,38,150~200,2015-04-07
54,foxygirl,,Registered 3 days              0 days,,5,0,2015-04-07
55,SamSpadeAgora,5,Registered 16 days              0 days,,3,3~5,2015-04-07
56,T5_NBOMe,4.79,Registered 1 years 1 months              0 days,,28,500~1000,2015-04-07
57,eurodrugs,,Registered 19 days              3 days,,12, 1~2,2015-04-07
58,blow,4.84,Registered 9 months              0 days,,29,200~300,2015-04-07
59,tzzht,5.00,Registered 9 months              1 days,,6,25~40,2015-04-07
60,joogman,4.98,Registered 2 months              0 days,,5,70~100,2015-04-07
61,cultmadeline,4.997,Registered 1 years 1 months              0 days,,8,2000~3000,2015-04-07
62,brownjames,4.95,Registered 1 years 1 months              0 days,,7,300~500,2015-04-07
63,SmileyPostman,5.00,Registered 16 days              2 days,,6,40~55,2015-04-07
64,Discounts_R_Us,0,Registered 4 days              0 days,,6,1~2,2015-04-07
65,SocksRocksLocks,4.96,Registered 1 years 3 months              0 days,,4,150~200,2015-04-07
66,chipzahoy,4.897,Registered 9 months              2 days,,78,500~1000,2015-04-07
67,CocaParis,4.99,Registered 1 years 3 months              0 days,,21,150~200,2015-04-07
68,AngelEyes,4.99,Registered 1 years 4 months              0 days,,6,300~500,2015-04-07
69,Cocaine_Oxy_Vape_Australia,5.00,Registered 2 months              2 days,,7,25~40,2015-04-07
70,theblossom,4.98,Registered 1 years 1 months              2 days,,29,200~300,2015-04-07
71,TWIXBARZ,5,Registered 13 days              2 days,,5,3~5,2015-04-07
72,DiscountedElectronics,,Registered 5 days              0 days,,4,0,2015-04-07
73,dgslabz,4.969,Registered 1 years 2 months              2 days,,20,2000~3000,2015-04-07
74,androgenie,4.88,Registered 1 years 1 months              4 days,,3,100~150,2015-04-07
75,NordicShrooms,4.96,Registered 1 years 1 months              1 days,,4,150~200,2015-04-07
76,Boggalertz2,5,Registered 3 months              3 days,,5,3~5,2015-04-07
77,precurs-shop,5,Registered 1 days              0 days,,31,1~2,2015-04-07
78,Overdos3d,5,Registered 15 days              0 days,,49,6~10,2015-04-07
79,diondibra,5.00,Registered 2 months              1 days,,6,70~100,2015-04-07
80,printerpam,5,Registered 18 days              1 days,,14,3~5,2015-04-07
81,JimmytheGent,4.981,Registered 9 months              0 days,,11,500~1000,2015-04-07
82,craigman,5.00,Registered 11 months              0 days,,18,150~200,2015-04-07
83,Febbraio2468,4.85,Registered 1 years 3 months              0 days,,5,100~150,2015-04-07
84,InsideTheWhale,4.946,Registered 1 years 0 months              2 days,,94,500~1000,2015-04-07
85,ladyskywalker,4.94,Registered 9 months              0 days,,12,500~1000,2015-04-07
86,GoodmedsDK,4.97,Registered 11 months              0 days,,22,300~500,2015-04-07
87,WestCoastCure,4.88,Registered 10 months              0 days,,5,300~500,2015-04-07
88,Weed4bits,4.83,Registered 3 months              0 days,,23,100~150,2015-04-07
89,BudBuddy,5.00,Registered 9 months              0 days,,1,55~70,2015-04-07
90,thomascheer,4.55,Registered 3 months              2 days,,79,100~150,2015-04-07
91,footstool,5,Registered 15 days              0 days,,22,6~10,2015-04-07
92,CDARWIN,4.98,Registered 4 months              2 days,,14,200~300,2015-04-07
93,Pharma-deal,,Registered 15 days              1 days,,64, 1~2,2015-04-07
94,MoodyMayhem,4.88,Registered 1 years 3 months              0 days,,36,300~500,2015-04-07
95,etimbuk,4.826,Registered 4 months              0 days,,296,1000~1500,2015-04-07
96,GreenBlvd,4.833,Registered 11 months              0 days,,4,1000~1500,2015-04-07
97,Shroomson,4.98,Registered 11 months              4 days,,1,200~300,2015-04-07
98,RealDope,4.868,Registered 10 months              0 days,,7,500~1000,2015-04-07
99,microgirlmonroe,4.87,Registered 3 months              0 days,,20,40~55,2015-04-07
100,dankbudz,5.00,Registered 1 months              0 days,,40,25~40,2015-04-07
101,PremiumSpores,5.00,Registered 1 months              0 days,,4,25~40,2015-04-07
102,CZmadeMan,4.91,Registered 1 years 0 months              0 days,,29,100~150,2015-04-07
103,Cannaseed,4.85,Registered 1 years 2 months              0 days,,4,15~25,2015-04-07
104,Mephman,5.00,Registered 9 months              2 days,,10,300~500,2015-04-07
105,HashishUK,5,Registered 14 days              0 days,,8,6~10,2015-04-07
106,HumboldtsFinest,4.973,Registered 1 years 3 months              0 days,,4,1000~1500,2015-04-07
107,salamalejkum,4.85,Registered 1 years 1 months              0 days,,92,300~500,2015-04-07
108,OpenSource,5.00,Registered 1 years 3 months              0 days,,1,100~150,2015-04-07
109,Angelina,4.912,Registered 1 years 2 months              2 days,,27,1000~2000,2015-04-07
110,rainbowbear,4.97,Registered 1 years 1 months              0 days,,18,200~300,2015-04-07
111,ProStudioEtLabore,5.00,Registered 1 years 1 months              2 days,,4,70~100,2015-04-07
112,grimreaper,4.99,Registered 11 months              0 days,,4,200~300,2015-04-07
113,Sun-tzu,5.00,Registered 5 months              0 days,,16,25~40,2015-04-07
114,blackhand,4.997,Registered 1 years 3 months              0 days,,119,500~1000,2015-04-07
115,lostheaven007,,Registered 3 days              0 days,,14,0,2015-04-07
116,DrEarnhardt,4.816,Registered 1 years 4 months              2 days,,55,2000~3000,2015-04-07
117,AustralianHash,4.99,Registered 1 years 0 months              0 days,,8,200~300,2015-04-07
118,TessellatedLSD,4.98,Registered 4 months              3 days,,5,200~300,2015-04-07
119,sayno2drugs,4.988,Registered 1 years 1 months              0 days,,13,500~1000,2015-04-07
120,Bisto,4.935,Registered 1 years 1 months              0 days,,27,1000~1500,2015-04-07
121,karmasyndicate,4.940,Registered 5 months              0 days,,33,500~1000,2015-04-07
122,subzero!!,5.00,Registered 2 months              0 days,,11,25~40,2015-04-07
123,whiteyford,4.947,Registered 1 years 3 months              0 days,,32,500~1000,2015-04-07
124,Customcandy,5.00,Registered 19 days              1 days,,13,40~55,2015-04-07
125,RichPorter,4.93,Registered 1 years 3 months              2 days,,6,150~200,2015-04-07
126,SomeonewhoISme,5.00,Registered 4 months              0 days,,7,300~500,2015-04-07
127,axa,5.00,Registered 1 years 2 months              0 days,,12,300~500,2015-04-07
128,goku420,4.96,Registered 3 months              0 days,,1,25~40,2015-04-07
129,igi123,4.98,Registered 1 years 1 months              0 days,,3,300~500,2015-04-07
130,UrLocalBudTender,4.93,Registered 1 months              0 days,,17,70~100,2015-04-07
131,krautling,4.96,Registered 10 months              0 days,,10,200~300,2015-04-07
132,pflegerin,4.56,Registered 1 years 3 months              0 days,,1,70~100,2015-04-07
133,OzJuice,5.00,Registered 4 months              0 days,,51,55~70,2015-04-07
134,Republic,5.00,Registered 1 years 1 months              0 days,,2,100~150,2015-04-07
135,CokeMate,4.94,Registered 1 years 2 months              1 days,,5,100~150,2015-04-07
136,Thefairtrader,4.62,Registered 1 years 1 months              0 days,,31,300~500,2015-04-07
137,Praetorian,4.967,Registered 1 years 2 months              0 days,,6,500~1000,2015-04-07
138,digimon,5.00,Registered 6 months              0 days,,7,100~150,2015-04-07
139,KarmaLab,5.00,Registered 16 days              0 days,,14,25~40,2015-04-07
140,Bamsefar,5.00,Registered 3 months              0 days,,16,70~100,2015-04-07
141,MollyDownUnder,5,Registered 20 days              0 days,,2,1~2,2015-04-07
142,lifecare,4.72,Registered 10 months              0 days,,7,150~200,2015-04-07
143,bluestracks,,Registered 4 months              0 days,,1, 1~2,2015-04-07
144,Noogz,4.65,Registered 2 months              0 days,,10,70~100,2015-04-07
145,stiffstyles,5.00,Registered 1 years 1 months              0 days,,105,500~1000,2015-04-07
146,UKChemicals,5.00,Registered 5 months              0 days,,6,100~150,2015-04-07
147,fulltime,4.69,Registered 1 months              0 days,,12,40~55,2015-04-07
148,canadianforger,4.982,Registered 1 years 3 months              0 days,,50,1000~2000,2015-04-07
149,fakeasanything,4.829,Registered 1 years 1 months              0 days,,6,1000~1500,2015-04-07
150,QualityWeed,4.991,Registered 1 years 1 months              0 days,,10,500~1000,2015-04-07
151,b1g1mpact,4.82,Registered 1 years 1 months              4 days,,50,300~500,2015-04-07
152,Mike,4.61,Registered 1 years 3 months              0 days,,55,55~70,2015-04-07
