,name,rating,lastSeen,publicKey,#products,#Deals,parsingDate
0,HumboldtFarms,4.60,Registered 1 months 9 days              1 days 19 hours,,18,55~70,2014-09-29
1,DeWeed,4.89,Registered 5 months 2 days              2 days 1 hours,,1,70~100,2014-09-29
2,GrandWizardsLair,4.97,Registered 8 months 2 days              1 hours,,3,150~200,2014-09-29
3,littlegoblin,4.92,Registered 7 months 0 days              9 hours,,14,150~200,2014-09-29
4,Rebel_Alliance,4.98,Registered 7 months 17 days              5 hours,,7,300~500,2014-09-29
5,ThePartyDepot,5.00,Registered 4 months 15 days              14 hours,,3,70~100,2014-09-29
6,_drugs.inc_,5,Registered 8 months 18 days              8 months 13 days,,18,1~2,2014-09-29
7,cossacks,4.99,Registered 6 months 19 days              6 hours,,6,300~500,2014-09-29
8,SeattlesBest,4.96,Registered 9 months 22 days              5 hours,,2,200~300,2014-09-29
9,checkpoint,4.85,Registered 8 months 9 days              8 hours,,31,55~70,2014-09-29
10,Comebackhaze48,4.96,Registered 4 months 19 days              0 hours,,22,40~55,2014-09-29
11,AGP,4.91,Registered 6 months 17 days              2 hours,,3,70~100,2014-09-29
12,Top_Gear_UK,4.828,Registered 7 months 16 days              3 hours,,18,500~1000,2014-09-29
13,xinhai,4.965,Registered 7 months 19 days              3 hours,,11,1000+,2014-09-29
14,RealAidoneus,5.00,Registered 6 months 28 days              2 days 13 hours,,3,100~150,2014-09-29
15,mob-wives,,Registered 5 days              4 hours,,6,0,2014-09-29
16,Perron,5.00,Registered 1 months 5 days              1 hours,,21,55~70,2014-09-29
17,Dimercurio,5.00,Registered 5 months 28 days              0 hours,,3,200~300,2014-09-29
18,MrKidX,5,Registered 5 months 0 days              5 hours,,11,10~15,2014-09-29
19,themoneyteam777,4.87,Registered 2 months 5 days              8 hours,,7,55~70,2014-09-29
20,weed4you,4.99,Registered 9 months 9 days              16 hours,,6,300~500,2014-09-29
21,earthworld777,5,Registered 4 months 19 days              3 months 23 days,,6,1~2,2014-09-29
22,pharmerjo,4.96,Registered 6 months 15 days              22 hours,,6,150~200,2014-09-29
23,replicator,,Registered 6 months 7 days              29 days,,14,0,2014-09-29
24,purebase,4.85,Registered 3 months 29 days              4 hours,,6,100~150,2014-09-29
25,WALLSTREETx2,5.000,Registered 7 months 14 days              1 days 7 hours,,11,1000+,2014-09-29
26,Addies,5,Registered 7 months 15 days              10 days,,2,3~5,2014-09-29
27,topdeals,4.50,Registered 7 months 8 days              6 months 18 days,,14,25~40,2014-09-29
28,DonTuriddu,4.52,Registered 5 months 14 days              0 hours,,13,100~150,2014-09-29
29,mollyjohnson,4.71,Registered 7 months 13 days              5 days,,3,100~150,2014-09-29
30,VoucherExpress,4.87,Registered 4 months 10 days              5 hours,,15,70~100,2014-09-29
31,DevilWeedSeeds,4.76,Registered 9 months 28 days              8 hours,,2,70~100,2014-09-29
32,hanspoel,5.00,Registered 8 months 4 days              18 hours,,3,25~40,2014-09-29
33,TOPSHOP,5,Registered 1 months 12 days              3 hours,,18,6~10,2014-09-29
34,bcndrugs,4.65,Registered 2 months 17 days              13 hours,,9,200~300,2014-09-29
35,BHoily,4.98,Registered 4 months 25 days              1 hours,,4,55~70,2014-09-29
36,AussieExpress,5.00,Registered 4 months 25 days              13 days,,2,15~25,2014-09-29
37,Mann-Drog,5,Registered 21 days              1 hours,,1,6~10,2014-09-29
38,Meds2Buy,5.00,Registered 3 months 25 days              4 days,,62,15~25,2014-09-29
39,MedicalRC,5,Registered 4 months 17 days              12 days,,2,10~15,2014-09-29
40,Fire_Fire,4.96,Registered 6 months 28 days              1 days 19 hours,,6,200~300,2014-09-29
41,babykale420,4.97,Registered 7 months 21 days              12 hours,,18,100~150,2014-09-29
42,summertime,4.94,Registered 9 months 27 days              9 hours,,9,500~1000,2014-09-29
43,WeRoll,4.77,Registered 8 months 17 days              10 hours,,11,200~300,2014-09-29
44,Corey_Worthington,,Registered 6 months 26 days              6 months 24 days,,3,0,2014-09-29
45,bostongeorge14,4.92,Registered 19 days              0 hours,,12,25~40,2014-09-29
46,HARRODS,4.50,Registered 6 months 7 days              5 days,,20,100~150,2014-09-29
47,tomsmith0626,4.92,Registered 7 months 28 days              18 days,,18,150~200,2014-09-29
48,T5_NBOMe,,,,,,2014-09-29
49,Flyfelix,4.99,Registered 9 months 10 days              5 hours,,8,150~200,2014-09-29
50,blow,5.00,Registered 3 months 3 days              1 days 12 hours,,15,70~100,2014-09-29
51,Mpower,,Registered 14 days              13 hours,,13,0,2014-09-29
52,creator1988,,Registered 6 months 18 days              4 months 25 days,,2,0,2014-09-29
53,cultmadeline,5.000,Registered 7 months 13 days              0 hours,,13,1000+,2014-09-29
54,Eos,4.99,Registered 8 months 18 days              11 hours,,7,200~300,2014-09-29
55,brownjames,5.00,Registered 7 months 15 days              0 hours,,3,70~100,2014-09-29
56,SocksRocksLocks,4.95,Registered 9 months 5 days              21 hours,,10,100~150,2014-09-29
57,chipzahoy,4.95,Registered 3 months 18 days              0 hours,,84,100~150,2014-09-29
58,syntech,5,Registered 1 months 9 days              5 days,,3,6~10,2014-09-29
59,AngelEyes,4.99,Registered 9 months 28 days              3 hours,,8,150~200,2014-09-29
60,zable,4.969,Registered 7 months 17 days              2 days 3 hours,,4,500~1000,2014-09-29
61,rockyroad88,5,Registered 3 months 12 days              2 months 16 days,,4,6~10,2014-09-29
62,theblossom,5.00,Registered 7 months 4 days              8 hours,,21,100~150,2014-09-29
63,Recoil,5,Registered 1 months 9 days              5 hours,,3,10~15,2014-09-29
64,CousinMolly,4,Registered 8 months 27 days              1 months 17 days,,1,6~10,2014-09-29
65,WeedSamaritan,4.826,Registered 7 months 16 days              2 days 8 hours,,15,500~1000,2014-09-29
66,KushDepot,4.89,Registered 8 months 3 days              5 hours,,4,70~100,2014-09-29
67,32dxbv!vrwndid,5,Registered 4 months 14 days              21 hours,,4,6~10,2014-09-29
68,InfinityBeyond,,Registered 8 months 18 days              3 months 21 days,,1, 1~2,2014-09-29
69,cheqdropz,0,Registered 7 months 9 days              4 months 28 days,,2,6~10,2014-09-29
70,Addies4Days,5,Registered 9 days              7 hours,,3,10~15,2014-09-29
71,Febbraio2468,4.81,Registered 9 months 24 days              1 months 8 days,,7,70~100,2014-09-29
72,ladyskywalker,5.00,Registered 2 months 28 days              3 hours,,5,100~150,2014-09-29
73,AL-LADin,5.00,Registered 3 months 5 days              6 days,,5,40~55,2014-09-29
74,shoeshunge,4.98,Registered 5 months 7 days              2 days 16 hours,,12,200~300,2014-09-29
75,Quantum.Black.Widow,4.96,Registered 7 months 6 days              5 days,,38,200~300,2014-09-29
76,WestCoastCure,4.78,Registered 4 months 7 days              0 hours,,12,100~150,2014-09-29
77,xedov,3,Registered 5 months 23 days              3 months 8 days,,9,6~10,2014-09-29
78,Hanffrei,5.00,Registered 7 months 7 days              1 months 8 days,,2,15~25,2014-09-29
79,Hesh!,4.45,Registered 7 months 14 days              1 days 19 hours,,6,10~15,2014-09-29
80,OISG,5.00,Registered 18 days              1 days 0 hours,,16,10~15,2014-09-29
81,MoodyMayhem,4.80,Registered 9 months 16 days              3 hours,,22,200~300,2014-09-29
82,sweshroom,4.93,Registered 7 months 14 days              0 hours,,17,40~55,2014-09-29
83,SweetMeats,4,Registered 8 months 26 days              7 months 22 days,,2,6~10,2014-09-29
84,MollyMuse,5.00,Registered 7 months 29 days              0 hours,,4,300~500,2014-09-29
85,spdr001,5,Registered 3 months 20 days              8 days,,1,3~5,2014-09-29
86,Hollands-Best,4.93,Registered 4 months 24 days              1 days 20 hours,,38,200~300,2014-09-29
87,BlackBazar,4.52,Registered 8 months 17 days              10 hours,,18,100~150,2014-09-29
88,CZmadeMan,5.00,Registered 6 months 1 days              6 hours,,29,40~55,2014-09-29
89,Cannaseed,4.83,Registered 8 months 1 days              5 days,,3,10~15,2014-09-29
90,starrynight,4.94,Registered 8 months 4 days              0 hours,,20,200~300,2014-09-29
91,Mephman,5.00,Registered 3 months 0 days              1 days 9 hours,,11,150~200,2014-09-29
92,easilydone,4,Registered 7 months 8 days              1 months 7 days,,3,6~10,2014-09-29
93,HumboldtsFinest,4.998,Registered 9 months 23 days              6 hours,,4,500~1000,2014-09-29
94,OpenSource,5.00,Registered 9 months 17 days              14 hours,,4,100~150,2014-09-29
95,Angelina,4.891,Registered 8 months 0 days              2 days 13 hours,,11,500~1000,2014-09-29
96,Drugdealersclearinghouse,,Registered 7 days              9 hours,,3, 1~2,2014-09-29
97,panacea,4.99,Registered 2 months 22 days              0 hours,,12,300~500,2014-09-29
98,gallo666,4,Registered 7 months 6 days              4 months 17 days,,6,3~5,2014-09-29
99,rainbowbear,5.00,Registered 7 months 20 days              7 hours,,10,100~150,2014-09-29
100,ProStudioEtLabore,5.00,Registered 7 months 2 days              2 hours,,2,55~70,2014-09-29
101,grimreaper,5.00,Registered 5 months 4 days              4 hours,,4,70~100,2014-09-29
102,CallMeJoe,5.00,Registered 4 months 11 days              7 hours,,3,70~100,2014-09-29
103,blackhand,4.99,Registered 9 months 17 days              3 hours,,121,500~1000,2014-09-29
104,Products4You,4.90,Registered 9 months 9 days              2 days 2 hours,,22,25~40,2014-09-29
105,samedaydispatch,,Registered 7 months 6 days              2 months 18 days,,1,0,2014-09-29
106,FattusCatteratus,4.953,Registered 9 months 8 days              0 hours,,24,500~1000,2014-09-29
107,DrEarnhardt,4.825,Registered 9 months 27 days              1 hours,,58,1000+,2014-09-29
108,AustralianHash,5.00,Registered 6 months 23 days              3 hours,,8,150~200,2014-09-29
109,Bisto,4.95,Registered 7 months 16 days              3 hours,,16,300~500,2014-09-29
110,DutchDrugExpert,4.00,Registered 7 months 7 days              6 months 1 days,,2,10~15,2014-09-29
111,parisinlove,,Registered 3 months 18 days              4 days,,2,0,2014-09-29
112,whiteyford,4.96,Registered 9 months 8 days              0 hours,,20,300~500,2014-09-29
113,OzCron,5.00,Registered 8 months 28 days              9 hours,,5,300~500,2014-09-29
114,RichPorter,4.90,Registered 9 months 19 days              1 days 12 hours,,6,55~70,2014-09-29
115,axa,5.00,Registered 7 months 27 days              2 hours,,10,200~300,2014-09-29
116,igi123,4.98,Registered 7 months 1 days              8 hours,,11,70~100,2014-09-29
117,pflegerin,4.69,Registered 9 months 7 days              0 hours,,1,25~40,2014-09-29
118,HAPPYholland,4.967,Registered 7 months 5 days              0 hours,,25,500~1000,2014-09-29
119,Republic,5.00,Registered 7 months 12 days              0 hours,,12,55~70,2014-09-29
120,CokeMate,5.00,Registered 8 months 12 days              13 hours,,4,70~100,2014-09-29
121,FlyingDutchmen,5,Registered 2 months 26 days              7 hours,,38,1~2,2014-09-29
122,Thefairtrader,4.55,Registered 7 months 4 days              8 hours,,30,200~300,2014-09-29
123,creamsicle,5,Registered 2 months 24 days              0 hours,,7,6~10,2014-09-29
124,TheKushLife,5,Registered 8 months 9 days              4 hours,,3,1~2,2014-09-29
125,Need_4_Speed,4,Registered 1 months 14 days              11 hours,,6,6~10,2014-09-29
126,lifecare,4.70,Registered 4 months 14 days              1 days 3 hours,,9,15~25,2014-09-29
127,roll_on,5.00,Registered 1 months 13 days              21 hours,,6,70~100,2014-09-29
128,cola,1,Registered 8 months 12 days              7 months 13 days,,5,1~2,2014-09-29
129,stiffstyles,5.00,Registered 7 months 7 days              0 hours,,81,150~200,2014-09-29
130,~sweetpuff~,5,Registered 4 months 22 days              23 days,,19,10~15,2014-09-29
131,Zebra,5,Registered 4 days              10 hours,,4,1~2,2014-09-29
132,CandyShop,4.33,Registered 7 months 17 days              6 days,,4,55~70,2014-09-29
133,canadianforger,4.97,Registered 9 months 9 days              1 days 20 hours,,23,150~200,2014-09-29
134,fakeasanything,4.82,Registered 7 months 8 days              17 hours,,5,300~500,2014-09-29
135,QualityWeed,5.00,Registered 7 months 6 days              0 hours,,8,200~300,2014-09-29
136,Mike,4.71,Registered 9 months 9 days              10 hours,,61,25~40,2014-09-29
137,Adderall,4.90,Registered 9 months 27 days              8 hours,,7,15~25,2014-09-29
138,Liveners,4.58,Registered 5 months 10 days              27 days,,2,25~40,2014-09-29
139,rabbithole,4.99,Registered 7 months 12 days              1 hours,,2,300~500,2014-09-29
140,pureanduncut,5.00,Registered 28 days              4 days,,11,55~70,2014-09-29
141,EverythingOnIt,5.00,Registered 5 months 1 days              4 hours,,29,70~100,2014-09-29
142,ChronicChef,5.00,Registered 5 months 1 days              14 days,,3,10~15,2014-09-29
143,Schwarzkopf,4.92,Registered 2 months 5 days              4 hours,,45,100~150,2014-09-29
144,GetBTC,5,Registered 3 months 25 days              4 days,,12,15~25,2014-09-29
145,sambalam8,4.97,Registered 7 months 14 days              1 days 5 hours,,9,200~300,2014-09-29
146,Reverend_Green,5,Registered 1 months 15 days              2 days 15 hours,,1,1~2,2014-09-29
147,SiriousHash,4.77,Registered 7 months 20 days              2 months 17 days,,4,70~100,2014-09-29
148,Renegade,4.84,Registered 7 months 24 days              2 hours,,18,70~100,2014-09-29
149,agora,,,,0,0,2014-09-29
150,usa2usadutchxtc,5.00,Registered 6 months 28 days              3 hours,,8,15~25,2014-09-29
151,3948756,5.00,Registered 1 months 4 days              1 hours,,11,25~40,2014-09-29
152,CityLights,4.55,Registered 9 months 28 days              1 months 13 days,,5,25~40,2014-09-29
153,Doritos,4.83,Registered 3 months 27 days              6 hours,,15,150~200,2014-09-29
154,nodnow,4.92,Registered 8 months 20 days              2 hours,,2,70~100,2014-09-29
