,name,rating,lastSeen,publicKey,#products,#Deals,parsingDate
0,BonnieNClyde,4.989,Registered 1 years 3 months              0 days,,75,1000~1500,2015-06-07
1,HumboldtFarms,4.912,Registered 9 months              0 days,,50,3000~4000,2015-06-07
2,ReDEyE,5.00,Registered 5 months              0 days,,5,300~500,2015-06-07
3,GrandWizardsLair,4.98,Registered 1 years 4 months              0 days,,5,500~1000,2015-06-07
4,Rebel_Alliance,4.993,Registered 1 years 3 months              0 days,,7,1000~1500,2015-06-07
5,Sir-ACAB,5.00,Registered 1 years 5 months              0 days,,2,150~200,2015-06-07
6,SeattlesBest,4.964,Registered 1 years 5 months              0 days,,28,500~1000,2015-06-07
7,checkpoint,4.99,Registered 1 years 4 months              0 days,,20,500~1000,2015-06-07
8,AGP,4.95,Registered 1 years 2 months              2 days,,3,150~200,2015-06-07
9,Top_Gear_UK,4.919,Registered 1 years 3 months              0 days,,30,3000~4000,2015-06-07
10,HappyHippy2.0,4.96,Registered 1 years 3 months              0 days,,18,300~500,2015-06-07
11,galaxytreez,5.00,Registered 3 months              1 days,,9,40~55,2015-06-07
12,Kleo,5,Registered 6 days              0 days,,10,10~15,2015-06-07
13,dmvnationsupply,5,Registered 3 months              0 days,,8,3~5,2015-06-07
14,Amsterdoomed,,Registered 1 days             On Vacation Mode since 6 hours,,3,0,2015-06-07
15,hogstandard,4.97,Registered 1 years 2 months              0 days,,10,200~300,2015-06-07
16,xinhai,4.977,Registered 1 years 3 months              0 days,,11,2000~3000,2015-06-07
17,CashCo,5.00,Registered 1 years 3 months              1 days,,18,200~300,2015-06-07
18,indianpilldaddy,5.00,Registered 1 years 3 months              0 days,,166,300~500,2015-06-07
19,RealAidoneus,4.98,Registered 1 years 3 months              1 days,,5,300~500,2015-06-07
20,GoingPostal,4.963,Registered 1 years 5 months              0 days,,117,4000~5000,2015-06-07
21,DoctorAlice,5,Registered 7 days              0 days,,5,6~10,2015-06-07
22,Dimercurio,5.000,Registered 1 years 2 months              0 days,,8,1000~1500,2015-06-07
23,MrKidX,4.97,Registered 1 years 1 months              0 days,,7,200~300,2015-06-07
24,plugsister,5,Registered 2 months              5 days,,9,10~15,2015-06-07
25,themoneyteam777,4.95,Registered 10 months              1 days,,15,100~150,2015-06-07
26,AmsterdamLiquidXno1,,Registered 15 days              0 days,,7,0,2015-06-07
27,weed4you,4.994,Registered 1 years 5 months              1 days,,6,500~1000,2015-06-07
28,OzAlpha,4.956,Registered 1 years 3 months              0 days,,18,500~1000,2015-06-07
29,pharmerjo,4.95,Registered 1 years 2 months              1 days,,6,300~500,2015-06-07
30,WALLSTREETx2,5.000,Registered 1 years 3 months              0 days,,6,3000~4000,2015-06-07
31,amazonprime,5,Registered 5 days              0 days,,3,1~2,2015-06-07
32,DonTuriddu,4.72,Registered 1 years 1 months              0 days,,14,500~1000,2015-06-07
33,mollyjohnson,4.69,Registered 1 years 3 months              5 days,,4,150~200,2015-06-07
34,OregonTrail,4.99,Registered 6 months              0 days,,7,500~1000,2015-06-07
35,DevilWeedSeeds,4.83,Registered 1 years 6 months              0 days,,6,150~200,2015-06-07
36,MrMaserati,5.00,Registered 2 months              0 days,,22,25~40,2015-06-07
37,bcndrugs,4.601,Registered 10 months              0 days,,8,1000~1500,2015-06-07
38,AussieExpress,4.99,Registered 1 years 1 months              2 days,,3,100~150,2015-06-07
39,Mann-Drog,4.99,Registered 9 months              0 days,,2,200~300,2015-06-07
40,Meds2Buy,4.77,Registered 12 months              0 days,,82,150~200,2015-06-07
41,tinacmarks,4.71,Registered 6 months              0 days,,64,25~40,2015-06-07
42,Kiefernzapfen,4.97,Registered 7 months              0 days,,6,200~300,2015-06-07
43,krytocratic_tyranny,5,Registered 1 months              0 days,,5,10~15,2015-06-07
44,MIcasa-SUcasa,5.00,Registered 4 months              1 days,,23,55~70,2015-06-07
45,Fire_Fire,4.876,Registered 1 years 3 months              1 days,,14,500~1000,2015-06-07
46,MrSniffer,5,Registered 9 days              0 days,,27,1~2,2015-06-07
47,brownmaker,5,Registered 3 days              0 days,,1,3~5,2015-06-07
48,DisIsHollanda,3,Registered 15 days              0 days,,21,3~5,2015-06-07
49,summertime,4.942,Registered 1 years 6 months              0 days,,13,1000~2000,2015-06-07
50,WeRoll,4.847,Registered 1 years 4 months             On Vacation Mode since 1 days 16 hours,,7,1000~1500,2015-06-07
51,salviana,5,Registered 2 months              0 days,,1,1~2,2015-06-07
52,mossman,5.00,Registered 1 years 0 months              0 days,,4,25~40,2015-06-07
53,Premiumgear,5.00,Registered 1 years 2 months              0 days,,11,200~300,2015-06-07
54,CrystalBurns,4.90,Registered 10 months              0 days,,4,100~150,2015-06-07
55,sereal,4.99,Registered 1 years 6 months              0 days,,37,200~300,2015-06-07
56,foxygirl,5,Registered 2 months              0 days,,123,6~10,2015-06-07
57,T5_NBOMe,4.786,Registered 1 years 3 months              0 days,,34,500~1000,2015-06-07
58,Underground_God,4.51,Registered 25 days              0 days,,30,150~200,2015-06-07
59,DUTCHRABBIT,,Registered 2 days              0 days,,28,0,2015-06-07
60,Flyfelix,5.00,Registered 1 years 5 months              0 days,,27,200~300,2015-06-07
61,blow,4.84,Registered 11 months              0 days,,29,300~500,2015-06-07
62,joogman,4.99,Registered 4 months              0 days,,6,150~200,2015-06-07
63,Highclub,5,Registered 4 days              0 days,,4,6~10,2015-06-07
64,Dutchmen,,Registered 16 days              0 days,,15, 1~2,2015-06-07
65,GatekeeperProject,5.00,Registered 26 days              0 days,,1,15~25,2015-06-07
66,brownjames,4.96,Registered 1 years 3 months              0 days,,6,300~500,2015-06-07
67,SmileyPostman,4.82,Registered 2 months              0 days,,7,150~200,2015-06-07
68,Discounts_R_Us,4.97,Registered 2 months              0 days,,9,150~200,2015-06-07
69,chipzahoy,4.863,Registered 11 months             On Vacation Mode since 2 hours                             |  Restricted/scamming investigation.,,83,1000~1500,2015-06-07
70,TheWolfOfDarknet,5,Registered 2 months              0 days,,12,6~10,2015-06-07
71,CocaParis,4.99,Registered 1 years 5 months              0 days,,25,200~300,2015-06-07
