,name,rating,lastSeen,publicKey,#products,#Deals,parsingDate
0,DeWeed,4.89,2 days 4 hours,,7,70~100,2014-07-30
1,GermanTerminal,4.99,5 days,,30,300~500,2014-07-30
2,PillfirePharmacy,5.00,5 days,,14,100~150,2014-07-30
3,sereal,4.97,0 hours,,39,70~100,2014-07-30
4,sweshroom,4.90,2 days 6 hours,,18,25~40,2014-07-30
5,stiffstyles,5.00,0 hours,,83,70~100,2014-07-30
6,Hackyboy,4.95,0 hours,,121,300~500,2014-07-30
7,MrSunshine,4.69,3 hours,,28,300~500,2014-07-30
8,vicious86,5.00,0 hours,,9,300~500,2014-07-30
9,RagnarLodbrok,4.95,2 days 6 hours,,26,100~150,2014-07-30
10,klicka,5.00,2 days 7 hours,,22,15~25,2014-07-30
11,CipherCracks,4.986,2 days 9 hours,,49,1000+,2014-07-30
12,MagicHat,4.90,0 hours,,54,150~200,2014-07-30
13,GoombaShop,4.93,0 hours,,38,15~25,2014-07-30
14,cyberzen,4.88,2 days 7 hours,,166,300~500,2014-07-30
15,fake,4.771,3 hours,,518,500~1000,2014-07-30
16,AsianVixen,,2 days 7 hours,,96,0,2014-07-30
17,optiman,5,0 hours,,44,3~5,2014-07-30
18,Haizenberg,4.98,2 days 18 hours,,11,150~200,2014-07-30
19,wakeside917,4.84,2 days 21 hours,,136,200~300,2014-07-30
20,DrawkwarD,4.996,2 days 7 hours,,54,1000+,2014-07-30
21,RepAAA,4.95,0 hours,,140,100~150,2014-07-30
22,weaponsguy,5.00,1 hours,,9,40~55,2014-07-30
23,joeybagadonuts,4.995,2 days 15 hours,,1,300~500,2014-07-30
24,CheapPayTV,4.96,0 hours,,25,70~100,2014-07-30
25,ES-Light,5.00,2 days 10 hours,,57,25~40,2014-07-30
26,Black_Label,5,3 hours,,2,15~25,2014-07-30
27,NotoSeller,4.90,0 hours,,41,200~300,2014-07-30
28,cornettos,4.772,1 hours,,86,500~1000,2014-07-30
29,HigherGroundsNL,4.87,2 days 4 hours,,42,100~150,2014-07-30
30,Bigdeal100,4.96,2 days 14 hours,,210,40~55,2014-07-30
